heldout_run,n_estimators,max_depth,min_samples_leaf,max_leaf_nodes,learning_rate,l2_regularization,selection
31,30,3,35,15,0.08,0.05,fixed preconfigured HGB
32,30,3,35,15,0.08,0.05,fixed preconfigured HGB
33,30,3,35,15,0.08,0.05,fixed preconfigured HGB
34,30,3,35,15,0.08,0.05,fixed preconfigured HGB
35,30,3,35,15,0.08,0.05,fixed preconfigured HGB
36,30,3,35,15,0.08,0.05,fixed preconfigured HGB
37,30,3,35,15,0.08,0.05,fixed preconfigured HGB
39,30,3,35,15,0.08,0.05,fixed preconfigured HGB
40,30,3,35,15,0.08,0.05,fixed preconfigured HGB
41,30,3,35,15,0.08,0.05,fixed preconfigured HGB
42,30,3,35,15,0.08,0.05,fixed preconfigured HGB
44,30,3,35,15,0.08,0.05,fixed preconfigured HGB
45,30,3,35,15,0.08,0.05,fixed preconfigured HGB
46,30,3,35,15,0.08,0.05,fixed preconfigured HGB
47,30,3,35,15,0.08,0.05,fixed preconfigured HGB
48,30,3,35,15,0.08,0.05,fixed preconfigured HGB
49,30,3,35,15,0.08,0.05,fixed preconfigured HGB
50,30,3,35,15,0.08,0.05,fixed preconfigured HGB
51,30,3,35,15,0.08,0.05,fixed preconfigured HGB
52,30,3,35,15,0.08,0.05,fixed preconfigured HGB
53,30,3,35,15,0.08,0.05,fixed preconfigured HGB
54,30,3,35,15,0.08,0.05,fixed preconfigured HGB
55,30,3,35,15,0.08,0.05,fixed preconfigured HGB
56,30,3,35,15,0.08,0.05,fixed preconfigured HGB
57,30,3,35,15,0.08,0.05,fixed preconfigured HGB
58,30,3,35,15,0.08,0.05,fixed preconfigured HGB
59,30,3,35,15,0.08,0.05,fixed preconfigured HGB
60,30,3,35,15,0.08,0.05,fixed preconfigured HGB
61,30,3,35,15,0.08,0.05,fixed preconfigured HGB
62,30,3,35,15,0.08,0.05,fixed preconfigured HGB
63,30,3,35,15,0.08,0.05,fixed preconfigured HGB
64,30,3,35,15,0.08,0.05,fixed preconfigured HGB
65,30,3,35,15,0.08,0.05,fixed preconfigured HGB
