method,pretrigger_risk_group,n,bias_median_frac,res68_abs_frac,full_rms_frac,catastrophic_rate,within_10pct
external_traditional_ridge,high_pretrigger,757,0.02011357858237541,0.2526877480247686,0.36867872989010075,0.3276089828269485,0.27212681638044917
external_traditional_ridge,quiet_reference,3017,-0.012580236385842256,0.21260691880357205,0.3015994252900995,0.24030493868080874,0.353994033808419
external_hgb_without_pretrigger,high_pretrigger,757,-0.014197547652824521,0.23019098317693426,0.29260551688437186,0.2813738441215324,0.3368560105680317
external_hgb_without_pretrigger,quiet_reference,3017,-0.01696028140166411,0.20854607378375203,0.25984506386752476,0.22770964534305602,0.3500165727543918
external_hgb_with_pretrigger,high_pretrigger,757,-0.013402355397359057,0.22943550025317366,0.292780926170448,0.28269484808454426,0.33157199471598414
external_hgb_with_pretrigger,quiet_reference,3017,-0.017664275719297545,0.20748528210001013,0.2651021014126873,0.22605236990387803,0.33609545906529664
external_extratrees_with_pretrigger,high_pretrigger,757,-0.011099643060346005,0.2273793521511783,0.27493204487172457,0.2774108322324967,0.33553500660501984
external_extratrees_with_pretrigger,quiet_reference,3017,-0.013280943327030796,0.20523298366842074,0.2722159365092193,0.2273781902552204,0.35498839907192575
external_duplicate_transfer_hgb,high_pretrigger,757,-0.9380325950268734,0.9651813728906644,2.0529746320369626,0.8441215323645971,0.07397622192866579
external_duplicate_transfer_hgb,quiet_reference,3017,3.3730569475667616,4.0968771671881274,3.77859051548925,0.8395757374875704,0.07258866423599603
