fold,method,candidate,sign,train_auc,median,iqr,oof_auc,oof_ap,oof_brier,oof_ece
holdout_low58_high60,traditional_template,max_downstream_peak_sample,1.0,0.6090337873622615,6.0,3.0,0.6003671309793759,0.5708316669837894,0.24991726670839579,0.05555701345843429
holdout_low58_high60,s07f_shape_rf,,,,,,0.8042096657257007,0.8145693134822977,0.17503735954006153,1.0038581203385061e-16
holdout_low58_high60,amplitude_only_rf,,,,,,0.550210560414642,0.5549044670048084,0.24467492917886335,6.897984325335439e-17
holdout_low58_high60,shuffled_label_rf,,,,,,0.5041752150595689,0.5122792238306715,0.25529249759646844,0.06575963718820858
holdout_low58_high61,traditional_template,max_downstream_peak_sample,1.0,0.6116686850988172,6.0,2.25,0.6037935788090392,0.5735194317491299,0.2430445748310618,0.018849990127405104
holdout_low58_high61,s07f_shape_rf,,,,,,0.8221353294338942,0.8349354529233359,0.16568669594688967,8.069546159315463e-17
holdout_low58_high61,amplitude_only_rf,,,,,,0.5551064186142389,0.5541899029621007,0.24485838351845907,2.874181434308781e-17
holdout_low58_high61,shuffled_label_rf,,,,,,0.40515086706691744,0.43546070619857813,0.25,2.7685129992238996e-16
holdout_low58_high62,traditional_template,max_downstream_peak_sample,1.0,0.6080709698548992,6.0,3.0,0.6095590015236305,0.5719427123444297,0.23829636724933367,0.015329985208382718
holdout_low58_high62,s07f_shape_rf,,,,,,0.8063446632586706,0.8157242433435179,0.17365035002861995,6.367455582408986e-17
holdout_low58_high62,amplitude_only_rf,,,,,,0.5567303173992909,0.5704191861062858,0.24342617202885694,9.191388874892364e-17
holdout_low58_high62,shuffled_label_rf,,,,,,0.514809118999815,0.5084991469713798,0.24811145836256981,0.030501089324618695
holdout_low65_high60,traditional_template,max_downstream_peak_sample,1.0,0.6073543606346397,6.0,3.0,0.598627058657926,0.5693432979249953,0.24945848799651577,0.05340195518873346
holdout_low65_high60,s07f_shape_rf,,,,,,0.8047065092802991,0.8142156023034844,0.1750542114360721,6.963786796836044e-17
holdout_low65_high60,amplitude_only_rf,,,,,,0.5568606849122243,0.5559806678892055,0.2441339670370823,6.534384393813982e-18
holdout_low65_high60,shuffled_label_rf,,,,,,0.5076514709726718,0.5114176823060123,0.250364098131288,0.004484304932735441
holdout_low65_high61,traditional_template,max_downstream_peak_sample,1.0,0.6098140087059755,6.0,3.0,0.6015100407660756,0.5705240289987201,0.24432622756284939,0.018860712820791554
holdout_low65_high61,s07f_shape_rf,,,,,,0.8257171751433722,0.8349008800346305,0.16419257050936756,1.0072700123165579e-16
holdout_low65_high61,amplitude_only_rf,,,,,,0.5575090608727332,0.5593837086793696,0.24413811298203952,1.1756121000103474e-17
holdout_low65_high61,shuffled_label_rf,,,,,,0.512638111569651,0.510552281104497,0.25188607992884304,0.025062656641604026
holdout_low65_high62,traditional_template,max_downstream_peak_sample,1.0,0.6064534408442331,6.0,3.0,0.6080883992271107,0.5703783885793712,0.23834375802406607,0.015618971516563968
holdout_low65_high62,s07f_shape_rf,,,,,,0.8079249033888228,0.8174821997388146,0.17304436869090398,5.263988478826173e-17
holdout_low65_high62,amplitude_only_rf,,,,,,0.5599755685196195,0.5710622887297674,0.24359652212566632,1.4834876622146487e-17
holdout_low65_high62,shuffled_label_rf,,,,,,0.48231040056480373,0.4895069757438052,0.24925287711681537,0.010775862068965403
