fold,low_run,high_run,method,n_matched_events,low_events,high_events,score_shift_high_minus_low,candidate_excess_high_minus_low,current_family_auc,low_gross_events,high_gross_events
holdout_low58_high60,58,60,traditional_template,64,32,32,0.06250000000000022,0.0,0.50244140625,0,2
holdout_low58_high60,58,60,s07f_shape_rf,64,32,32,0.003993455895206388,0.0,0.51953125,0,2
holdout_low58_high60,58,60,amplitude_only_rf,64,32,32,0.02938018196102421,0.125,0.6162109375,0,2
holdout_low58_high60,58,60,shuffled_label_rf,64,32,32,-0.018294363905339117,0.0,0.412109375,0,2
holdout_low58_high61,58,61,traditional_template,64,32,32,-0.13888888888888906,-0.15625,0.45703125,0,0
holdout_low58_high61,58,61,s07f_shape_rf,64,32,32,0.022626073092052,0.0,0.544921875,0,0
holdout_low58_high61,58,61,amplitude_only_rf,64,32,32,0.02938859737420696,0.21875,0.5986328125,0,0
holdout_low58_high61,58,61,shuffled_label_rf,64,32,32,-0.004529064837693553,-0.0625,0.49609375,0,0
holdout_low58_high62,58,62,traditional_template,68,34,34,-0.3333333333333335,-0.05882352941176469,0.3974913494809688,0,0
holdout_low58_high62,58,62,s07f_shape_rf,68,34,34,-0.026138595644344176,-0.058823529411764705,0.4429065743944637,0,0
holdout_low58_high62,58,62,amplitude_only_rf,68,34,34,0.019374858581509835,0.058823529411764705,0.5899653979238755,0,0
holdout_low58_high62,58,62,shuffled_label_rf,68,34,34,-0.012465381421711774,0.0,0.476643598615917,0,0
holdout_low65_high60,65,60,traditional_template,42,21,21,0.04761904761904745,0.0,0.49659863945578236,0,0
holdout_low65_high60,65,60,s07f_shape_rf,42,21,21,0.06166609724621119,0.047619047619047616,0.6349206349206349,0,0
holdout_low65_high60,65,60,amplitude_only_rf,42,21,21,0.019509436903442867,0.09523809523809523,0.5419501133786848,0,0
holdout_low65_high60,65,60,shuffled_label_rf,42,21,21,0.027047979291330015,0.0,0.6621315192743764,0,0
holdout_low65_high61,65,61,traditional_template,48,24,24,-0.013888888888888618,0.0,0.5173611111111112,0,1
holdout_low65_high61,65,61,s07f_shape_rf,48,24,24,0.02626004052728481,0.125,0.5729166666666666,0,1
holdout_low65_high61,65,61,amplitude_only_rf,48,24,24,-0.024252952962068808,-0.041666666666666664,0.375,0,1
holdout_low65_high61,65,61,shuffled_label_rf,48,24,24,0.017153586203690396,0.0,0.579861111111111,0,1
holdout_low65_high62,65,62,traditional_template,54,27,27,-0.17283950617283939,-0.07407407407407407,0.4533607681755829,0,0
holdout_low65_high62,65,62,s07f_shape_rf,54,27,27,0.0016065181604941747,0.0,0.5089163237311385,0,0
holdout_low65_high62,65,62,amplitude_only_rf,54,27,27,-0.013982578798702794,-0.07407407407407407,0.4403292181069959,0,0
holdout_low65_high62,65,62,shuffled_label_rf,54,27,27,-0.005878673946226709,0.0,0.46227709190672156,0,0
