event_key,run,eventno,evt,run_family,d_t_ns,abs_c_t_ns,clean_label,gross_label,event_max_amp,b2_amp,event_charge,baseline_lowering_proxy,anomaly_shape_proxy,fold,family_label,traditional_template_score,traditional_template_prob,s07f_shape_rf_score,s07f_shape_rf_prob,amplitude_only_rf_score,shuffled_label_rf_score,traditional_threshold,s07f_threshold,amplitude_threshold,shuffled_threshold
60:467883:15556:78871,60,467883,15556,high_all_three_rate,98.79188684708535,101.48226376252023,0,1,5062.0,3922.0,100285.0,20.0,1.0024333474396954,holdout_low58_high60,1,3.6666666666666665,0.75,0.5946860970930573,0.68,0.5733807790319915,0.3987846695785129,2.0,0.625446414885873,0.5900388776709861,0.6419848922969373
60:499863:12606:110851,60,499863,12606,high_all_three_rate,4.513983164896263,5.025998331161571,0,0,5212.5,3463.5,135205.0,19.5,0.5438214070956103,holdout_low58_high60,1,1.0,0.5822454308093995,0.58638993370194,0.6756756756756757,0.6118697673893727,0.5323504636565146,2.0,0.625446414885873,0.5900388776709861,0.6419848922969373
60:498966:11775:109954,60,498966,11775,high_all_three_rate,3.714042143866294,5.74453402334467,0,0,4572.0,3066.5,96283.0,15.0,0.6923036853757,holdout_low58_high60,1,0.6666666666666666,0.5822454308093995,0.28434439425518654,0.08888888888888889,0.49049146331880134,0.5686191339076444,2.0,0.625446414885873,0.5900388776709861,0.6419848922969373
58:401733:3159:12760,58,401733,3159,low_all_three_rate_edge,4.226312213123585,2.4309788368486736,0,0,4237.5,2638.5,107768.5,16.5,0.6835310449268046,holdout_low58_high60,0,0.3333333333333333,0.5822454308093995,0.4857656596452267,0.4391891891891892,0.5658670892288546,0.5713421809809325,2.0,0.625446414885873,0.5900388776709861,0.6419848922969373
58:421531:5255:32526,58,421531,5255,low_all_three_rate_edge,6.512428520253152,9.008882437245653,0,0,3381.5,2548.5,80967.0,7.0,0.7232513734423153,holdout_low58_high60,0,1.0,0.5822454308093995,0.344611270753857,0.15254237288135594,0.4512070296654974,0.5254780368710985,2.0,0.625446414885873,0.5900388776709861,0.6419848922969373
58:404100:5367:15118,58,404100,5367,low_all_three_rate_edge,4.032101171191641,3.173713899336974,0,0,3005.5,2884.5,43478.5,33.5,1.0063429988553987,holdout_low58_high60,0,3.3333333333333335,0.6551724137931034,0.43489797734523017,0.3835616438356165,0.459249272898978,0.4161606234042408,2.0,0.625446414885873,0.5900388776709861,0.6419848922969373
58:420237:4046:31237,58,420237,4046,low_all_three_rate_edge,2.0780760423604896,0.9710717697958238,1,0,3062.5,2104.5,63339.5,1133.5,0.36991119144922985,holdout_low58_high60,0,-0.6666666666666666,0.38,0.38860521244267215,0.29545454545454547,0.4224135611917245,0.5774348534547832,2.0,0.625446414885873,0.5900388776709861,0.6419848922969373
60:467918:15587:78906,60,467918,15587,high_all_three_rate,7.8376698134929725,8.369271182303649,0,0,3387.5,3182.5,86772.5,47.5,0.8122200606252545,holdout_low58_high60,1,1.0,0.5822454308093995,0.5243169291986333,0.5909090909090909,0.6511923017263587,0.48473738645088366,2.0,0.625446414885873,0.5900388776709861,0.6419848922969373
58:401283:2737:12310,58,401283,2737,low_all_three_rate_edge,6.181472238009341,2.580092384618773,0,0,3998.0,3998.0,96320.0,28.5,0.8768235052393671,holdout_low58_high60,0,1.3333333333333333,0.6551724137931034,0.49863353655680315,0.5909090909090909,0.5632995581586339,0.4710214831240919,2.0,0.625446414885873,0.5900388776709861,0.6419848922969373
60:493818:6998:104806,60,493818,6998,high_all_three_rate,4.443304285594024,4.547288607994744,0,0,2432.5,2432.5,15818.0,41.5,1.0524100994644223,holdout_low58_high60,1,3.6666666666666665,0.75,0.4006815165399768,0.29545454545454547,0.4347954122344411,0.45596518349255727,2.0,0.625446414885873,0.5900388776709861,0.6419848922969373
