method,reference_method,delta_winner_score,delta_winner_score_ci_low,delta_winner_score_ci_high,delta_time_sigma68_ns,delta_time_sigma68_ns_ci_low,delta_time_sigma68_ns_ci_high,delta_time_bias_abs_ns,delta_time_bias_abs_ns_ci_low,delta_time_bias_abs_ns_ci_high,delta_late_tail_rate,delta_late_tail_rate_ci_low,delta_late_tail_rate_ci_high,delta_pedestal_slew_abs_ns_per_adc,delta_pedestal_slew_abs_ns_per_adc_ci_low,delta_pedestal_slew_abs_ns_per_adc_ci_high,delta_pileup_miss_rate,delta_pileup_miss_rate_ci_low,delta_pileup_miss_rate_ci_high
gradient_boosted_trees,deltaE_over_E_likelihood_template,-4.680696636054602,-7.994301133654874,-1.5144843108286237,-3.127126279382315,-6.095645382707401,-0.3426046576652819,-0.7686967420326773,-2.3933053720942166,0.24337043456554408,-0.10489028753043218,-0.1438446000891897,-0.0668121459745566,-0.005055967656700258,-0.009526911257478753,-0.0024927330124341453,-0.38181818181818183,-0.393939393939394,-0.3696969696969697
derivative_slew_residual_fusion_new,deltaE_over_E_likelihood_template,-4.389161651749216,-8.092563558347102,-1.6508188090195848,-2.886291746957376,-6.277642168152809,-0.5470422486052247,-0.9445700689715819,-2.269132028603038,0.01985775064841544,-0.1000765684309988,-0.13669369763450992,-0.06552334331122762,-0.004761341248483569,-0.009673899482335584,-0.002077617116215279,-0.34848484848484845,-0.3666666666666667,-0.33030303030303027
template_residual_boosted_stack_new,deltaE_over_E_likelihood_template,-4.331372752795071,-8.057552040293112,-1.6799356122747184,-2.833463997318784,-6.238244783069146,-0.44385446554654706,-0.9463305589758964,-2.4053852258629194,-0.05236706177186079,-0.10393757229200266,-0.14377334365220906,-0.06354705872624739,-0.004571078290036428,-0.009558599926572896,-0.0019076516739807551,-0.34848484848484845,-0.3666666666666667,-0.33030303030303027
ridge,deltaE_over_E_likelihood_template,-1.5775868814240859,-4.70037195710739,1.1686336767377963,-0.6301433945399957,-3.4597419175844113,1.8307276974181939,0.15163648414976194,-1.718689214404936,1.3647014631737964,-0.04309771853179492,-0.09002607561929593,-0.002637719386026476,-0.0037095188228393485,-0.008884806956142684,-0.0010658888930663423,-0.403030303030303,-0.44545454545454544,-0.3606060606060606
1d_cnn,deltaE_over_E_likelihood_template,0.023123120567149158,-3.5803091010439907,3.0386087644729916,-0.2190204390167363,-3.111498677793497,2.230267466192089,3.011054261044528,1.5899775097395186,3.9881380634632,-0.0048221820373718915,-0.06849417055048465,0.06411196065422883,-0.002790121668343402,-0.008507286657236462,0.00017670878887980686,-0.39999999999999997,-0.41515151515151516,-0.38484848484848483
joint_sequence_transformer,deltaE_over_E_likelihood_template,1.097742355459804,-2.111440859472168,3.934477625178692,2.016773415713521,-0.4670308504489391,4.184245618715979,-0.43268065230025243,-2.5152347330891267,0.9937038800500098,0.03563056727613689,-0.03543004310267739,0.10665696292775664,-0.002122141379332012,-0.007729731867334326,0.0007940420256650788,-0.35454545454545455,-0.38787878787878793,-0.3212121212121212
mlp,deltaE_over_E_likelihood_template,3.826320424149838,1.0674334105423107,6.214170642257415,4.3873904000178765,2.1762724327681173,6.051073635630425,-0.8423414709678712,-2.2262143225948794,1.1233652143343642,0.12458559373116335,0.06747735659174775,0.20021304299148196,-0.0061492488453722405,-0.009877185860198524,-0.002322576406632877,-0.3909090909090909,-0.4333333333333333,-0.34848484848484845
