consumer,stratum,candidate,n_pair_residuals,atom_gate_fraction,candidate_minus_analytic_sigma68_ns,candidate_minus_analytic_full_rms_ns,candidate_minus_analytic_tail_frac_abs_gt5ns,analytic_sigma68_ns,candidate_sigma68_ns,analytic_tail_frac_abs_gt5ns,candidate_tail_frac_abs_gt5ns,sigma68_delta_ci_low_ns,sigma68_delta_ci_high_ns,full_rms_delta_ci_low_ns,full_rms_delta_ci_high_ns,tail_frac_delta_ci_low,tail_frac_delta_ci_high
timing,all,s03l_atom_gated_hgb,11460,0.5902268760907504,0.06453191705208305,-0.22923852423523394,0.003141361256544503,1.5510917109777835,1.6156236280298666,0.019109947643979056,0.02225130890052356,-0.17953882442212296,0.20569904028849093,-0.311093776848244,-0.15293769085837483,-0.0032353900246106368,0.009282349681352178
timing,all,hgb_waveform_amp_shape_stave,11460,0.5902268760907504,-0.4436748790174483,-0.5352791068471547,-0.0053228621291448504,1.5510917109777835,1.1074168319603352,0.019109947643979056,0.013787085514834206,-0.7757971844938046,-0.23651506743705522,-0.5920844644602716,-0.45548413141029864,-0.008155499908977175,-0.0024080973909779164
timing,S03l high-risk atoms,s03l_atom_gated_hgb,6764,1.0,-0.5176016707817954,-0.6213336161310501,-0.0056179775280898875,1.5351699442993287,1.0175682735175333,0.024541691306918984,0.018923713778829097,-0.7828864803283099,-0.3941494011278038,-0.7087324645549328,-0.544004142248276,-0.009957798051262954,-0.0022847421925119528
timing,S03l high-risk atoms,hgb_waveform_amp_shape_stave,6764,1.0,-0.5176016707817954,-0.6213336161310501,-0.0056179775280898875,1.5351699442993287,1.0175682735175333,0.024541691306918984,0.018923713778829097,-0.7783917981208025,-0.38665655545457017,-0.7303864738465472,-0.5355577791400221,-0.010153472563411307,-0.001969403240240448
timing,S03l nominal atoms,s03l_atom_gated_hgb,4696,0.0,0.0,0.0,0.0,1.5838984535622223,1.5838984535622223,0.011286201022146508,0.011286201022146508,0.0,0.0,0.0,0.0,0.0,0.0
timing,S03l nominal atoms,hgb_waveform_amp_shape_stave,4696,0.0,-0.35197827633493284,-0.3793520419333587,-0.004471890971039182,1.5838984535622223,1.2319201772272894,0.011286201022146508,0.0068143100511073255,-0.7231730402114762,-0.011782376047360984,-0.5124046322698225,-0.1869938998454782,-0.00860162202015237,-0.0002604387722187349
charge,all_charge_matched,s03l_atom_gated_hgb,11460,0.5902268760907504,0.06453191705208305,-0.22923852423523394,0.003141361256544503,1.5510917109777835,1.6156236280298666,0.019109947643979056,0.02225130890052356,-0.18006617574580142,0.19932533040112016,-0.3123936461278814,-0.15816602913448186,-0.0036897080177185192,0.009025545205579825
charge,all_charge_matched,hgb_waveform_amp_shape_stave,11460,0.5902268760907504,-0.4436748790174483,-0.5352791068471547,-0.0053228621291448504,1.5510917109777835,1.1074168319603352,0.019109947643979056,0.013787085514834206,-0.860892436013405,-0.24531259098669358,-0.5972944491654517,-0.45368739536540215,-0.009272157918432507,-0.0022346052055900907
energy,all_energy_support,s03l_atom_gated_hgb,11460,0.5902268760907504,0.06453191705208305,-0.22923852423523394,0.003141361256544503,1.5510917109777835,1.6156236280298666,0.019109947643979056,0.02225130890052356,-0.1736225492530332,0.19851488507329348,-0.31780865575283906,-0.16165193186500737,-0.0031838583319006132,0.009070294784580497
energy,all_energy_support,hgb_waveform_amp_shape_stave,11460,0.5902268760907504,-0.4436748790174483,-0.5352791068471547,-0.0053228621291448504,1.5510917109777835,1.1074168319603352,0.019109947643979056,0.013787085514834206,-0.8058171241466829,-0.2530921435473274,-0.5975598511395334,-0.4548308804585228,-0.008458657720952804,-0.0022761305780173713
