heldout_run,bin,prob_low,prob_high,n,mean_predicted_probability,observed_quiet_fraction
31,0,0.0,0.1,31604,0.00114773772146532,0.0
31,1,0.1,0.2,288,0.14618462885895575,0.0
31,2,0.2,0.30000000000000004,203,0.2480064838606979,0.0
31,3,0.30000000000000004,0.4,187,0.34944192770132515,0.0
31,4,0.4,0.5,148,0.44932702801478697,0.0
31,5,0.5,0.6000000000000001,163,0.5506762920300067,0.0
31,6,0.6000000000000001,0.7000000000000001,189,0.6507894597278471,0.0
31,7,0.7000000000000001,0.8,246,0.7493859653041401,0.0
31,8,0.8,0.9,338,0.8553532232753658,0.0
31,9,0.9,1.0,126594,0.9995824449422861,0.19945653032529187
32,0,0.0,0.1,33114,0.001263852867089299,0.0
32,1,0.1,0.2,346,0.14589694523587077,0.0
32,2,0.2,0.30000000000000004,238,0.24497670513623304,0.0
32,3,0.30000000000000004,0.4,205,0.3501214037322556,0.0
32,4,0.4,0.5,182,0.4481199952108039,0.0
32,5,0.5,0.6000000000000001,182,0.549330338223289,0.0
32,6,0.6000000000000001,0.7000000000000001,211,0.6508704552791189,0.0
32,7,0.7000000000000001,0.8,223,0.7540591606035829,0.0
32,8,0.8,0.9,398,0.8556547524373025,0.0
32,9,0.9,1.0,132585,0.9995880225274834,0.2140287362823849
33,0,0.0,0.1,41680,0.0013241790014642484,0.0
33,1,0.1,0.2,485,0.14548802357303905,0.0
33,2,0.2,0.30000000000000004,315,0.24966876773863156,0.0
33,3,0.30000000000000004,0.4,297,0.3490824463716676,0.0
33,4,0.4,0.5,242,0.44831578869952093,0.0
33,5,0.5,0.6000000000000001,239,0.55099462998088,0.0
33,6,0.6000000000000001,0.7000000000000001,321,0.6524080399511077,0.0
33,7,0.7000000000000001,0.8,359,0.7506041519529755,0.0
33,8,0.8,0.9,540,0.8541999903090164,0.0
33,9,0.9,1.0,184214,0.9995913110398686,0.10701141064197076
34,0,0.0,0.1,31454,0.0013684331068091165,0.0
34,1,0.1,0.2,374,0.14524966329195746,0.0
34,2,0.2,0.30000000000000004,223,0.25101896672708557,0.0
34,3,0.30000000000000004,0.4,194,0.348028209776149,0.0
34,4,0.4,0.5,171,0.4484942278191707,0.0
34,5,0.5,0.6000000000000001,180,0.5500422701575114,0.0
34,6,0.6000000000000001,0.7000000000000001,226,0.6509960450802008,0.0
34,7,0.7000000000000001,0.8,288,0.7525958794425428,0.0
34,8,0.8,0.9,396,0.8534899341011436,0.0
34,9,0.9,1.0,125554,0.9995232094919612,0.1029278238845437
35,0,0.0,0.1,19013,0.001511467941368413,0.0
35,1,0.1,0.2,244,0.14379108630421766,0.0
35,2,0.2,0.30000000000000004,147,0.2533351459576522,0.0
35,3,0.30000000000000004,0.4,136,0.3498401245724476,0.0
35,4,0.4,0.5,109,0.45094808143528076,0.0
35,5,0.5,0.6000000000000001,130,0.5503512058050766,0.0
35,6,0.6000000000000001,0.7000000000000001,154,0.6533745143691101,0.0
35,7,0.7000000000000001,0.8,160,0.7491674959631313,0.0
35,8,0.8,0.9,237,0.8544010065394378,0.0
35,9,0.9,1.0,90814,0.9995974449438065,0.3563217125112868
36,0,0.0,0.1,16125,0.0014701987360303587,0.0
36,1,0.1,0.2,188,0.14534290696534014,0.0
36,2,0.2,0.30000000000000004,117,0.24637130064165083,0.0
36,3,0.30000000000000004,0.4,96,0.3526630570145391,0.0
36,4,0.4,0.5,101,0.44804372896636474,0.0
