stave,calibration_offset_adc,method,heldout_run
B2,-17.5,traditional_quietest_calibrated_median,31
B4,-17.5,traditional_quietest_calibrated_median,31
B6,-14.5,traditional_quietest_calibrated_median,31
B8,-14.5,traditional_quietest_calibrated_median,31
B2,-11.5,traditional_quietish_calibrated_median,31
B4,-11.0,traditional_quietish_calibrated_median,31
B6,-7.5,traditional_quietish_calibrated_median,31
B8,-9.0,traditional_quietish_calibrated_median,31
B2,-17.172514257639705,ml_ipw_quiet_probability,31
B4,-17.27760693266555,ml_ipw_quiet_probability,31
B6,-14.262226314971485,ml_ipw_quiet_probability,31
B8,-14.03203162812406,ml_ipw_quiet_probability,31
B2,-17.5,traditional_quietest_calibrated_median,32
B4,-17.5,traditional_quietest_calibrated_median,32
B6,-14.5,traditional_quietest_calibrated_median,32
B8,-14.0,traditional_quietest_calibrated_median,32
B2,-11.5,traditional_quietish_calibrated_median,32
B4,-11.0,traditional_quietish_calibrated_median,32
B6,-7.5,traditional_quietish_calibrated_median,32
B8,-8.637499999999818,traditional_quietish_calibrated_median,32
B2,-17.172514257751573,ml_ipw_quiet_probability,32
B4,-17.129958390740285,ml_ipw_quiet_probability,32
B6,-14.262226314986037,ml_ipw_quiet_probability,32
B8,-13.449880162902446,ml_ipw_quiet_probability,32
B2,-17.5,traditional_quietest_calibrated_median,33
B4,-17.5,traditional_quietest_calibrated_median,33
B6,-14.5,traditional_quietest_calibrated_median,33
B8,-14.5,traditional_quietest_calibrated_median,33
B2,-12.0,traditional_quietish_calibrated_median,33
B4,-11.0,traditional_quietish_calibrated_median,33
B6,-7.5,traditional_quietish_calibrated_median,33
B8,-9.0,traditional_quietish_calibrated_median,33
B2,-17.352937310933157,ml_ipw_quiet_probability,33
B4,-17.26613724244362,ml_ipw_quiet_probability,33
B6,-14.336448462521275,ml_ipw_quiet_probability,33
B8,-13.94358297587678,ml_ipw_quiet_probability,33
B2,-17.5,traditional_quietest_calibrated_median,34
B4,-17.5,traditional_quietest_calibrated_median,34
B6,-14.5,traditional_quietest_calibrated_median,34
B8,-14.0,traditional_quietest_calibrated_median,34
B2,-12.0,traditional_quietish_calibrated_median,34
B4,-11.0,traditional_quietish_calibrated_median,34
B6,-7.5,traditional_quietish_calibrated_median,34
B8,-8.887499999999818,traditional_quietish_calibrated_median,34
B2,-17.352937310775815,ml_ipw_quiet_probability,34
B4,-17.26359058114349,ml_ipw_quiet_probability,34
B6,-14.292834440976549,ml_ipw_quiet_probability,34
B8,-13.497124686938605,ml_ipw_quiet_probability,34
B2,-18.0,traditional_quietest_calibrated_median,35
B4,-17.5,traditional_quietest_calibrated_median,35
B6,-14.5,traditional_quietest_calibrated_median,35
B8,-14.0,traditional_quietest_calibrated_median,35
B2,-12.0,traditional_quietish_calibrated_median,35
B4,-11.0,traditional_quietish_calibrated_median,35
B6,-7.5,traditional_quietish_calibrated_median,35
B8,-9.0,traditional_quietish_calibrated_median,35
B2,-17.353750000223044,ml_ipw_quiet_probability,35
B4,-17.261043920787415,ml_ipw_quiet_probability,35
B6,-14.219151894193601,ml_ipw_quiet_probability,35
B8,-13.713471902364745,ml_ipw_quiet_probability,35
B2,-17.5,traditional_quietest_calibrated_median,36
B4,-17.5,traditional_quietest_calibrated_median,36
B6,-14.5,traditional_quietest_calibrated_median,36
B8,-14.5,traditional_quietest_calibrated_median,36
B2,-11.5,traditional_quietish_calibrated_median,36
B4,-11.0,traditional_quietish_calibrated_median,36
B6,-7.5,traditional_quietish_calibrated_median,36
B8,-9.0,traditional_quietish_calibrated_median,36
B2,-17.182965517783487,ml_ipw_quiet_probability,36
B4,-17.186295388874896,ml_ipw_quiet_probability,36
B6,-14.262226315045154,ml_ipw_quiet_probability,36
B8,-13.94358297580402,ml_ipw_quiet_probability,36
B2,-17.5,traditional_quietest_calibrated_median,37
B4,-17.5,traditional_quietest_calibrated_median,37
B6,-14.5,traditional_quietest_calibrated_median,37
B8,-14.274999999999636,traditional_quietest_calibrated_median,37
B2,-11.5,traditional_quietish_calibrated_median,37
B4,-11.0,traditional_quietish_calibrated_median,37
B6,-7.5,traditional_quietish_calibrated_median,37
B8,-9.0,traditional_quietish_calibrated_median,37
B2,-16.9908518313905,ml_ipw_quiet_probability,37
B4,-17.095781836765127,ml_ipw_quiet_probability,37
B6,-14.262226315296175,ml_ipw_quiet_probability,37
B8,-13.943582975765821,ml_ipw_quiet_probability,37
B2,-17.5,traditional_quietest_calibrated_median,39
B4,-17.5,traditional_quietest_calibrated_median,39
B6,-14.5,traditional_quietest_calibrated_median,39
B8,-14.0,traditional_quietest_calibrated_median,39
B2,-11.5,traditional_quietish_calibrated_median,39
B4,-11.0,traditional_quietish_calibrated_median,39
B6,-7.5,traditional_quietish_calibrated_median,39
