method,run,n,pedestal_bias_adc,pedestal_mae_adc,charge_bias_adc_sample,timing_tail_delta_fraction
ml_ipw_quiet_probability,31,2500,-118.61425131220663,152.91761296988773,1067.528261809858,0.0032
ml_ipw_quiet_probability,32,2500,-120.81303916562116,154.53928133491337,1087.3173524905903,0.004
ml_ipw_quiet_probability,33,2195,-95.38968705643833,115.1306693064605,858.5071835079466,0.004100227790432802
ml_ipw_quiet_probability,34,1502,-44.195731159500866,82.63775594139514,397.76158043550885,0.004660452729693742
ml_ipw_quiet_probability,35,2500,-81.97946397340536,116.95447479858935,737.8151757606462,0.0036
ml_ipw_quiet_probability,36,2500,-105.85453581301373,150.36044312849626,952.6908223171215,0.004
ml_ipw_quiet_probability,37,2500,-128.38150489815635,182.33041264522322,1155.4335440834093,0.0016
ml_ipw_quiet_probability,39,2500,-148.00090894833357,184.76889835175544,1332.0081805350003,0.0012
ml_ipw_quiet_probability,40,2500,-131.07305701497742,157.12446168750643,1179.6575131347988,0.0052
ml_ipw_quiet_probability,41,2500,-155.0692459007954,176.5566879623674,1395.6232131071608,0.0032
ml_ipw_quiet_probability,42,2500,-127.53363676421183,180.8109515791266,1147.8027308779087,0.0052
ml_ipw_quiet_probability,44,582,-123.61968781530308,163.1416946648503,1112.5771903377276,0.010309278350515464
ml_ipw_quiet_probability,45,2500,-142.74253765090373,185.19188393137242,1284.6828388581316,0.0032
ml_ipw_quiet_probability,46,168,-71.10609502192732,90.68617230095036,639.954855197348,0.0
ml_ipw_quiet_probability,47,1247,-38.7382818067643,90.60830365381857,348.6445362608776,0.0032076984763432237
ml_ipw_quiet_probability,48,2500,-121.89822750582839,158.78859421071337,1097.0840475524574,0.0024
ml_ipw_quiet_probability,49,2500,-135.68413544529326,172.32119597447513,1221.1572190076377,0.0064
ml_ipw_quiet_probability,50,2470,-76.19057630035051,132.71210414905295,685.7151867031528,0.0016194331983805667
ml_ipw_quiet_probability,51,1460,-105.58060643774476,150.0766240596435,950.2254579397047,0.00410958904109589
ml_ipw_quiet_probability,52,698,-81.06072052886731,136.91672514149317,729.5464847598039,0.004297994269340974
ml_ipw_quiet_probability,53,2026,-103.90888183815942,160.87719922651064,935.1799365434365,0.004935834155972359
ml_ipw_quiet_probability,54,1827,-93.29318463468455,124.96783353027888,839.6386617121609,0.0021893814997263274
ml_ipw_quiet_probability,55,1712,-124.49659156540962,146.8433532764824,1120.4693240886866,0.0017523364485981308
ml_ipw_quiet_probability,56,2500,-68.32456674326257,144.37024043065375,614.9211006893617,0.0052
ml_ipw_quiet_probability,57,2500,-123.76687888327898,155.66059426342463,1113.9019099495088,0.0036
ml_ipw_quiet_probability,58,2500,-26.869359934727587,48.118288199268164,241.82423941254936,0.0052
