run,lowering_stratum,n
31,s16_large_lowering,4190
31,s16_mild_lowering,33620
31,s16_no_lowering,122150
32,s16_large_lowering,4523
32,s16_mild_lowering,35969
32,s16_no_lowering,127192
33,s16_large_lowering,2387
33,s16_mild_lowering,47977
33,s16_no_lowering,178328
34,s16_large_lowering,1485
34,s16_mild_lowering,34996
34,s16_no_lowering,122579
35,s16_large_lowering,3648
35,s16_mild_lowering,25887
35,s16_no_lowering,81609
36,s16_large_lowering,3040
36,s16_mild_lowering,19954
36,s16_no_lowering,64062
37,s16_large_lowering,8729
37,s16_mild_lowering,47015
37,s16_no_lowering,146308
39,s16_large_lowering,5478
39,s16_mild_lowering,29592
39,s16_no_lowering,86214
40,s16_large_lowering,5938
40,s16_mild_lowering,33910
40,s16_no_lowering,90604
41,s16_large_lowering,5955
41,s16_mild_lowering,35464
41,s16_no_lowering,94569
42,s16_large_lowering,5839
42,s16_mild_lowering,35812
42,s16_no_lowering,94237
44,s16_large_lowering,772
44,s16_mild_lowering,4339
44,s16_no_lowering,12065
45,s16_large_lowering,8498
45,s16_mild_lowering,49407
45,s16_no_lowering,134819
46,s16_large_lowering,94
46,s16_mild_lowering,1484
46,s16_no_lowering,4186
47,s16_large_lowering,720
47,s16_mild_lowering,10736
47,s16_no_lowering,32424
48,s16_large_lowering,5380
48,s16_mild_lowering,33042
48,s16_no_lowering,88430
49,s16_large_lowering,5617
49,s16_mild_lowering,33829
49,s16_no_lowering,89970
50,s16_large_lowering,3401
50,s16_mild_lowering,44863
50,s16_no_lowering,130952
51,s16_large_lowering,2015
51,s16_mild_lowering,20799
51,s16_no_lowering,59462
52,s16_large_lowering,1005
52,s16_mild_lowering,10111
52,s16_no_lowering,28904
53,s16_large_lowering,3024
53,s16_mild_lowering,39916
53,s16_no_lowering,115508
54,s16_large_lowering,2630
54,s16_mild_lowering,37439
54,s16_no_lowering,109583
55,s16_large_lowering,2564
55,s16_mild_lowering,25007
55,s16_no_lowering,70093
56,s16_large_lowering,4123
56,s16_mild_lowering,54294
56,s16_no_lowering,148875
57,s16_large_lowering,5317
57,s16_mild_lowering,35213
57,s16_no_lowering,84606
58,s16_large_lowering,1657
58,s16_mild_lowering,37981
58,s16_no_lowering,96926
59,s16_large_lowering,6613
59,s16_mild_lowering,48680
59,s16_no_lowering,113919
60,s16_large_lowering,5527
60,s16_mild_lowering,41459
60,s16_no_lowering,97310
61,s16_large_lowering,5807
61,s16_mild_lowering,41812
61,s16_no_lowering,98521
62,s16_large_lowering,5758
62,s16_mild_lowering,43310
62,s16_no_lowering,101268
63,s16_large_lowering,4488
63,s16_mild_lowering,42197
63,s16_no_lowering,101435
64,s16_large_lowering,3412
64,s16_mild_lowering,42142
64,s16_no_lowering,98218
65,s16_large_lowering,2742
65,s16_mild_lowering,46543
65,s16_no_lowering,104411
