run,events_total,b_stave_records,selected_b_stave_pulses
31,39990,159960,27871
32,41921,167684,28240
33,57173,228692,48737
34,39765,159060,34118
35,27786,111144,11667
36,21764,87056,10391
37,50513,202052,24537
39,30321,121284,14218
40,32613,130452,14708
41,33997,135988,16146
42,33972,135888,18112
44,4294,17176,2038
45,48181,192724,24333
46,1441,5764,687
47,10970,43880,5276
48,31713,126852,14000
49,32354,129416,14815
50,44804,179216,35217
51,20569,82276,14740
52,10005,40020,7152
53,39612,158448,32200
54,37413,149652,30440
55,24416,97664,17387
56,51823,207292,40148
57,31284,125136,13833
58,34141,136564,16781
59,42303,169212,21377
60,36074,144296,17029
61,36535,146140,18965
62,37584,150336,19089
63,37030,148120,18817
64,35943,143772,14630
65,38424,153696,13038
