method,slice,value,n_events,boundary_disagreement_rate,disagreement_error_rate,agreement_error_rate,traditional_auc,method_auc,method_minus_traditional_auc,traditional_boundary_margin_median,method_boundary_margin_median
1d_cnn,overall,all,480,0.11041666666666666,0.5283018867924528,0.2459016393442623,0.7503256621797656,0.7926183239253147,0.04229266174554913,0.23762145327451525,0.19094422385420873
1d_cnn,source_run,58,96,0.11458333333333333,0.5454545454545454,0.2,0.7917228969860549,0.8299595141700404,0.03823661718398552,0.22142017046799076,0.17331004828410382
1d_cnn,source_run,60,96,0.09375,0.6666666666666666,0.25287356321839083,0.7178819444444445,0.7960069444444444,0.07812499999999989,0.2759893523629617,0.21001359658467494
1d_cnn,source_run,62,96,0.10416666666666667,0.3,0.27906976744186046,0.7416413373860182,0.790273556231003,0.04863221884498481,0.22831831438936884,0.20010062900616551
1d_cnn,source_run,64,96,0.16666666666666666,0.5625,0.2875,0.7094356261022927,0.7089947089947088,-0.00044091710758387137,0.22136812530975128,0.19307741626386196
1d_cnn,source_run,65,96,0.07291666666666667,0.5714285714285714,0.21348314606741572,0.7734204793028323,0.825272331154684,0.051851851851851705,0.2279732113814674,0.1862796876270513
1d_cnn,pid_name,deuteron,235,0.1702127659574468,0.625,0.3435897435897436,,,,0.22028133116420467,0.15387849885321936
1d_cnn,pid_name,proton,245,0.053061224489795916,0.23076923076923078,0.16379310344827586,,,,0.2557724945056249,0.22692384102800378
1d_cnn,energy_bin,energy_high,158,0.08860759493670886,0.5,0.2569444444444444,0.7312810646143979,0.7601410934744267,0.028860028860028808,0.24089378947281537,0.215360326419835
1d_cnn,energy_bin,energy_low,169,0.1242603550295858,0.23809523809523808,0.25,0.7148972602739725,0.8423230593607306,0.1274257990867581,0.272434666175993,0.17086040721546308
1d_cnn,energy_bin,energy_mid,153,0.11764705882352941,0.8888888888888888,0.22962962962962963,0.8045267489711934,0.770747599451303,-0.03377914951989036,0.2171483543872692,0.1927790299237495
1d_cnn,timing_bin,time_early,148,0.033783783783783786,0.0,0.006993006993006993,0.9931972789115646,1.0,0.006802721088435382,0.25388310079216037,0.2424297668292033
1d_cnn,timing_bin,time_late,168,0.20238095238095238,0.5588235294117647,0.3656716417910448,0.2964678633468442,0.32310364794441226,0.026635784597568046,0.20842893781312805,0.1486252573924525
1d_cnn,timing_bin,time_mid,164,0.08536585365853659,0.6428571428571429,0.36666666666666664,0.5965069413345274,0.6383042245111211,0.0417972831765937,0.2507816618289646,0.17381513082274047
1d_cnn,pileup_bin,pileup,240,0.10833333333333334,0.5,0.24299065420560748,0.7469963191888326,0.7721369539551358,0.025140634766303238,0.23260166785684722,0.19094422385420873
1d_cnn,pileup_bin,single,240,0.1125,0.5555555555555556,0.24882629107981222,0.752297410192147,0.816624895572264,0.06432748538011701,0.23832008142507585,0.19152937141343696
1d_cnn,saturation_bin,saturated,179,0.0893854748603352,0.75,0.2147239263803681,0.816591704147926,0.8012243878060971,-0.015367316341828974,0.23288578061699317,0.20673079668255556
1d_cnn,saturation_bin,unsaturated,301,0.12292358803986711,0.43243243243243246,0.26515151515151514,0.7193517046458223,0.7903638933050697,0.07101218865924741,0.2512535142889733,0.18308666083052305
1d_cnn,pedestal_bin,pedestal_high,118,0.1016949152542373,0.5,0.27358490566037735,0.7329282407407407,0.7800925925925926,0.04716435185185186,0.22961571859149338,0.20616289339669838
1d_cnn,pedestal_bin,pedestal_low,181,0.11602209944751381,0.5238095238095238,0.225,0.731345115365734,0.7952871870397644,0.06394207167403043,0.2437243547093878,0.1787234585078476
1d_cnn,pedestal_bin,pedestal_mid,181,0.11049723756906077,0.55,0.2484472049689441,0.7895189003436426,0.8118556701030928,0.022336769759450203,0.23434886577748149,0.19918413308663552
1d_cnn,stave,B2,132,0.11363636363636363,0.5333333333333333,0.23931623931623933,0.824059108750866,0.8067420918956361,-0.017317016855229905,0.2496490265632928,0.22150671559628754
1d_cnn,stave,B4,108,0.12962962962962962,0.42857142857142855,0.3617021276595745,0.7387798036465638,0.7959326788218793,0.05715287517531553,0.2559765045342778,0.2116950469246957
1d_cnn,stave,B6,121,0.09090909090909091,0.5454545454545454,0.23636363636363636,0.7095628415300547,0.7822404371584699,0.07267759562841525,0.23852427628974832,0.1683615277391406
1d_cnn,stave,B8,119,0.1092436974789916,0.6153846153846154,0.16037735849056603,0.8223306544202067,0.8800229621125143,0.0576923076923076,0.1911242995929009,0.16937729389420164
gradient_boosted_trees,overall,all,480,0.20625,0.2828282828282828,0.15485564304461943,0.7503256621797656,0.9058966565349543,0.15557099435518873,0.23762145327451525,0.43491582371516113
gradient_boosted_trees,source_run,58,96,0.17708333333333334,0.23529411764705882,0.11392405063291139,0.7917228969860549,0.9361223571749888,0.1443994601889339,0.22142017046799076,0.4408963320233737
gradient_boosted_trees,source_run,60,96,0.17708333333333334,0.17647058823529413,0.13924050632911392,0.7178819444444445,0.9205729166666666,0.2026909722222221,0.2759893523629617,0.4367218520929985
gradient_boosted_trees,source_run,62,96,0.25,0.3333333333333333,0.20833333333333334,0.7416413373860182,0.841511072514112,0.09986973512809372,0.22831831438936884,0.398136592627039
gradient_boosted_trees,source_run,64,96,0.1875,0.2222222222222222,0.20512820512820512,0.7094356261022927,0.900352733686067,0.19091710758377434,0.22136812530975128,0.43381904766279056
gradient_boosted_trees,source_run,65,96,0.23958333333333334,0.391304347826087,0.1095890410958904,0.7734204793028323,0.922875816993464,0.14945533769063168,0.2279732113814674,0.44842225047592
gradient_boosted_trees,pid_name,deuteron,235,0.3148936170212766,0.20270270270270271,0.14285714285714285,,,,0.22028133116420467,0.3914775461060669
gradient_boosted_trees,pid_name,proton,245,0.10204081632653061,0.52,0.16363636363636364,,,,0.2557724945056249,0.4819529884207814
gradient_boosted_trees,energy_bin,energy_high,158,0.22151898734177214,0.42857142857142855,0.1951219512195122,0.7312810646143979,0.8643578643578643,0.13307679974346642,0.24089378947281537,0.3863418501705791
gradient_boosted_trees,energy_bin,energy_low,169,0.23076923076923078,0.20512820512820512,0.16923076923076924,0.7148972602739725,0.8964041095890409,0.18150684931506844,0.272434666175993,0.4293747896883325
