method,metric,run_block_mean,ci_low,ci_high,n_boot
frontier_transfer_fusion_hgb_new,average_precision,0.8684807256235827,0.6848072562358276,0.988095238095238,4000
frontier_transfer_fusion_hgb_new,roc_auc,0.9067460317460317,0.763888888888889,0.996031746031746,4000
frontier_transfer_fusion_hgb_new,balanced_accuracy,0.875,0.7321428571428571,0.9880952380952381,4000
frontier_transfer_fusion_hgb_new,precision_at_prevalence_k,0.9523809523809523,0.8571428571428571,1.0,4000
frontier_transfer_fusion_hgb_new,brier,0.08702392455105591,0.032393078408026764,0.14561191245613955,4000
frontier_transfer_fusion_hgb_new,log_loss,0.2586446841118262,0.11272614612694133,0.42548285927562174,4000
gradient_boosted_trees,average_precision,0.8684807256235827,0.6848072562358276,0.988095238095238,4000
gradient_boosted_trees,roc_auc,0.9067460317460317,0.763888888888889,0.996031746031746,4000
gradient_boosted_trees,balanced_accuracy,0.875,0.732142857142857,0.9880952380952381,4000
gradient_boosted_trees,precision_at_prevalence_k,0.9523809523809523,0.8571428571428571,1.0,4000
gradient_boosted_trees,brier,0.08655926274714218,0.031531942747306606,0.14756371029679347,4000
gradient_boosted_trees,log_loss,0.2569938898420813,0.1087391735686967,0.4163686207925325,4000
mlp_tabular_waveform,average_precision,0.7410822510822511,0.6012121212121213,0.8839393939393939,4000
mlp_tabular_waveform,roc_auc,0.7682539682539683,0.6428571428571429,0.9047619047619048,4000
mlp_tabular_waveform,balanced_accuracy,0.6638888888888889,0.5448412698412698,0.8095238095238094,4000
mlp_tabular_waveform,precision_at_prevalence_k,0.5142857142857143,0.22857142857142856,0.7999999999999999,4000
mlp_tabular_waveform,brier,0.1658995733603655,0.13893696330584376,0.19514644466072192,4000
mlp_tabular_waveform,log_loss,0.49675305633911765,0.43523489179261626,0.5635831983797158,4000
one_dimensional_cnn,average_precision,1.0,1.0,1.0,4000
one_dimensional_cnn,roc_auc,1.0,1.0,1.0,4000
one_dimensional_cnn,balanced_accuracy,0.9071428571428571,0.8047023809523808,0.9880952380952381,4000
one_dimensional_cnn,precision_at_prevalence_k,1.0,1.0,1.0,4000
one_dimensional_cnn,brier,0.08732438743181023,0.02448377980144085,0.1580146289004955,4000
one_dimensional_cnn,log_loss,0.32540104903509104,0.07009997661865097,0.6110465446804212,4000
ridge_logistic,average_precision,1.0,1.0,1.0,4000
ridge_logistic,roc_auc,1.0,1.0,1.0,4000
ridge_logistic,balanced_accuracy,0.930952380952381,0.8166666666666667,1.0,4000
ridge_logistic,precision_at_prevalence_k,1.0,1.0,1.0,4000
ridge_logistic,brier,0.050434824586729224,0.022431508588221943,0.08014291275892083,4000
ridge_logistic,log_loss,0.16360601318899676,0.08777174299308524,0.24149940766005115,4000
strong_traditional_dropout_shape_score,average_precision,0.7467388167388167,0.5155266955266955,0.9285714285714286,4000
strong_traditional_dropout_shape_score,roc_auc,0.7492063492063492,0.4984126984126985,0.9523809523809524,4000
strong_traditional_dropout_shape_score,balanced_accuracy,0.592063492063492,0.4619047619047619,0.6666666666666666,4000
strong_traditional_dropout_shape_score,precision_at_prevalence_k,0.6,0.2857142857142857,0.8857142857142858,4000
strong_traditional_dropout_shape_score,brier,0.22774885663103397,0.1033041127461886,0.38140399064228975,4000
strong_traditional_dropout_shape_score,log_loss,1.2690806513359374,0.3112897247949878,2.3321037555416626,4000
