method,run,n,positives,average_precision,roc_auc,balanced_accuracy,precision_at_prevalence_k,recall,precision,brier,log_loss
frontier_transfer_fusion_hgb_new,37,9,3,0.9166666666666665,0.9722222222222222,0.9166666666666667,1.0,1.0,0.75,0.08311955227551014,0.25748934922764655
frontier_transfer_fusion_hgb_new,40,7,3,0.8055555555555556,0.875,0.7083333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.13799571964380059,0.4013255999124081
frontier_transfer_fusion_hgb_new,42,4,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0008021645851352636,0.016446984648375816
frontier_transfer_fusion_hgb_new,49,4,1,1.0,1.0,1.0,1.0,1.0,1.0,0.00042974086238392465,0.013522832517739804
frontier_transfer_fusion_hgb_new,57,4,1,1.0,1.0,1.0,1.0,1.0,1.0,0.12053797802330862,0.3313609697383856
frontier_transfer_fusion_hgb_new,62,14,5,0.35714285714285715,0.5,0.5,1.0,1.0,0.35714285714285715,0.23142857142857137,0.6559222874091734
frontier_transfer_fusion_hgb_new,64,7,2,1.0,1.0,1.0,1.0,1.0,1.0,0.034853745038681466,0.13444476532905408
gradient_boosted_trees,37,9,3,0.9166666666666665,0.9722222222222222,0.9166666666666667,1.0,1.0,0.75,0.08305300632858463,0.256945461923405
gradient_boosted_trees,40,7,3,0.8055555555555556,0.875,0.7083333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.139847760616146,0.4044895962724008
gradient_boosted_trees,42,4,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0006835167976673659,0.015192796301976418
gradient_boosted_trees,49,4,1,1.0,1.0,1.0,1.0,1.0,1.0,0.00035643668705227,0.012567455053436857
gradient_boosted_trees,57,4,1,1.0,1.0,1.0,1.0,1.0,1.0,0.11603362665517888,0.32033466411641154
gradient_boosted_trees,62,14,5,0.35714285714285715,0.5,0.5,1.0,1.0,0.35714285714285715,0.23142857142857137,0.6559222874091734
gradient_boosted_trees,64,7,2,1.0,1.0,1.0,1.0,1.0,1.0,0.034511920716794674,0.13350496781776527
mlp_tabular_waveform,37,9,3,0.8333333333333333,0.8333333333333333,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.14472036140537525,0.4113709790238825
mlp_tabular_waveform,40,7,3,0.6333333333333333,0.5,0.5416666666666666,0.3333333333333333,0.3333333333333333,0.5,0.23125513584618437,0.6515775823578199
mlp_tabular_waveform,42,4,1,0.5,0.6666666666666667,0.5,0.0,0.0,0.0,0.1822485200374818,0.5195491334395256
mlp_tabular_waveform,49,4,1,0.5,0.6666666666666667,0.5,0.0,0.0,0.0,0.16206842699320112,0.4808481485939621
mlp_tabular_waveform,57,4,1,1.0,1.0,0.8333333333333333,1.0,1.0,0.5,0.13803208438030787,0.4486177231669355
mlp_tabular_waveform,62,14,5,0.7209090909090909,0.7111111111111111,0.5222222222222221,0.6,0.6,0.375,0.19582148228945906,0.5785813805271813
mlp_tabular_waveform,64,7,2,1.0,1.0,1.0,1.0,1.0,1.0,0.107151002570549,0.38672644726451644
one_dimensional_cnn,37,9,3,1.0,1.0,0.9166666666666667,1.0,1.0,0.75,0.07918243610671633,0.20818331395922085
one_dimensional_cnn,40,7,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0015536819939259647,0.025949822306682403
one_dimensional_cnn,42,4,1,1.0,1.0,0.8333333333333333,1.0,1.0,0.5,0.23701398450130304,0.9094252871708455
one_dimensional_cnn,49,4,1,1.0,1.0,1.0,1.0,1.0,1.0,2.6496051198793837e-07,0.00032528494919263753
one_dimensional_cnn,57,4,1,1.0,1.0,1.0,1.0,1.0,1.0,0.09063932839487214,0.23143219811401133
one_dimensional_cnn,62,14,5,1.0,1.0,0.6,1.0,0.2,1.0,0.20287577496856826,0.9010868261644108
one_dimensional_cnn,64,7,2,1.0,1.0,1.0,1.0,1.0,1.0,5.241096773770941e-06,0.0014046105812738578
ridge_logistic,37,9,3,1.0,1.0,0.9166666666666667,1.0,1.0,0.75,0.05491612018963495,0.1559113805565916
ridge_logistic,40,7,3,1.0,1.0,1.0,1.0,1.0,1.0,0.035694931318444416,0.19025169120027077
ridge_logistic,42,4,1,1.0,1.0,1.0,1.0,1.0,1.0,0.05990196027102134,0.16958022705366857
ridge_logistic,49,4,1,1.0,1.0,1.0,1.0,1.0,1.0,0.00016974311552411895,0.008149147635304626
ridge_logistic,57,4,1,1.0,1.0,1.0,1.0,1.0,1.0,0.08159964282518545,0.24055267677816278
ridge_logistic,62,14,5,1.0,1.0,0.6,1.0,0.2,1.0,0.117677343333592,0.3396005032582724
ridge_logistic,64,7,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0030840310537023343,0.04119646584070674
strong_traditional_dropout_shape_score,37,9,3,1.0,1.0,0.6666666666666666,1.0,1.0,0.42857142857142855,0.14749813017869925,0.41746583562149603
strong_traditional_dropout_shape_score,40,7,3,1.0,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.07221036533925708,0.23805506865761647
strong_traditional_dropout_shape_score,42,4,1,1.0,1.0,0.6666666666666666,1.0,1.0,0.3333333333333333,0.08723273348690838,0.2691452641035612
