run,eventno,evt,event_index,group,stave,stave_index,channel,amplitude_adc,peak_sample,area_norm,late_fraction,early_fraction,width_half,baseline_mad,baseline_slope,raw_max_adc,saturation_count,secondary_peak,secondary_sep,post_peak_min,undershoot_area,cfd20_sample,timing_span_dup,template_bin,q_template_rmse,label_saturation,label_dropout,label_baseline_excursion,label_pileup_or_long_tail,label_timing_tail,label_novel_early_pretrigger,label_novel_delayed_peak,label_novel_undershoot_recovery,label_novel_broad_template_mismatch,label_known_any,label_novel_any,label_curated_any,label_physics_tail_only,taxon,broad_width_source,q_template_only_source,p09a_strict_q_template_only_source,label_gallery_qtemplate_or_broad,broad_source,charge_area_proxy,charge_log_amp,pileup_score,baseline_score,timing_score,charge_score,baseline_lowering_score,prop_baseline_excursion,prop_baseline_lowering,prop_pileup_like,prop_charge_outlier,prop_timing_tail,prop_veto_like,label_broad_downstream_risk,label_broad_charge_outlier,label_broad_veto_like,source_index,score,method,normalized_waveform,p09b_reviewer_a_label,p09b_reviewer_b_label,p09b_consensus_label,p09b_reviewers_agree,p09b_consensus_curated_any,p09c_external_alpha_label,p09c_external_beta_label,p09c_fixed_morphology_label,p09c_external_reviewers_agree,reviewer_disagreement,curated_broad_by_review,p06_injected_transfer_prior,p06_phase_distance,p06_dropout_shape_energy,target_dropout,amp_bin,phase_bin
37,656288,11962,36460,sample_i_calib,B2,0,0,2345.0,9,-22.03113,0.0,0.39892185,4,1628.0,4641.0,15514.0,1,0.80341154,6,-1.3172708,-6.9036245,1.6709183,1.6709183,2,2.8085976,False,False,False,False,False,False,False,False,False,False,False,False,False,unassigned_common,False,True,False,True,q_template_only,-22.031129837036133,7.76046702921342,0.5255036795847036,438.01429920410095,-5.97832110413703,36.23777275273716,-100.56439646131687,False,False,False,False,False,False,False,False,False,178932,149.39517,traditional_robust_broad_veto,"[-1.17569, -0.58507, 0.58507, 0.80341, 0.30661, 0.7855, -5.61578, -5.61578, -5.61578, 1.0, -0.11812, -0.43326, -0.66695, -0.83753, -1.02345, -1.25416, -1.31727, -1.25288]",dropout,dropout,dropout,True,True,dropout,dropout,dropout,True,False,False,0.0,3.5,5.138449454764,1,0,3
37,630254,4633,10429,sample_i_calib,B2,0,0,2609.0,7,-19.507475,0.0,0.3298153,3,1000.0,6010.0,16020.0,1,0.5960138,5,-1.2859333,-9.247604,1.4834,1.4834,3,2.3013785,False,False,False,False,False,False,False,False,False,False,False,False,False,unassigned_common,False,True,False,True,q_template_only,-19.507474899291992,7.867105500316739,-0.987829819404939,268.5822204235802,-6.046974380673913,33.196499300906794,-130.3507787104607,False,False,False,False,False,False,False,False,False,165808,105.12768,traditional_robust_broad_veto,"[-2.133, -0.17056, 0.59601, 0.17056, 0.52702, -5.14028, -5.14028, 1.0, 0.03066, -0.54312, -0.77156, -0.90456, -1.00613, -1.1583, -1.25872, -1.28593, -1.18321, -1.13607]",dropout,dropout,dropout,True,True,dropout,dropout,dropout,True,False,False,0.0,1.5,3.452655790563059,1,1,3
37,643976,967,24150,sample_i_calib,B2,0,0,1216.5,5,-24.479244,0.0,0.50422263,3,910.5,-2461.0,14675.0,1,0.8216194,5,-2.8150432,-25.571312,0.0,1.3215625,1,2.2336867,False,False,False,False,False,False,False,False,False,False,False,False,False,unassigned_common,False,True,False,True,q_template_only,-24.47924423217773,7.104554854956745,0.6583621375064618,244.43545123431807,-6.106225495630629,39.18801179121808,53.95926075812761,False,True,False,False,False,True,False,False,True,172183,100.83212,traditional_robust_broad_veto,"[0.82162, 0.6753, -0.6753, -1.2014, 0.22154, 1.0, 0.25031, -1.0263, -2.00534, -2.24291, -2.13933, -2.27908, -2.4961, -2.71476, -2.81504, -2.74435, -2.54624, -2.56186]",dropout,dropout,dropout,True,True,dropout,dropout,dropout,True,False,False,0.0,0.5,6.637253697752408,1,0,2
40,718611,4596,17928,sample_i_calib,B2,0,0,1055.0,7,-4.524171,0.0,0.19588298,4,442.5,-1343.0,9798.0,1,0.6454976,7,-1.5829384,-7.628436,0.0,1.8993167,1,0.9091498,False,False,False,False,False,False,False,False,False,False,False,False,False,unassigned_common,False,False,False,False,not_broad_rule,-4.524170875549316,6.962243464266207,-0.6267577104569608,118.17078106029948,-5.894701060843704,15.140019365165426,29.63407788410073,False,False,False,False,False,False,False,False,False,207866,43.63854,traditional_robust_broad_veto,"[0.6455, 0.21137, -0.21137, -0.62749, -0.43128, 0.48815, 0.97536, 1.0, 0.74787, 0.30616, -0.01991, -0.28246, -0.59716, -0.93365, -1.22654, -1.4455, -1.54028, -1.58294]",dropout,dropout,dropout,True,True,dropout,dropout,dropout,True,False,False,0.0,1.5,1.6789828180677067,1,0,3
40,715466,1646,14783,sample_i_calib,B2,0,0,1337.0,4,-4.6910996,0.0,0.27082542,4,356.5,1424.0,9942.0,1,0.5953627,2,-1.2625281,-8.090501,1.9388499,1.9388499,1,0.98496807,False,False,False,False,False,False,False,False,False,False,False,False,False,unassigned_common,False,False,False,False,not_broad_rule,-4.691099643707275,7.198931240688173,-0.9925804649064968,94.9682989343046,-5.880227343794916,15.341186340631316,-30.569661840794076,False,False,False,False,False,False,False,False,False,206505,40.473755,traditional_robust_broad_veto,"[-0.23261, -0.30067, 0.23261, 0.83246, 1.0, 0.89379, 0.59536, 0.30292, 0.07554, -0.16006, -0.43231, -0.7098, -0.93194, -1.0718, -1.13987, -1.16904, -1.21316, -1.26253]",dropout,dropout,dropout,True,True,dropout,dropout,dropout,True,False,False,0.0,1.5,1.4508081769740615,1,0,1
40,710867,13724,10186,sample_i_calib,B2,0,0,1702.0,5,-2.216216,0.0,0.22691013,3,408.5,-1280.0,12843.0,1,0.51821387,5,-1.2244419,-5.050529,0.0,10.290991,2,0.7667488,False,False,False,False,False,False,False,False,False,False,False,False,False,unassigned_common,False,False,False,False,not_broad_rule,-2.2162160873413086,7.440146680662688,-1.5555178218984216,108.9977067314178,-2.8223835970188005,12.358687606840302,28.26333859871281,False,False,False,False,False,False,False,False,False,204287,38.311203,traditional_robust_broad_veto,"[0.51821, 0.23384, -0.24618, -0.23384, 0.15217, 1.0, 0.97591, 0.4342, -0.13455, -0.20799, -0.21622, -0.29025, -0.42068, -0.60282, -0.68096, -0.6275, -0.64512, -1.22444]",dropout,dropout,dropout,True,True,dropout,dropout,dropout,True,False,False,0.0,0.5,0.99099709957776,1,0,2
42,783673,16015,16371,sample_i_calib,B2,0,0,1615.5,9,-28.858557,0.0,0.3907698,3,934.0,-2477.0,13938.0,1,0.99380994,4,-1.3943051,-7.2992883,0.0,13.451838,2,3.602367,False,False,False,False,False,False,False,False,True,False,True,True,False,novel_broad_template_mismatch,False,True,True,True,q_template_only,-28.858556747436523,7.388018597165487,1.9147967502730296,250.7756643733981,-1.6651503248526784,44.46555060634247,54.30738502108328,False,True,False,True,False,True,False,True,True,239361,129.23373,traditional_robust_broad_veto,"[0.82792, 0.45094, -0.45094, -0.70535, -0.79263, 0.99381, -7.62767, -7.62767, -7.62767, 1.0, -0.56979, -0.26215, -0.53018, -0.76292, -1.052, -1.37202, -1.39431, -1.35593]",dropout,dropout,dropout,True,True,dropout,dropout,dropout,True,False,False,0.0,3.5,6.97610927801625,1,0,3
49,104451,14006,7827,sample_i_analysis,B2,0,0,1312.0,7,-42.408535,0.0,0.5013862,4,1175.5,-4370.0,16159.0,1,0.98856705,6,-3.671494,-29.480183,0.0,1.595137,1,3.8896472,False,False,False,False,False,False,False,False,True,False,True,True,False,novel_broad_template_mismatch,False,True,True,True,q_template_only,-42.40853500366211,7.180069874302796,1.8765406366629844,315.9314717388372,-6.006065788491879,60.79472006893703,95.49483688202504,False,True,False,True,False,True,False,True,True,298969,152.52655,traditional_robust_broad_veto,"[0.80335, 0.98857, -0.80335, -2.52744, -1.85518, 0.78201, -11.31631, 1.0, -1.16845, -2.56402, -2.67226, -2.65091, -2.91463, -3.29345, -3.59146, -3.67149, -3.61662, -3.33689]",dropout,dropout,dropout,True,True,dropout,dropout,dropout,True,False,False,0.0,1.5,16.660952416402935,1,0,3
57,361225,14597,3574,sample_i_analysis,B2,0,0,1263.5,4,-3.9730906,0.0,0.32166928,4,871.0,2538.0,9461.0,1,0.5821132,2,-1.0648991,-6.803719,1.7422819,1.7422819,1,0.9313915,False,False,False,False,False,False,False,False,False,False,False,False,False,unassigned_common,False,False,False,False,not_broad_rule,-3.973090648651123,7.14243206611002,-1.0892591235663227,233.77849723458792,-5.952193834061725,14.475908896326024,-54.80781364908204,False,False,False,False,False,False,False,False,False,488724,66.97605,traditional_robust_broad_veto,"[-1.04274, -0.41274, 0.41274, 0.96597, 1.0, 0.82746, 0.58211, 0.35734, 0.14048, -0.12228, -0.41828, -0.6763, -0.8425, -0.86783, -0.8892, -0.93194, -0.9905, -1.0649]",dropout,dropout,dropout,True,True,dropout,dropout,dropout,True,False,False,0.0,1.5,1.1571442984472586,1,0,1
62,567675,9967,29608,sample_ii_analysis,B2,0,0,4872.5,5,-1.3237559,0.05655336,0.16891493,2,1643.5,5168.0,15118.0,1,0.8916367,3,-2.1027193,-4.3159566,1.8249416,18.0,4,1.0830482,False,False,False,False,False,False,False,False,False,False,False,False,False,unassigned_common,False,False,False,False,not_broad_rule,-1.3237558603286743,8.491567643777264,1.1692624641656133,442.1961419128558,0.0,11.283177815610989,-112.030739372419,False,False,False,False,False,False,False,False,False,590117,110.53287,traditional_robust_broad_veto,"[-0.69379, -0.30775, 0.30775, 0.36685, 0.30836, 1.0, -2.10272, -2.10272, 0.89164, 0.35516, 0.32027, 0.21786, 0.14767, 0.03869, -0.02247, -0.0666, -0.02145, 0.03951]",dropout,dropout,dropout,True,True,dropout,dropout,dropout,True,False,False,0.0,0.5,2.4038655948019407,1,3,2
