method,family,n,positives,average_precision,roc_auc,balanced_accuracy,precision_at_prevalence_k,recall,precision,brier,log_loss
ridge_logistic,ml,49,16,0.961165698336751,0.9772727272727272,0.9223484848484849,0.875,0.875,0.9333333333333333,0.060813592037325594,0.19287499542409234
one_dimensional_cnn,nn,49,16,0.9326129426129426,0.9583333333333334,0.8607954545454546,0.8125,0.8125,0.8125,0.0994781540322867,0.39275668373646183
gradient_boosted_trees,ml,49,16,0.8065793581418581,0.9100378787878787,0.7196969696969697,0.75,0.5,0.8,0.11584263564994776,0.33987271003178643
frontier_transfer_fusion_hgb_new,new_architecture,49,16,0.7976507867132867,0.9081439393939394,0.7196969696969697,0.75,0.5,0.8,0.11602248483959751,0.3407353443078671
mlp_tabular_waveform,ml,49,16,0.6586011008283014,0.7556818181818181,0.7045454545454546,0.5,0.5,0.7272727272727273,0.17024945100534492,0.5074829870766026
strong_traditional_dropout_shape_score,traditional,49,16,0.5422217956390235,0.6988636363636364,0.6354166666666666,0.4375,0.9375,0.40540540540540543,0.24829705545134914,1.1497982372164455
