method,value,reference_value,delta,pass
template_phase_base,2.889152765080617,2.889152765080617,0.0,True
s03a_amp_only_global,1.4946400762696816,1.494640076269676,5.551115123125783e-15,True
s03b_binned_timewalk,1.5695763825403084,1.5695763825403084,0.0,True
