component,run,feature,coefficient_ns_per_raw_unit,standardized_coefficient_ns,heldout_run
population,-1,stave_B4,-3.6610033254321754,-1.725813518239705,58
population,-1,stave_B6,2.085424131969012,0.9830783635768919,58
population,-1,stave_B8,1.5755791934630352,0.7427351546627522,58
population,-1,log_amp,-2.1523072649842696,-0.7063202992943509,58
population,-1,inv_amp_1000,-3.8041687208716195,-0.5275947696418732,58
population,-1,inv_sqrt_amp_1000,-0.6558934004980728,-0.06844931786657223,58
run_deviation,59,stave_B4,-0.8968192380455233,-0.4227646431470224,58
run_deviation,59,stave_B6,0.38668910145331775,0.18228699056571343,58
run_deviation,59,stave_B8,0.5101301365921151,0.2404776525812663,58
run_deviation,59,log_amp,-0.6681406093665039,-0.2192629662391202,58
run_deviation,59,inv_amp_1000,-0.8420271703451222,-0.1167795551582806,58
run_deviation,59,inv_sqrt_amp_1000,0.2733285082788643,0.02852468088712073,58
run_deviation,60,stave_B4,-0.7303958708769668,-0.34431191549850015,58
run_deviation,60,stave_B6,0.524307273850254,0.24716081917662783,58
run_deviation,60,stave_B8,0.2060885970267195,0.09715109632187542,58
run_deviation,60,log_amp,-0.681004443130084,-0.22348447636538513,58
run_deviation,60,inv_amp_1000,-1.123029202516803,-0.15575132883885165,58
run_deviation,60,inv_sqrt_amp_1000,-0.17756637277716555,-0.0185309031672048,58
run_deviation,61,stave_B4,0.08460398642237459,0.03988270167644991,58
run_deviation,61,stave_B6,0.00672376046535678,0.003169611080085154,58
run_deviation,61,stave_B8,-0.09132774688775856,-0.043052312756547875,58
run_deviation,61,log_amp,-0.8376914717357306,-0.27490428558165503,58
run_deviation,61,inv_amp_1000,-1.611590259603051,-0.223509169587395,58
run_deviation,61,inv_sqrt_amp_1000,-0.33506199851392193,-0.03496721452582413,58
run_deviation,62,stave_B4,-0.6865152117757081,-0.32362637442287695,58
run_deviation,62,stave_B6,0.47860998837476937,0.22561891221560634,58
run_deviation,62,stave_B8,0.20790522340093004,0.09800746220726649,58
run_deviation,62,log_amp,-0.12235596557191775,-0.04015342215733211,58
run_deviation,62,inv_amp_1000,-0.7981095455510268,-0.11068868200396108,58
run_deviation,62,inv_sqrt_amp_1000,-0.29457362843020224,-0.03074183077953945,58
run_deviation,63,stave_B4,-0.8284073402599647,-0.3905149652550165,58
run_deviation,63,stave_B6,0.45212286071809704,0.21313276049548202,58
run_deviation,63,stave_B8,0.3762844795418502,0.17738220475952624,58
run_deviation,63,log_amp,0.07833730887889316,0.025707868181013747,58
run_deviation,63,inv_amp_1000,0.4554673643123022,0.06316812338930164,58
run_deviation,63,inv_sqrt_amp_1000,-0.06764898989475211,-0.007059877731872415,58
run_deviation,65,stave_B4,-0.6034696508962968,-0.28447832159269615,58
run_deviation,65,stave_B6,0.23697114710720837,0.11170927004337312,58
run_deviation,65,stave_B8,0.3664985037890868,0.17276905154932223,58
run_deviation,65,log_amp,0.07854791594124023,0.025776982868182533,58
run_deviation,65,inv_amp_1000,0.11512009283227488,0.015965842557340355,58
run_deviation,65,inv_sqrt_amp_1000,-0.05437091916103141,-0.005674172549266375,58
population,-1,stave_B4,-3.5978877016850435,-1.696060527872672,59
population,-1,stave_B6,2.1173164622279677,0.9981125522394716,59
population,-1,stave_B8,1.4805712394594577,0.6979479756343233,59
population,-1,log_amp,-1.9827887027910747,-0.6464774851585585,59
population,-1,inv_amp_1000,-3.8295231990866965,-0.523357746095353,59
population,-1,inv_sqrt_amp_1000,-0.5955070285990776,-0.06145936992805135,59
run_deviation,58,stave_B4,-0.6865716911856556,-0.32365299907204076,59
run_deviation,58,stave_B6,0.4503800005711409,0.21231116834308922,59
run_deviation,58,stave_B8,0.23619169061450418,0.11134183072894659,59
run_deviation,58,log_amp,-0.1976713812452118,-0.06444968001650368,59
run_deviation,58,inv_amp_1000,-1.3711425789739788,-0.18738575336959212,59
run_deviation,58,inv_sqrt_amp_1000,-0.5405251824414344,-0.055784962305559974,59
run_deviation,60,stave_B4,-0.7754251086153664,-0.3655389017361363,59
run_deviation,60,stave_B6,0.5154274060512448,0.2429748093521355,59
