task,model,alpha,fold,train_seconds,sigma68_ns,n_pair_residuals,learning_rate,hidden,width,n_parameters,train_loss
timing,ridge,0.1,0,0.02030181884765625,1.227419477456705,3018,,,,,
timing,ridge,0.1,1,0.0056493282318115234,1.4076508305263813,3534,,,,,
timing,ridge,0.1,2,0.005214691162109375,1.384912721986305,4710,,,,,
timing,ridge,0.1,-1,,1.3399943433231305,0,,,,,
timing,ridge,1.0,0,0.006006956100463867,1.2258498318224493,3018,,,,,
timing,ridge,1.0,1,0.009360790252685547,1.4098363860110645,3534,,,,,
timing,ridge,1.0,2,0.005156040191650391,1.38595636998265,4710,,,,,
timing,ridge,1.0,-1,,1.3405475292720546,0,,,,,
timing,ridge,10.0,0,0.006038665771484375,1.22234211069712,3018,,,,,
timing,ridge,10.0,1,0.018445491790771484,1.4083010333207389,3534,,,,,
timing,ridge,10.0,2,0.005201816558837891,1.3831559109756628,4710,,,,,
timing,ridge,10.0,-1,,1.3379330183311737,0,,,,,
timing,gradient_boosted_trees,,0,0.49047422409057617,1.1001569793710029,3018,0.03,,,,
timing,gradient_boosted_trees,,1,0.39611101150512695,1.224098393017339,3534,0.03,,,,
timing,gradient_boosted_trees,,2,0.42458128929138184,1.131568291708859,4710,0.03,,,,
timing,gradient_boosted_trees,,-1,,1.1519412213657336,0,0.03,,,,
timing,gradient_boosted_trees,,0,0.3959672451019287,1.1313044366519267,3018,0.08,,,,
timing,gradient_boosted_trees,,1,0.4107184410095215,1.2866789438034336,3534,0.08,,,,
timing,gradient_boosted_trees,,2,0.36816978454589844,1.1961181407020829,4710,0.08,,,,
timing,gradient_boosted_trees,,-1,,1.204700507052481,0,0.08,,,,
timing,mlp,,0,2.7684683799743652,1.2123553587347526,3018,,32.0,,,
timing,mlp,,1,1.075463056564331,1.2397459091266811,3534,,32.0,,,
timing,mlp,,2,6.878147602081299,1.2006062949703495,4710,,32.0,,,
timing,mlp,,-1,,1.2175691876105945,0,,32.0,,,
timing,mlp,,0,5.493348121643066,1.1201950035601949,3018,,64.0,,,
timing,mlp,,1,0.771885871887207,1.2498162796700947,3534,,64.0,,,
timing,mlp,,2,7.755297899246216,1.1820987248239465,4710,,64.0,,,
timing,mlp,,-1,,1.1840366693514122,0,,64.0,,,
timing,cnn,,0,2.0510759353637695,1.1217977666848111,3018,,,8.0,337.0,1.1967098712921143
timing,cnn,,1,1.7708096504211426,1.3409365525175323,3534,,,8.0,337.0,5.3141961097717285
timing,cnn,,2,1.5876538753509521,1.4189354953825244,4710,,,8.0,337.0,4.076066493988037
timing,cnn,,-1,,1.2938899381949558,0,,,8.0,,
timing,resnet,,0,2.8383169174194336,1.148819139427278,3018,,,8.0,537.0,5.623239517211914
timing,resnet,,1,2.7220618724823,1.3350582305505854,3534,,,8.0,537.0,3.9081103801727295
timing,resnet,,2,2.3130507469177246,1.3876990276907157,4710,,,8.0,537.0,3.9270823001861572
timing,resnet,,-1,,1.2905254658895264,0,,,8.0,,
timing,tcn,,0,2.5420148372650146,1.1211309149528974,3018,,,8.0,337.0,1.1997350454330444
timing,tcn,,1,2.2851455211639404,1.323275136917306,3534,,,8.0,337.0,5.289382457733154
timing,tcn,,2,2.047617197036743,1.4315395042020624,4710,,,8.0,337.0,4.052701473236084
timing,tcn,,-1,,1.2919818520240884,0,,,8.0,,
timing,attention,,0,7.964419841766357,1.128992197677217,3018,,,8.0,425.0,1.5493505001068115
timing,attention,,1,7.604858636856079,1.3177761165365358,3534,,,8.0,425.0,4.792989730834961
timing,attention,,2,6.698398590087891,1.4129600385637733,4710,,,8.0,425.0,4.594936370849609
timing,attention,,-1,,1.2865761175925086,0,,,8.0,,
timing,gru,,0,7.135808229446411,1.1230144104477642,3018,,,16.0,1249.0,1.2062982320785522
timing,gru,,1,5.950939655303955,1.2660170767693577,3534,,,16.0,1249.0,5.263427257537842
timing,gru,,2,4.780426740646362,1.3872686241378989,4710,,,16.0,1249.0,4.051301002502441
timing,gru,,-1,,1.258766703785007,0,,,16.0,,
