event_id,split,source_run,stave,is_overlap,true_t1_sample,true_t2_sample,true_amp1_adc,true_amp2_adc,true_sep_sample,true_ratio
train:58:0,train,58,B6,1,5.318893839713262,6.818893839713262,4110.5,3082.875,1.5,0.75
train:58:1,train,58,B2,1,4.136333142800329,8.136333142800328,1846.5,461.625,4.0,0.25
train:58:2,train,58,B8,1,5.493826008578222,6.493826008578222,2339.0,1754.25,1.0,0.75
train:58:3,train,58,B2,1,8.363452678172086,11.363452678172086,6600.5,3300.25,3.0,0.5
train:58:4,train,58,B2,1,6.393065127353545,11.393065127353545,6201.5,4651.125,5.0,0.75
train:58:5,train,58,B8,1,5.830464067346983,10.830464067346984,4611.5,3458.625,5.0,0.75
train:58:6,train,58,B6,1,7.886868127012545,8.636868127012544,2878.5,2158.875,0.75,0.75
train:58:7,train,58,B8,1,8.812965850615084,9.812965850615084,4175.5,1043.875,1.0,0.25
train:58:8,train,58,B6,1,4.908652894694133,8.908652894694132,3209.0,1604.5,4.0,0.5
train:58:9,train,58,B2,1,4.478376124953668,6.478376124953668,8835.0,4417.5,2.0,0.5
train:58:10,train,58,B8,1,4.326526369763755,8.326526369763755,3882.5,970.625,4.0,0.25
train:58:11,train,58,B8,1,5.596619597041504,8.596619597041503,2107.5,2107.5,3.0,1.0
train:58:12,train,58,B6,1,4.461645062244228,9.461645062244228,5575.5,1393.875,5.0,0.25
train:58:13,train,58,B4,1,4.782713775679625,10.782713775679625,1606.5,401.625,6.0,0.25
train:58:14,train,58,B6,1,8.434992169691139,8.934992169691139,3084.5,3084.5,0.5,1.0
train:58:15,train,58,B8,1,4.436363964677224,10.436363964677223,3750.5,3750.5,6.0,1.0
train:58:16,train,58,B4,1,7.198290643639586,11.198290643639586,4134.5,1033.625,4.0,0.25
train:58:17,train,58,B2,1,10.290122018957923,11.290122018957923,6991.5,6991.5,1.0,1.0
train:58:18,train,58,B4,1,8.126822409240145,8.876822409240145,4973.0,1243.25,0.75,0.25
train:58:19,train,58,B2,1,7.791689714353266,8.791689714353266,5325.0,2662.5,1.0,0.5
train:58:20,train,58,B8,1,5.805273670278615,6.555273670278615,2726.0,2726.0,0.75,1.0
train:58:21,train,58,B2,1,9.495108465421037,10.245108465421037,3306.5,826.625,0.75,0.25
train:58:22,train,58,B2,1,5.001785131434774,5.501785131434774,6333.0,1583.25,0.5,0.25
train:58:23,train,58,B4,1,9.799991123369221,10.799991123369221,5715.0,5715.0,1.0,1.0
train:58:24,train,58,B6,1,4.31507099196186,8.31507099196186,2925.5,731.375,4.0,0.25
train:58:25,train,58,B6,1,6.100056729344138,6.600056729344138,2646.5,1984.875,0.5,0.75
train:58:26,train,58,B8,1,5.2329599573610075,10.232959957361007,2362.5,1771.875,5.0,0.75
