model,n_events,n_pair_residuals,sigma68_ns,ci_low,ci_high,full_rms_ns,delta_vs_analytic_timewalk_ns,delta_ci_low,delta_ci_high,task,cv_sigma68_ns,train_seconds,n_parameters,alpha,learning_rate,hidden,width
gru,66,198,1.201773937649214,1.021475660353822,1.5066837320076167,1.3125432026696582,-0.29286613862046207,-0.501496077221227,0.0444991886790103,timing,1.258766703785007,9.22147274017334,1249.0,,,,16.0
gradient_boosted_trees,66,198,1.2194465886541082,0.9169265065318064,1.4712204662168427,1.2510457580483993,-0.27519348761556794,-0.569057781947952,-0.0010565239845911623,timing,1.1519412213657336,0.6304869651794434,26.0,,0.03,,
mlp,66,198,1.2307726104257752,1.0329795008811122,1.480638659731926,1.2859806289201285,-0.26386746584390086,-0.5090662327619804,0.04178473961072303,timing,1.1840366693514122,3.7505154609680176,1664.0,,,64.0,
tcn,66,198,1.3221538003126836,1.0489217985032022,1.6136876151179662,1.3659704324369821,-0.1724862759569925,-0.4621528381385603,0.1483611235360971,timing,1.2919818520240884,3.287806272506714,337.0,,,,8.0
resnet,66,198,1.3406350701891239,1.0566542159450358,1.5870782457518187,1.3294151441132565,-0.15400500608055223,-0.4482683561914709,0.12050835959809535,timing,1.2905254658895264,3.771275520324707,537.0,,,,8.0
cnn,66,198,1.3447325059715443,1.0545003114524552,1.6321540190558608,1.3756682392393647,-0.14990757029813184,-0.4440222296747613,0.1725860335641081,timing,1.2938899381949558,2.523916721343994,337.0,,,,8.0
attention,66,198,1.4066567291668668,1.0171696670809278,1.6386932374237948,1.4106856105342027,-0.0879833471028093,-0.4902347223847167,0.18843205940687707,timing,1.2865761175925086,10.56659483909607,425.0,,,,8.0
ridge,66,198,1.4428421669311344,1.149831274796621,1.6330832118760061,1.4115887395844882,-0.05179790933854167,-0.3578044248651251,0.2039897975003996,timing,1.3379330183311737,0.008194446563720703,26.0,10.0,,,
analytic_timewalk,66,198,1.494640076269676,1.326227531511096,1.654907230211548,1.6991283591200679,0.0,0.0,0.0,,,,,,,,
s02_ridge_cfd20,66,198,1.77781251968152,1.509105152395077,2.104074271420405,1.7157724289805303,0.2831724434118439,-0.02960702098626844,0.6052744588810284,,,,,,,,
template_phase,66,198,2.889152765080617,2.6391527650806132,3.277183911488386,2.5766948897254753,1.3945126888109407,1.0774583779625975,1.809944861026535,,,,,,,,
cfd20,66,198,2.9933861916712807,2.6892117862374603,3.4181199458363567,2.7426839288126446,1.4987461154016046,1.1562543404188483,2.0007066226056,,,,,,,,
