task,model,cv_sigma68_ns,train_seconds,n_parameters,alpha,learning_rate,hidden,width
timing,ridge,1.3379330183311737,0.008194446563720703,26,10.0,,,
timing,gradient_boosted_trees,1.1519412213657336,0.6304869651794434,26,,0.03,,
timing,mlp,1.1840366693514122,3.7505154609680176,1664,,,64.0,
timing,cnn,1.2938899381949558,2.523916721343994,337,,,,8.0
timing,resnet,1.2905254658895264,3.771275520324707,537,,,,8.0
timing,tcn,1.2919818520240884,3.287806272506714,337,,,,8.0
timing,attention,1.2865761175925086,10.56659483909607,425,,,,8.0
timing,gru,1.258766703785007,9.22147274017334,1249,,,,16.0
