method,family,n,res68_frac,res68_ci95,bias_frac,bias_ci95,coverage,coverage_ci95,mae_mev,mae_ci95,interval_absolute_halfwidth_mev,roc_auc,composite_loss
traditional_template_birks,traditional_template_likelihood_birks,332852,0.0402476780185758,"[0.03888449205648855, 0.04178609239424126]",-0.023105417371831,"[-0.02668809634449005, -0.018411127863582386]",0.8895665340752046,"[0.852772107239899, 0.9174148792957014]",0.22820765571671336,"[0.2009715538537824, 0.26369826760915416]",0.310902650672054,0.9970272301069402,0.053653913836431075
gradient_boosted_trees,ml_tree,332852,0.036483306741213556,"[0.03178121179776639, 0.04489487064409587]",-0.009339426920719195,"[-0.011194154479980645, -0.005880439474217064]",0.8680314373955993,"[0.835889474631727, 0.8916410131280755]",0.15925507507355485,"[0.14031662831668038, 0.1856663778979692]",0.27146324982042364,0.9998870513253969,0.06856481802021738
pileup_transformer_quantile_new,neural_attention_quantile,332852,0.07087510516864169,"[0.05724660692463909, 0.09648241993032777]",0.01800386603138787,"[0.01453579571341886, 0.025173873183088776]",0.8722014589066612,"[0.8587507418313037, 0.882675237052157]",0.24016393046112072,"[0.2136681101590657, 0.27817623971411554]",,0.9998456846389393,0.09882796162304118
1d_cnn,neural_waveform,332852,0.09588659461105101,"[0.07621763301728846, 0.13637479701973473]",-0.028908680843899526,"[-0.03728538394250863, -0.01320300173426033]",0.8653365459723841,"[0.8276237164034558, 0.8975057548385572]",0.31637717220596,"[0.2788883273068377, 0.3605004812514846]",0.5044873010211881,0.9994790225089328,0.13107102612973412
ridge,ml_linear,332852,0.10073802150325177,"[0.08991528899051876, 0.12377972478535391]",-0.021922849433265244,"[-0.03225723648586574, 0.0013235823487090603]",0.8636931729417279,"[0.8222719720020453, 0.8939907067017285]",0.29978636213579624,"[0.27339943972076713, 0.3375172401808493]",0.4887366104931012,0.999265624047576,0.13777922451394792
mlp,neural_tabular,332852,0.1075487138404347,"[0.09518398257451989, 0.13136797320455187]",-0.047473870118406175,"[-0.05551273196875457, -0.034051178325107505]",0.8649279559684184,"[0.8319296016861712, 0.8905818794652377]",0.36295007054881934,"[0.32664251587133025, 0.4091541644706843]",0.5791282546062547,0.9993461270015999,0.14327463087041642
