stratum,method,n,res68_frac,coverage,pid_roc_auc
single_pulse_proxy,traditional_template_birks,305087,0.03914045944348152,0.9215469685696211,0.9965354225339695
multi_stave_pileup_proxy,traditional_template_birks,27765,0.1259751764123358,0.5381595533945615,0.9986066637752575
unsaturated,traditional_template_birks,226635,0.033521828581211,0.8807686367948463,0.9985206773356186
saturated,traditional_template_birks,106217,0.04849758577247678,0.9083385898679119,0.8559737351010596
