pool,run,n_pairs,traditional_percentile68_ns,ridge_percentile68_ns,gradient_boosted_trees_percentile68_ns,mlp_percentile68_ns,cnn_1d_percentile68_ns,gated_cnn_percentile68_ns
run64_only,58,25,1.1794468759954881,1.136235888789017,1.115405982325394,1.8131650910991364,1.1168389590481111,1.2401679889688932
run64_only,59,11,2.242190715202878,0.45332877375609826,0.47269167230124154,1.3682553683506242,0.4733332685771856,0.5442365475901298
run64_only,60,11,1.1043856861908048,1.0254204472175235,1.0047883232703798,2.2778188309814764,1.0460793455711,1.2013435249343767
run64_only,61,18,1.8566565286478705,1.7406830899373809,1.765900934373004,2.6410303070799066,1.744190909113101,1.6263085112196247
run64_only,62,7,0.8256935311405909,1.4542041153910512,1.4182250123715976,1.7219935987628692,1.4970378537180777,1.7315409274103994
run64_only,63,28,1.824352230320093,1.4692454933304444,1.4710878013748783,1.7880097641267139,1.4706765686319914,1.4489999841828007
run64_only,65,27,1.933103164979654,1.672517380042187,1.6556057216495648,2.3789054633387203,1.6413481310400655,1.5969433352466944
sample_iii_early,58,25,1.161178037490621,1.244084904978592,1.2994532350863262,1.4136037853305354,1.118314050028641,1.0523335536628993
sample_iii_early,59,11,0.9555323163894706,0.8114564669650279,2.5228084509271502,3.1010356782763715,0.5355417081125907,1.1369162704235665
sample_iii_early,60,11,0.9788202812050231,0.8993530810734507,1.1808029595749958,1.1345487941847296,1.074549344670566,0.6949773594559248
sample_iii_early,61,18,1.4954343201279605,1.5185975918990575,2.555950970163673,3.5330828856155807,1.6776550656253,1.620919056829674
sample_iii_early,62,7,1.102862506200185,1.2050826544764395,2.6445436236785897,5.706731496563863,1.609700612545287,0.9643551450467684
sample_iii_early,63,28,1.3093531615491911,1.2731558384899961,1.7172978964723589,1.5387315321324029,1.471199821119174,1.3861893946634813
sample_iii_early,65,27,1.6934891378003194,1.6089140274445426,1.3963660589963942,2.659202917608897,1.608904632184287,1.6543724209272554
sample_iii_late,58,25,1.106412200097377,1.712335980843302,1.5376861075863868,0.9384512511569016,1.1202170785168,1.0252644185494524
sample_iii_late,59,11,0.9584108071912126,1.3626579009865025,2.707118960261259,0.7707401912066822,0.5590852328547172,0.9286604198786172
sample_iii_late,60,11,1.0081639655061345,1.402057242234608,2.0013925485074258,1.1557571106024782,1.0787622222340736,0.7339952932171581
sample_iii_late,61,18,1.57076870140387,2.2109808626768714,3.443455633290838,1.8044899692643719,1.671503580182185,1.599033068209927
sample_iii_late,62,7,1.0489128435212436,2.66247698259381,5.698848293473317,1.294310782294326,1.6547655339243765,0.9313266878286827
sample_iii_late,63,28,1.2939995150100216,1.6763608544804143,2.143785291522986,1.2222069467327799,1.470863202695712,1.343296900638589
sample_iii_late,65,27,1.6456477530555582,1.6034244779774456,2.0680766816718332,2.0806975706817674,1.6109878537174587,1.7006605413290474
sample_iii_mixed,58,25,1.1468121277945516,1.4380367808713777,1.3481213347368013,1.211399209655339,1.1193070252636264,1.01930700619014
sample_iii_mixed,59,11,0.9538429067698431,1.4685600520077335,3.3035943597366595,1.0675445799932597,0.5456321784266167,1.0358600556131472
sample_iii_mixed,60,11,1.0192507444923742,1.141972793390261,1.7032931421333246,1.0672204698093424,1.0771154438374362,0.6976524270367034
sample_iii_mixed,61,18,1.5188136510453047,2.237297136115577,3.8679683912783815,1.1491549592301804,1.6745315152102611,1.6331419143049546
sample_iii_mixed,62,7,1.0484446226919877,2.476970729681267,3.386636360342118,1.6330036668369157,1.6293104643824452,0.9078759580350497
sample_iii_mixed,63,28,1.289171945259783,1.4208538239933537,1.77866722730714,1.418995966739012,1.4711723266886318,1.349356971453337
sample_iii_mixed,65,27,1.6390499823337992,1.8342259284162301,1.7918069711089752,1.5214934970512894,1.6095425500475256,1.6698711735212495
