method,alpha,cv_rmse_ns_mean,cv_rmse_ns_std,note,pool,learning_rate,max_leaf_nodes,l2_regularization,max_iter,hidden_layer_sizes,epochs,weight_decay,hidden,grid_index
ridge,1000.0,,,single training run,run64_only,,,,,,,,,
gradient_boosted_trees,,,,single training run,run64_only,0.04,7.0,0.0,140.0,,,,,
mlp,0.001,,,single training run,run64_only,,,,,[24],,,,
cnn_1d,,,,single training run,run64_only,0.001,,,,,30.0,0.0001,24.0,
gated_cnn,,,,single training run,run64_only,0.001,,,,,30.0,0.0001,24.0,
ridge,1000.0,2.3072852972334115,1.1586296500126092,,sample_iii_early,,,,,,,,,
ridge,100.0,2.308587243647635,1.1498529800337092,,sample_iii_early,,,,,,,,,
ridge,10.0,2.3249859830024957,1.1269812105052512,,sample_iii_early,,,,,,,,,
ridge,1.0,2.3285771967845195,1.1254903171811488,,sample_iii_early,,,,,,,,,
ridge,0.1,2.32974189921509,1.1294752283402762,,sample_iii_early,,,,,,,,,
ridge,0.01,2.330311896818727,1.1305481914094713,,sample_iii_early,,,,,,,,,
gradient_boosted_trees,,2.1352970004456986,1.1616881219884716,,sample_iii_early,0.02,31.0,1.0,180.0,,,,,2.0
gradient_boosted_trees,,2.140712660474896,1.1421164868014357,,sample_iii_early,0.03,15.0,0.1,160.0,,,,,1.0
gradient_boosted_trees,,2.160413110542654,1.122024722664043,,sample_iii_early,0.04,7.0,0.0,140.0,,,,,0.0
mlp,0.001,2.422002542139958,1.0168483018744103,,sample_iii_early,,,,,[24],,,,0.0
mlp,0.1,2.55531684514436,1.1476813443984704,,sample_iii_early,,,,,"[48, 24]",,,,2.0
mlp,0.01,2.6426715050391714,1.0049407283674707,,sample_iii_early,,,,,"[32, 16]",,,,1.0
cnn_1d,,2.273932078708303,1.3553972060412611,,sample_iii_early,0.0007,,,,,40.0,0.001,32.0,1.0
cnn_1d,,2.3043857425612466,1.3411981616118067,,sample_iii_early,0.001,,,,,30.0,0.0001,24.0,0.0
