selector,metric,value,ci_low,ci_high,n_pairs
median_first4,sigma68_ns,3.1884474487304684,3.114081832885741,3.3080731124877927,1224
median_first4,full_rms_ns,4.798252969524621,2.784153593745839,5.844331110256374,1224
dynamic_range,sigma68_ns,3.0720282793045044,2.868920922279358,3.1850025181579587,1599
dynamic_range,full_rms_ns,5.340230313548132,2.9695658848794704,6.717194144685964,1599
