taxonomy_class,s00_p01b_rows,p01b_z_norm_median
baseline_excursion,87450,2.039618472760689
clean_template_like,70009,1.7902529144708703
large_downstream_timing_span,29970,1.8098279438853724
late_tail_or_delayed_peak,258000,1.8065852344578628
poor_template_match,12005,1.693488511309856
saturation_proxy,183303,1.7091401758618037
