candidate,roc_auc,average_precision
d_t_ns,0.5111231098023805,0.5907005838332309
abs_c_t_ns,0.49967689665753323,0.5174839833932023
max_downstream_late_fraction,0.5429516421638556,0.5368509091982556
max_downstream_tail_fraction,0.5356353594134398,0.5325432152630676
min_downstream_tail_fraction,0.5114739907730901,0.5094000477124677
min_downstream_late_fraction,0.5126471110728301,0.5088076562274991
max_downstream_area_over_peak,0.5740013242822767,0.6307337395781347
min_downstream_area_over_peak,0.5060160098190686,0.5096270787474311
max_downstream_peak_sample,0.6204542395874268,0.5844557438354022
min_downstream_peak_sample,0.5012367504481565,0.503280991376559
max_downstream_max_down_step,0.5004327065422773,0.5002858961210661
min_downstream_max_down_step,0.5223387040336777,0.521532760414531
max_downstream_final_fraction,0.532266191504137,0.5358691498351035
min_downstream_final_fraction,0.5039218135130625,0.506391485290252
matched_secondary_template,0.5562981465431387,0.5592256184829266
