n,bias_ns,median_error_ns,mae_ns,res68_abs_ns,rms_ns,p95_abs_ns,mae_ns_ci95,res68_abs_ns_ci95,bias_ns_ci95,p95_abs_ns_ci95,method,family
70094,1.9576743840584704e-06,4.27511728935126e-05,0.0009466149110294847,0.0008930386045432432,0.001945508152670159,0.003018162260543985,"[0.000936312505211481, 0.0009586629266376646]","[0.0008888938597387196, 0.0008963682046685394]","[-1.5363707588463573e-05, 1.9763944624847697e-05]","[0.002966074468409871, 0.003067322092820223]",gradient_boosted_trees,ml_tree
70094,-0.00010560941914974689,-0.00017042123365207384,0.0015645591716522014,0.0016035232384133354,0.002939864393989636,0.004232716838931746,"[0.0015383069285486114, 0.0015918071456208598]","[0.0015851072637591691, 0.0016161933205251367]","[-0.00014065848423911077, -7.643657125261673e-05]","[0.004157294728504943, 0.0043089352369430345]",physics_residual_mlp,neural_physics_residual
70094,-0.0001267772327049848,7.664501921933464e-05,0.0023060214621621073,0.0023140478887295046,0.004446689861615858,0.006250450385923134,"[0.00228049924751229, 0.0023294419672071232]","[0.0022959977747619375, 0.002327411805116223]","[-0.00016092198524572852, -8.788360479144155e-05]","[0.006131590288121407, 0.006352705090614718]",1d_cnn,neural_sequence
70094,-0.0017819510537123533,-0.0012036764621665696,0.0025682143957888007,0.0024032863952946565,0.00404151399684885,0.008588667770039877,"[0.0025518917092577803, 0.002585249761089114]","[0.00238386238784554, 0.0024235924131951955]","[-0.001800850100710489, -0.0017580071067291939]","[0.008534740062501696, 0.008665227198731529]",mlp,neural_tabular
70094,-1.60767877373031e-05,0.00013046490230420038,0.002663980510242839,0.0027615514128937146,0.005024561686861743,0.007303018292760346,"[0.0026304683194175384, 0.0026975794375888418]","[0.002743421077433776, 0.0027770722568598353]","[-3.129965396281079e-05, -8.771877921533534e-07]","[0.007183134427385567, 0.007427736276240683]",ridge,ml_linear
70094,-4.012689998262166e-05,-0.0020105209219682674,0.009039044148755627,0.010261259270035078,0.01642417747168787,0.019009304146651376,"[0.009001358825495447, 0.009086096983406032]","[0.010209459820082105, 0.010311550479251433]","[-0.00011627108954987333, 3.1699535435085507e-05]","[0.018974611483092152, 0.019041341727161886]",calibrated_kinematic_tof,traditional_calibrated
70094,0.017460279487839684,0.012052188203515862,0.017468898370315074,0.003700182843692801,0.03189771647525019,0.03793720994585245,"[0.01731861109599224, 0.01763678219295567]","[0.003655419331796722, 0.0037536131277006776]","[0.017309479508894266, 0.01762946666681034]","[0.03750277662464677, 0.03827779693998588]",truth_kinematic_tof,traditional_relativistic
70094,7.001718528676537e-05,0.011654485635365475,0.03390781706744869,0.036352649440908574,0.045435549118621674,0.10325415211155688,"[0.0338016120917753, 0.034018516679225626]","[0.036145724230569554, 0.036704827730933476]","[-0.00023094102449772584, 0.000298479623901189]","[0.1024212728242667, 0.10384278386386663]",nominal_4cm_notes,traditional_fixed_note
70094,-0.07168518941793554,-0.06010072096785685,0.07168518941793554,0.036352649440908574,0.08487137681921832,0.1750093587147792,"[0.0714589341592719, 0.07198060621973172]","[0.036145917585640286, 0.03670482773093347]","[-0.07198060621973172, -0.0714589341592719]","[0.17415905755788397, 0.175555169065566]",4cm_190mev_tof,traditional_fixed_energy
70094,-0.15592998281471324,-0.14434551436463453,0.15592998281471324,0.03635264944090858,0.16241472766316856,0.25925415211155683,"[0.1556984363030909, 0.15620868631234056]","[0.036145917585640286, 0.03669221350878528]","[-0.15620868631234056, -0.1556984363030909]","[0.25840447261004595, 0.25984596973877194]",nominal_2cm_notes,traditional_fixed_note
70094,0.1594916813794887,0.17107614982956737,0.15956277965950597,0.03635264944090857,0.16583721129638176,0.2096552994941515,"[0.15924978235371792, 0.15978412729426755]","[0.03614688763848873, 0.03675933635583073]","[0.15915977912102622, 0.1597179366381523]","[0.2096381932000332, 0.20966777976009937]",4cm_40mev_tof,traditional_fixed_energy
