pair,n,median_distance_cm,distance_ci95,median_truth_dt_ns,truth_dt_ci95,median_tof_per_cm_ns,tof_per_cm_ci95
0-2,92523,4.025865223556806,"[4.025592185765055, 4.026173034590801]",0.2803199189293828,"[0.28017327996130836, 0.28047459177502265]",0.07002289445915703,"[0.06998949626222788, 0.07005310339765718]"
2-4,84413,4.02625728172289,"[4.026023979652145, 4.026538598954171]",0.3115662040523599,"[0.3113114492959319, 0.31180748924425694]",0.07773614588415713,"[0.0776863798773382, 0.07778295547982353]"
4-6,59734,4.024990766652012,"[4.024740771890063, 4.0253059164913845]",0.3632032705561663,"[0.3627546828000295, 0.3638317193301639]",0.0903886749519962,"[0.09025303128345923, 0.09056238749335356]"
