heldout_run,n_train,n_test,train_pos_frac,test_pos_frac
31,28234,900,0.5,0.5
32,28234,900,0.5,0.5
33,28234,900,0.5,0.5
34,28234,900,0.5,0.5
35,28234,900,0.5,0.5
36,28234,900,0.5,0.5
37,28234,900,0.5,0.5
39,28234,900,0.5,0.5
40,28234,900,0.5,0.5
41,28234,900,0.5,0.5
42,28234,900,0.5,0.5
44,28234,900,0.5,0.5
45,28234,900,0.5,0.5
46,28800,334,0.5,0.5
47,28234,900,0.5,0.5
48,28234,900,0.5,0.5
49,28234,900,0.5,0.5
50,28234,900,0.5,0.5
51,28234,900,0.5,0.5
52,28234,900,0.5,0.5
53,28234,900,0.5,0.5
54,28234,900,0.5,0.5
55,28234,900,0.5,0.5
56,28234,900,0.5,0.5
57,28234,900,0.5,0.5
58,28234,900,0.5,0.5
59,28234,900,0.5,0.5
60,28234,900,0.5,0.5
61,28234,900,0.5,0.5
62,28234,900,0.5,0.5
63,28234,900,0.5,0.5
64,28234,900,0.5,0.5
65,28234,900,0.5,0.5
