run,weak_label_name,n
31,high_calibrated_range_energy_residual,6734
31,low_calibrated_range_energy_residual,6734
32,high_calibrated_range_energy_residual,6828
32,low_calibrated_range_energy_residual,6828
33,high_calibrated_range_energy_residual,11933
33,low_calibrated_range_energy_residual,11933
34,high_calibrated_range_energy_residual,8345
34,low_calibrated_range_energy_residual,8345
35,high_calibrated_range_energy_residual,2757
35,low_calibrated_range_energy_residual,2757
36,high_calibrated_range_energy_residual,2452
36,low_calibrated_range_energy_residual,2452
37,high_calibrated_range_energy_residual,5734
37,low_calibrated_range_energy_residual,5734
39,high_calibrated_range_energy_residual,3291
39,low_calibrated_range_energy_residual,3291
40,high_calibrated_range_energy_residual,3394
40,low_calibrated_range_energy_residual,3394
41,high_calibrated_range_energy_residual,3740
41,low_calibrated_range_energy_residual,3740
42,high_calibrated_range_energy_residual,4243
42,low_calibrated_range_energy_residual,4243
44,high_calibrated_range_energy_residual,462
44,low_calibrated_range_energy_residual,462
45,high_calibrated_range_energy_residual,5694
45,low_calibrated_range_energy_residual,5694
46,high_calibrated_range_energy_residual,167
46,low_calibrated_range_energy_residual,167
47,high_calibrated_range_energy_residual,1271
47,low_calibrated_range_energy_residual,1271
48,high_calibrated_range_energy_residual,3261
48,low_calibrated_range_energy_residual,3261
49,high_calibrated_range_energy_residual,3442
49,low_calibrated_range_energy_residual,3442
50,high_calibrated_range_energy_residual,8523
50,low_calibrated_range_energy_residual,8523
51,high_calibrated_range_energy_residual,3551
51,low_calibrated_range_energy_residual,3551
52,high_calibrated_range_energy_residual,1709
52,low_calibrated_range_energy_residual,1709
53,high_calibrated_range_energy_residual,7807
53,low_calibrated_range_energy_residual,7807
54,high_calibrated_range_energy_residual,7375
54,low_calibrated_range_energy_residual,7375
55,high_calibrated_range_energy_residual,4185
55,low_calibrated_range_energy_residual,4185
56,high_calibrated_range_energy_residual,9682
56,low_calibrated_range_energy_residual,9682
57,high_calibrated_range_energy_residual,3192
57,low_calibrated_range_energy_residual,3192
58,high_calibrated_range_energy_residual,3949
58,low_calibrated_range_energy_residual,3949
59,high_calibrated_range_energy_residual,3393
59,low_calibrated_range_energy_residual,3393
60,high_calibrated_range_energy_residual,2468
60,low_calibrated_range_energy_residual,2468
61,high_calibrated_range_energy_residual,2756
61,low_calibrated_range_energy_residual,2756
62,high_calibrated_range_energy_residual,2910
62,low_calibrated_range_energy_residual,2910
63,high_calibrated_range_energy_residual,3643
63,low_calibrated_range_energy_residual,3643
64,high_calibrated_range_energy_residual,2978
64,low_calibrated_range_energy_residual,2978
65,high_calibrated_range_energy_residual,2944
65,low_calibrated_range_energy_residual,2944
