method,run,n,mean_bias_adc,mae_adc,rmse_adc,median_bias_adc,q05_adc,q95_adc
line3_predict,57,518,-18.72651222651222,197.98336091193232,588.2768086457862,-0.33333333333303017,-808.616666666667,394.37380952380806
line3_predict,65,463,-39.70389797387637,137.29106242929137,468.30774610404234,-0.6666666666669698,-460.966666666667,184.74285714285656
low2_mean3,57,518,-82.57239382239382,222.49517374517376,795.0582604742011,-3.5,-816.5249999999999,132.22499999999997
low2_mean3,65,463,-113.93844492440604,199.5172786177106,789.2834985888837,-2.5,-638.4499999999999,110.74999999999858
mean3,57,518,36.166023166023166,249.28056628056623,757.2338382561136,3.166666666666515,-481.6,702.5833333333319
mean3,65,463,-14.600431965442796,204.1022318214543,684.663846127006,1.0,-336.56666666666666,520.766666666666
median3,57,518,-6.584942084942085,247.43050193050192,831.3348722892417,0.0,-685.6499999999999,326.04999999999893
median3,65,463,-62.96544276457883,209.99784017278617,764.056773924358,0.0,-636.9,288.8999999999986
min3,57,518,-158.55984555984557,236.05405405405406,878.6473633882874,-8.0,-1097.55,16.149999999999977
min3,65,463,-164.91144708423326,198.00431965442763,858.0165056536396,-6.0,-775.9999999999998,12.899999999999977
ml_ridge_calibrated,57,518,10.110600003720942,197.14335943630718,520.2492368895073,-3.4708858154176596,-404.6477338841578,507.7413469041622
ml_ridge_calibrated,65,463,-17.68174421005077,147.50247042331515,365.1919008687762,-6.371880095805864,-344.6425949602998,242.80980474161709
train_calibrated_low2,57,518,-81.27912927908567,222.1807087641951,796.2957074440077,-0.4780799239679254,-813.6460554520779,112.504600724173
train_calibrated_low2,65,463,-112.42279795737066,199.37332263940579,791.3599684779326,0.6765089224199983,-635.2656410562164,106.89663927304194
