method,contamination_bin,n,mean_bias_adc,mae_adc,rmse_adc,median_bias_adc,q05_adc,q95_adc
line3_predict,range<50,726,-14.240062967335689,20.93283484192576,91.45188693539914,-0.6904761904761472,-36.33333333333303,14.916666666666742
line3_predict,50-150,66,-171.89249639249635,199.44516594516597,484.07233309919195,-0.21428571428577925,-1046.4166666666665,65.14285714285666
line3_predict,150-500,36,8.41534391534391,135.39682539682536,157.19623191666577,54.92857142857156,-275.33333333333326,217.96428571428532
line3_predict,range>=500,153,-43.81045751633988,868.5375038904449,1299.518799059987,82.57142857142844,-2281.933333333333,1975.3428571428572
low2_mean3,range<50,726,-16.764462809917354,21.829201101928376,92.82753788953798,-3.0,-34.375,12.375
low2_mean3,50-150,66,-183.96212121212122,196.02272727272728,520.197037989773,-3.0,-1162.375,23.125
low2_mean3,150-500,36,-5.666666666666667,33.02777777777778,85.18452193783668,3.25,-93.125,32.125
low2_mean3,range>=500,153,-464.1143790849673,1161.140522875817,1966.208420773741,-4.5,-4394.7,1898.6000000000004
mean3,range<50,726,-13.275941230486689,21.315426997245176,92.23539325332246,0.16666666666651508,-30.0,17.0
mean3,50-150,66,-154.0858585858586,203.55050505050502,509.82000355707504,26.0,-1134.1666666666665,63.083333333333485
mean3,150-500,36,88.37037037037038,114.16666666666671,127.36689978363235,87.83333333333348,-38.16666666666697,164.16666666666697
mean3,range>=500,153,186.93246187363843,1245.7995642701524,1789.8514971890359,279.0,-3123.0666666666666,2783.733333333334
median3,range<50,726,-13.487603305785123,21.691460055096417,92.46975531157699,0.0,-31.0,18.0
median3,50-150,66,-173.3939393939394,198.66666666666666,518.8813725581973,-1.0,-1159.25,61.25
median3,150-500,36,8.38888888888889,35.0,83.45690837525409,8.0,-62.5,66.25
median3,range>=500,153,-76.01307189542484,1276.326797385621,1986.9873244313815,4.0,-3536.2,2922.800000000003
min3,range<50,726,-20.041322314049587,23.18732782369146,93.40326974414799,-6.0,-41.75,9.75
min3,50-150,66,-194.53030303030303,201.62121212121212,522.0199258939289,-16.0,-1165.5,14.25
min3,150-500,36,-19.72222222222222,34.0,95.06255250564698,-2.0,-124.5,8.5
min3,range>=500,153,-852.2156862745098,1193.3790849673203,2163.4510512097086,-56.0,-5335.6,1056.0
train_calibrated_low2,range<50,726,-13.647704394770644,21.448778658303063,92.29998372737622,0.21693388363382837,-31.21936013864456,15.419932734526128
train_calibrated_low2,50-150,66,-181.2036166683453,195.69834027508549,519.1350500383538,-0.33944187798624625,-1159.5407672919641,25.747350058545408
train_calibrated_low2,150-500,36,-3.768888336874852,33.700824140363416,85.12306109986132,4.714980323356031,-90.99523356399959,33.57697736472619
train_calibrated_low2,range>=500,153,-471.5751133986093,1161.426941756609,1970.6640707960994,-4.0520870883492535,-4407.184946940336,1893.2759680172671
