method,n,mean_bias_adc,mae_adc,rmse_adc,median_bias_adc,q05_adc,q95_adc
line3_predict,2562948,-29.72447427913556,148.01635750259908,530.2466385578914,-0.33333333333303017,-451.33333333333303,225.85714285714312
low2_mean3,2562948,-87.33985102311868,168.53923470160143,685.0945345170035,-3.0,-489.5,35.5
mean3,2562948,-3.4157666099294636e-14,184.6929751728608,634.3522400196828,3.0,-345.0,354.33333333333303
median3,2562948,-32.932192927831544,184.81564510867955,713.7457942861198,0.0,-427.0,85.0
min3,2562948,-141.74750911840584,174.62109921855614,763.2317042084969,-7.0,-650.0,12.0
train_calibrated_low2,2562948,-85.49375550320448,168.18728969118615,686.3206692599275,-0.020046190001721698,-489.0394030306737,37.03037145205258
