mode,feature,corr_with_abs_error_improvement,low20_median_improvement,high20_median_improvement,heldout_feature_p20,heldout_feature_p80
per-stave amp-bin PC1,resid_pc1,0.1843927415748977,0.14999652871662478,0.08751004618138897,-0.6527870515337115,0.19490562582732615
per-stave amp-bin PC2,resid_pc2,0.09963468917383268,0.09387409553944667,0.08711673791497607,-0.34329250212625784,0.2710270448874423
per-stave amp-bin PC3,resid_pc3,-0.16084507739744536,0.08784349389229837,0.1402793061759105,-0.18545744778812254,0.2218757899565006
peak-sample anchoring error,peak_anchor_delta_sample,-0.3378636627023932,0.08718770189116955,0.07175983245092867,-1.0,1.0
tail residual mean,tail_resid_mean,-0.2698827730503409,0.10430235282093143,0.09495587703355887,-0.05898820813538988,0.07260746833206032
baseline residual mean,baseline_resid_mean,0.1746123735635911,0.08516497186654845,0.07054833712934586,-0.0006631757499085842,0.004721400757163914
tail/baseline covariance proxy,baseline_tail_resid_product,-0.15063162011922993,0.09759081107799472,0.09712327056165365,-0.00016362763293325817,1.5288876430471793e-05
