method,run,n,bias_median_frac,res68_abs_frac,full_rms_frac,within_5pct,within_10pct,bias_ci95,res68_ci95,full_rms_ci95
peak_calibrated,57,13819,-0.049818451904184984,0.10181066991939283,0.6089623596503074,0.3681163615312251,0.6728417396338374,"[-0.0513397506656765, -0.048438860195134874]","[0.09982034739178387, 0.1040403017348675]","[0.545640999130051, 0.6775145064065706]"
peak_calibrated,65,13038,-0.08621708976171996,0.13943950775159994,0.4216722384048796,0.19228409265224727,0.48381653627857035,"[-0.08738331052826442, -0.08499334624530683]","[0.13747273422427106, 0.14098265781339192]","[0.4013647372963893, 0.4403386911052963]"
residual_basis_huber,57,13819,0.00014535370276784446,0.0063973865605223435,0.3247700131685239,0.8819017295028584,0.922932194804255,"[3.4027458628093203e-05, 0.0002560390743085078]","[0.00624697161601422, 0.006562319049269723]","[0.27693854382909255, 0.3648774646197072]"
residual_basis_huber,65,13038,-0.0001958252141441184,0.005788432640594569,0.12345262600158483,0.9147875441018561,0.9479981592268752,"[-0.0003055771912442819, -8.304099155148955e-05]","[0.005635279865601702, 0.005969291443173658]","[0.09757788260029325, 0.1543676579378548]"
residual_basis_ridge,57,13819,0.002358869098001844,0.025702681663377296,0.23478772520050673,0.8222736811636153,0.9024531442217237,"[0.001946321525462883, 0.002728333043090707]","[0.025032314419556185, 0.026505560187238437]","[0.19818523623901105, 0.2715791638819102]"
residual_basis_ridge,65,13038,0.003966257909527879,0.02449844149755007,0.0859429170494507,0.8669274428593342,0.9347292529529069,"[0.003491888090201775, 0.004399591650074098]","[0.023863001118533313, 0.025096911674603508]","[0.076299860114502, 0.09833756440837799]"
residual_basis_extra_trees,57,13819,-0.00010954679544299206,0.002267291731819459,0.06177630779052635,0.956074969245242,0.9805340473261451,"[-0.00012989683479299632, -8.64242544388619e-05]","[0.0021713602623396814, 0.002385372116784891]","[0.038187666451618536, 0.08906503937504351]"
residual_basis_extra_trees,65,13038,-7.104798588056932e-05,0.002111529930649389,0.03115517370626624,0.966405890473999,0.9889553612517257,"[-9.978137293614789e-05, -4.741774037743135e-05]","[0.002037071056550887, 0.002181565550930743]","[0.025481875120425768, 0.03810855913930185]"
shuffled_target_extra_trees,57,13819,0.16264488355231307,0.5381950099979178,2.563429384031064,0.06339098342861278,0.13032780953759318,"[0.14636695234325198, 0.1749469837922476]","[0.5282975914048467, 0.5513803256263592]","[2.4091511331366626, 2.742056894216529]"
shuffled_target_extra_trees,65,13038,0.5412100647424231,1.118580853929795,2.04858229685635,0.051925141892928364,0.10699493787390704,"[0.522092093787262, 0.5591901501385029]","[1.0769168465976666, 1.1520990111179839]","[1.9503899875006836, 2.1302903815057506]"
