axis_a,axis_b,n00,n10,n01,n11,tail_rate00,tail_rate10,tail_rate01,tail_rate11,additive_expected11,interaction_delta,interaction_odds_ratio,log_interaction_or,composition_shift,min_cell_n,low_support,interaction_delta_ci_low,interaction_delta_ci_high,log_interaction_or_ci_low,log_interaction_or_ci_high,composition_shift_ci_high,significant_delta_ci_excludes_zero,abs_interaction_delta
s16_lowering_axis,dropout_jagged_axis,11750,109,73,1478,0.009446808510638298,0.25688073394495414,0.0547945205479452,0.04194857916102842,0.30222844598226106,-0.26027986682123266,0.01866762296615266,-3.980964647897719,0.06879270312079025,73,False,-0.4885992341461542,-0.11635902282530312,-6.136523989398069,-1.2615586892749027,0.7436373885870532,True,0.26027986682123266
s16_lowering_axis,p07_saturation_axis,8739,1299,3084,288,0.005149330587023687,0.042340261739799843,0.022697795071335927,0.12152777777777778,0.05988872622411208,0.0616390515536657,0.7026600516113939,-0.35288207224859164,0.15887397464578676,288,False,0.007553591305168697,0.14903485457887605,-1.4925688655992364,0.5384525265113175,0.7318969403374208,True,0.0616390515536657
pretrigger_axis,peak_phase_axis,222,2101,10011,1076,0.0045045045045045045,0.01618277010947168,0.00849066027369893,0.07899628252788105,0.020168925878666106,0.05882735664921494,4.063005217525925,1.401922901160789,0.05110609349400797,222,False,0.03094175587566259,0.10002845839593937,-0.37501222833204517,3.468193649853793,0.6861348490880825,True,0.05882735664921494
pretrigger_axis,p07_saturation_axis,7850,2188,2383,989,0.00535031847133758,0.026508226691042046,0.018464120856063786,0.06167846309403438,0.03962202907576825,0.02205643401826613,0.6902449439581739,-0.37070875314158536,0.08854061341422312,989,False,5.7534520740635313e-05,0.05874234540546288,-1.2226098500635534,0.4813270951558465,0.7135340149714443,True,0.02205643401826613
s16_lowering_axis,peak_phase_axis,1497,826,10326,761,0.004008016032064128,0.035108958837772396,0.010555878365291498,0.08015768725361366,0.04165682117099977,0.0385008660826139,0.9651532513888541,-0.035468380522698774,0.07147518718746969,761,False,-0.0059365219474848616,0.09380025404031456,-1.943547196741368,1.2929994919239618,0.7111176961064671,False,0.0385008660826139
dropout_jagged_axis,peak_phase_axis,1496,827,10363,724,0.010026737967914439,0.02418379685610641,0.011965647013413105,0.06353591160220995,0.02612270590160508,0.03741320570060487,2.3229037340075407,0.8428180125540216,0.07561706650846034,724,False,-0.0018100977960616754,0.0801656266161555,-0.6187942567254925,2.6088057960619775,0.7095973154362417,False,0.03741320570060487
p07_saturation_axis,s10_two_pulse_axis,7882,400,2156,2972,0.007992895204262877,0.045,0.017161410018552876,0.029273216689098252,0.05416851481429,-0.024895298125191746,0.28776871662077635,-1.2455981887664387,0.09081208354786359,400,False,-0.0628444199111245,0.017168134126462894,-1.9965513123510583,0.8814532512983972,0.7087796571061686,False,0.024895298125191746
s16_lowering_axis,s10_two_pulse_axis,7129,1153,4694,434,0.003927619581989059,0.04596704249783174,0.018534299105240733,0.08525345622119816,0.06057372202108341,0.024679734200114753,0.410093097117303,-0.8913710789196343,0.11998680398766998,434,False,-0.005088201766285858,0.07732039089435477,-1.6681748620541013,0.18013174305813895,0.7433493560674769,False,0.024679734200114753
p07_saturation_axis,dropout_jagged_axis,8714,3145,1324,227,0.005967408767500574,0.02766295707472178,0.03625377643504532,0.07929515418502203,0.05794932474226652,0.02134582944275551,0.49236057390435767,-0.7085439571213419,0.14590663158205955,227,False,-0.02939939086745226,0.0779963059187673,-1.9014444733518823,-0.10697794374528957,0.760580399945213,False,0.02134582944275551
pretrigger_axis,s10_two_pulse_axis,6204,2078,4029,1099,0.0037072856221792394,0.02791145332050048,0.01563663440059568,0.055505004549590536,0.039840802098916925,0.01566420245067361,0.4857125506278128,-0.722138289676434,0.08374503565372629,1099,False,-0.007517529322900826,0.0440295611031424,-1.6073516112351076,0.13883094180265576,0.6522448291523254,False,0.01566420245067361
s10_two_pulse_axis,dropout_jagged_axis,7107,4752,1175,376,0.004784015759110736,0.022095959595959596,0.04,0.05053191489361702,0.05731194383684886,-0.00678002894323184,0.2784313896969255,-1.2785836065295633,0.11821481269931935,376,False,-0.03521193352141164,0.04152659958279962,-1.9859611003449205,0.07492939501166584,0.6693828041950276,False,0.00678002894323184
s10_two_pulse_axis,peak_phase_axis,1360,963,6922,4165,0.008823529411764706,0.023883696780893044,0.009968217278243282,0.024249699879951982,0.02502838464737162,-0.0007786847674196365,0.9135588448875754,-0.09040748828465296,0.05561150634750546,963,False,-0.03358422260483022,0.014709725250666394,-1.6768882578281137,0.7890734520976876,0.7024049217002237,False,0.0007786847674196365
