fold,heldout_runs,raw_sigma68_ns,traditional_additive_sigma68_ns,ml_rf_sigma68_ns
1,61,1.694903362061287,2.1352390772696537,1.3442608351781702
2,"49,51,60",1.6680573851189904,2.0116438854915595,1.3446361027947193
3,"48,52,62",1.681010065532353,2.283480690066443,1.3501943525234976
4,"46,47,53,55,59",1.610309485090863,2.1090615946905293,1.28643731668488
5,"44,45,50,54,56,57,58,63,65",1.7089881082398812,2.2139861880272402,1.4705482150369518
