charge_bin,baseline_bin,width_bin,baseline_lowering,topology_bin,downstream_bin,anomaly_taxon,stave,sum,count,low_count,effective_pairs,supported,score,fold
0,0,0,0,1,0,broad_pulse,B2,336,379,43,43,True,0.8881900745354974,family_a_to_b
0,0,0,0,1,0,long_tail,B2,3,3,0,0,False,0.9521546095586314,family_a_to_b
0,0,0,0,2,1,broad_pulse,B2,6,7,1,1,False,0.9095957443883932,family_a_to_b
0,0,0,0,2,1,long_tail,B2,3,3,0,0,False,0.9521546095586314,family_a_to_b
0,0,0,0,3,1,broad_pulse,B2,5,5,0,0,False,0.9577834790223219,family_a_to_b
0,0,0,0,3,1,long_tail,B2,2,2,0,0,False,0.9487370816699622,family_a_to_b
0,0,0,1,1,0,broad_pulse,B2,127,140,13,13,True,0.9097520996274966,family_a_to_b
0,0,0,1,1,0,long_tail,B2,1,1,0,0,False,0.9447937802599593,family_a_to_b
0,0,0,1,2,1,broad_pulse,B2,2,2,0,0,False,0.9487370816699622,family_a_to_b
0,0,0,1,2,1,long_tail,B2,2,2,0,0,False,0.9487370816699622,family_a_to_b
0,0,0,1,3,1,broad_pulse,B2,1,1,0,0,False,0.9447937802599593,family_a_to_b
0,1,0,0,1,0,broad_pulse,B2,468,519,51,51,True,0.9026032375581534,family_a_to_b
0,1,0,0,1,0,long_tail,B2,4,5,1,1,False,0.8989599496105571,family_a_to_b
0,1,0,0,2,1,broad_pulse,B2,8,8,0,0,False,0.9641159571689736,family_a_to_b
0,1,0,0,2,1,long_tail,B2,2,2,0,0,False,0.9487370816699622,family_a_to_b
0,1,0,0,3,1,broad_pulse,B2,6,6,0,0,False,0.9601288412988596,family_a_to_b
0,1,0,0,3,1,long_tail,B2,1,1,0,0,False,0.9447937802599593,family_a_to_b
0,2,0,0,1,0,broad_pulse,B2,459,485,26,26,True,0.9462420908317495,family_a_to_b
0,2,0,0,1,0,early_pretrigger,B2,347,360,13,13,True,0.9631245138262889,family_a_to_b
0,2,0,0,1,0,late_activity,B2,1,1,0,0,False,0.9447937802599593,family_a_to_b
0,2,0,0,1,0,long_tail,B2,4,4,0,0,False,0.955144946461217,family_a_to_b
0,2,0,0,1,0,negative_dropout,B2,8,9,1,1,False,0.9182056734942605,family_a_to_b
0,2,0,0,1,1,broad_pulse,B4,15,15,0,0,False,0.973419227532573,family_a_to_b
0,2,0,0,1,1,broad_pulse,B6,9,9,0,0,False,0.9658247211133082,family_a_to_b
0,2,0,0,1,1,broad_pulse,B8,7,7,0,0,False,0.9622273233357617,family_a_to_b
0,2,0,0,1,1,early_pretrigger,B4,3,3,0,0,False,0.9521546095586314,family_a_to_b
0,2,0,0,1,1,early_pretrigger,B6,1,1,0,0,False,0.9447937802599593,family_a_to_b
0,2,0,0,1,1,early_pretrigger,B8,1,1,0,0,False,0.9447937802599593,family_a_to_b
0,2,0,0,1,1,long_tail,B4,1,1,0,0,False,0.9447937802599593,family_a_to_b
0,2,0,0,1,1,long_tail,B6,4,4,0,0,False,0.955144946461217,family_a_to_b
0,2,0,0,1,1,long_tail,B8,1,1,0,0,False,0.9447937802599593,family_a_to_b
0,2,0,0,2,1,broad_pulse,B2,18,19,1,1,False,0.9445909401090152,family_a_to_b
0,2,0,0,2,1,broad_pulse,B4,45,47,2,2,False,0.953937612599652,family_a_to_b
0,2,0,0,2,1,broad_pulse,B6,12,12,0,0,False,0.9700966309741447,family_a_to_b
0,2,0,0,2,1,broad_pulse,B8,5,5,0,0,False,0.9577834790223219,family_a_to_b
0,2,0,0,2,1,early_pretrigger,B2,4,4,0,0,False,0.955144946461217,family_a_to_b
0,2,0,0,2,1,early_pretrigger,B4,5,5,0,0,False,0.9577834790223219,family_a_to_b
0,2,0,0,2,1,early_pretrigger,B6,2,2,0,0,False,0.9487370816699622,family_a_to_b
0,2,0,0,2,1,early_pretrigger,B8,2,2,0,0,False,0.9487370816699622,family_a_to_b
0,2,0,0,2,1,late_activity,B2,2,2,0,0,False,0.9487370816699622,family_a_to_b
0,2,0,0,2,1,long_tail,B4,20,20,0,0,False,0.9775724732306085,family_a_to_b
0,2,0,0,2,1,long_tail,B6,4,4,0,0,False,0.955144946461217,family_a_to_b
0,2,0,0,2,1,long_tail,B8,3,3,0,0,False,0.9521546095586314,family_a_to_b
0,2,0,0,2,1,negative_dropout,B2,2,2,0,0,False,0.9487370816699622,family_a_to_b
0,2,0,0,3,1,broad_pulse,B2,10,10,0,0,False,0.9673781428808851,family_a_to_b
0,2,0,0,3,1,broad_pulse,B4,51,52,1,1,False,0.9731612366153042,family_a_to_b
0,2,0,0,3,1,broad_pulse,B6,39,40,1,1,False,0.9669676758342205,family_a_to_b
0,2,0,0,3,1,broad_pulse,B8,9,10,1,1,False,0.9219235974263396,family_a_to_b
0,2,0,0,3,1,early_pretrigger,B2,5,5,0,0,False,0.9577834790223219,family_a_to_b
0,2,0,0,3,1,early_pretrigger,B4,1,1,0,0,False,0.9447937802599593,family_a_to_b
0,2,0,0,3,1,long_tail,B4,12,12,0,0,False,0.9700966309741447,family_a_to_b
0,2,0,0,3,1,long_tail,B6,14,14,0,0,False,0.9723968901299797,family_a_to_b
0,2,0,0,3,1,long_tail,B8,5,5,0,0,False,0.9577834790223219,family_a_to_b
0,2,0,1,1,1,broad_pulse,B4,2,2,0,0,False,0.9487370816699622,family_a_to_b
0,2,0,1,1,1,broad_pulse,B6,2,2,0,0,False,0.9487370816699622,family_a_to_b
