method,run,current_group,n,mean_score,auc_within_run,support_loss_fraction
amplitude_only_control,44,high_20nA,1800,0.8241392183834474,,0.2683333333333333
amplitude_only_control,45,high_20nA,1800,0.8333469716520036,,0.22333333333333333
amplitude_only_control,46,low_2nA,687,0.8145618449979037,,0.10043668122270742
amplitude_only_control,47,low_2nA,1800,0.9333804506654066,,0.17277777777777778
amplitude_only_control,48,high_20nA,1800,0.8176720491318539,,0.22944444444444445
amplitude_only_control,49,high_20nA,1800,0.8229990291515227,,0.26
amplitude_only_control,50,high_20nA,1800,0.8778413782898761,,0.09777777777777778
amplitude_only_control,51,high_20nA,1800,0.8693474200631849,,0.11777777777777777
amplitude_only_control,52,high_20nA,1800,0.9461504191076962,,0.24555555555555555
amplitude_only_control,53,high_20nA,1800,0.9464869412533942,,0.24166666666666667
amplitude_only_control,54,high_20nA,1800,0.946086024183841,,0.25722222222222224
amplitude_only_control,55,high_20nA,1800,0.9457427375854122,,0.24388888888888888
amplitude_only_control,56,high_20nA,1800,0.946789976103009,,0.2361111111111111
amplitude_only_control,57,high_20nA,1800,0.9374768990834923,,0.3111111111111111
cnn1d_residual,44,high_20nA,1800,0.8470621868014573,,0.2683333333333333
cnn1d_residual,45,high_20nA,1800,0.8480784790859058,,0.22333333333333333
cnn1d_residual,46,low_2nA,687,0.8358374014144758,,0.10043668122270742
cnn1d_residual,47,low_2nA,1800,0.9378090308581477,,0.17277777777777778
cnn1d_residual,48,high_20nA,1800,0.8456480921622571,,0.22944444444444445
cnn1d_residual,49,high_20nA,1800,0.8452033015001686,,0.26
cnn1d_residual,50,high_20nA,1800,0.8633945198868901,,0.09777777777777778
cnn1d_residual,51,high_20nA,1800,0.862065559063257,,0.11777777777777777
cnn1d_residual,52,high_20nA,1800,0.9386228185232665,,0.24555555555555555
cnn1d_residual,53,high_20nA,1800,0.938375477652772,,0.24166666666666667
cnn1d_residual,54,high_20nA,1800,0.9380812755014066,,0.25722222222222224
cnn1d_residual,55,high_20nA,1800,0.9382772565966438,,0.24388888888888888
cnn1d_residual,56,high_20nA,1800,0.9374837491206125,,0.2361111111111111
cnn1d_residual,57,high_20nA,1800,0.9430960149366016,,0.3111111111111111
gradient_boosted_trees_residual,44,high_20nA,1800,0.8059658482507625,,0.2683333333333333
gradient_boosted_trees_residual,45,high_20nA,1800,0.8113720797217833,,0.22333333333333333
gradient_boosted_trees_residual,46,low_2nA,687,0.7306466752630363,,0.10043668122270742
gradient_boosted_trees_residual,47,low_2nA,1800,0.9073355857504669,,0.17277777777777778
gradient_boosted_trees_residual,48,high_20nA,1800,0.7889962772925887,,0.22944444444444445
gradient_boosted_trees_residual,49,high_20nA,1800,0.7972396505735382,,0.26
gradient_boosted_trees_residual,50,high_20nA,1800,0.8946124863509094,,0.09777777777777778
gradient_boosted_trees_residual,51,high_20nA,1800,0.8845593245187312,,0.11777777777777777
gradient_boosted_trees_residual,52,high_20nA,1800,0.9522231801515553,,0.24555555555555555
gradient_boosted_trees_residual,53,high_20nA,1800,0.9576790863665953,,0.24166666666666667
gradient_boosted_trees_residual,54,high_20nA,1800,0.958607783770979,,0.25722222222222224
gradient_boosted_trees_residual,55,high_20nA,1800,0.95506871234617,,0.24388888888888888
gradient_boosted_trees_residual,56,high_20nA,1800,0.9488780541327384,,0.2361111111111111
gradient_boosted_trees_residual,57,high_20nA,1800,0.9369366849953142,,0.3111111111111111
mlp_residual,44,high_20nA,1800,0.8530804009291076,,0.2683333333333333
mlp_residual,45,high_20nA,1800,0.8536309410795149,,0.22333333333333333
mlp_residual,46,low_2nA,687,0.8565045130134457,,0.10043668122270742
mlp_residual,47,low_2nA,1800,0.9397675142995422,,0.17277777777777778
mlp_residual,48,high_20nA,1800,0.8536340570784107,,0.22944444444444445
mlp_residual,49,high_20nA,1800,0.8526911902192353,,0.26
mlp_residual,50,high_20nA,1800,0.857547017185578,,0.09777777777777778
mlp_residual,51,high_20nA,1800,0.8568285959228875,,0.11777777777777777
mlp_residual,52,high_20nA,1800,0.9388634365317099,,0.24555555555555555
mlp_residual,53,high_20nA,1800,0.9385172417048488,,0.24166666666666667
mlp_residual,54,high_20nA,1800,0.9383769118484516,,0.25722222222222224
mlp_residual,55,high_20nA,1800,0.9385439539496537,,0.24388888888888888
mlp_residual,56,high_20nA,1800,0.9383617532522552,,0.2361111111111111
mlp_residual,57,high_20nA,1800,0.9419500142750179,,0.3111111111111111
ridge_residual,44,high_20nA,1800,0.8559967811141631,,0.2683333333333333
ridge_residual,45,high_20nA,1800,0.8565324478587208,,0.22333333333333333
ridge_residual,46,low_2nA,687,0.8499295861232803,,0.10043668122270742
ridge_residual,47,low_2nA,1800,0.9374574678595072,,0.17277777777777778
ridge_residual,48,high_20nA,1800,0.8554867383223017,,0.22944444444444445
ridge_residual,49,high_20nA,1800,0.856611963310048,,0.26
ridge_residual,50,high_20nA,1800,0.8576584279566507,,0.09777777777777778
