run,eventno,stave,stave_index,run_family,current_group,high_current,selected_multiplicity,downstream_event,fold,support_loss,atom_support_loss,distance_support_loss,support_distance
47,54604,B2,0,family_b,low_2nA,0,1,0,family_a_to_b,False,False,False,0.1381038629798838
47,61625,B2,0,family_b,low_2nA,0,1,0,family_a_to_b,False,False,False,0.3318209146854004
47,56272,B2,0,family_b,low_2nA,0,1,0,family_a_to_b,False,False,False,0.7106517517366029
47,54580,B2,0,family_b,low_2nA,0,1,0,family_a_to_b,False,False,False,0.12025283454260849
47,55621,B2,0,family_b,low_2nA,0,1,0,family_a_to_b,False,False,False,0.14870574091923144
47,64831,B2,0,family_b,low_2nA,0,1,0,family_a_to_b,False,False,False,0.44069740312374617
47,59587,B2,0,family_b,low_2nA,0,1,0,family_a_to_b,False,False,False,0.06488472992644026
47,64268,B2,0,family_b,low_2nA,0,1,0,family_a_to_b,False,False,False,0.12851405404506538
47,62782,B2,0,family_b,low_2nA,0,1,0,family_a_to_b,False,False,False,0.10726030175645693
47,56564,B2,0,family_b,low_2nA,0,1,0,family_a_to_b,False,False,False,0.12132537506721837
47,62421,B2,0,family_b,low_2nA,0,1,0,family_a_to_b,True,False,True,2.9614808455170953
47,55503,B2,0,family_b,low_2nA,0,1,0,family_a_to_b,False,False,False,0.0575102516975051
47,61718,B2,0,family_b,low_2nA,0,1,0,family_a_to_b,False,False,False,0.15810117466965826
47,54319,B2,0,family_b,low_2nA,0,1,0,family_a_to_b,False,False,False,0.4334077424860296
47,60437,B2,0,family_b,low_2nA,0,1,0,family_a_to_b,True,True,False,0.1722210824438345
47,55690,B2,0,family_b,low_2nA,0,2,1,family_a_to_b,True,True,True,12.737939962756087
47,61288,B2,0,family_b,low_2nA,0,1,0,family_a_to_b,False,False,False,0.6651078333930113
47,58745,B2,0,family_b,low_2nA,0,1,0,family_a_to_b,False,False,False,0.06475172357293485
47,57820,B2,0,family_b,low_2nA,0,1,0,family_a_to_b,True,True,False,0.14976588377004418
47,56249,B2,0,family_b,low_2nA,0,1,0,family_a_to_b,False,False,False,0.09003945715776294
47,55090,B2,0,family_b,low_2nA,0,1,0,family_a_to_b,False,False,False,0.1888273421604999
47,61791,B2,0,family_b,low_2nA,0,1,0,family_a_to_b,False,False,False,0.0992982675727218
47,61768,B2,0,family_b,low_2nA,0,1,0,family_a_to_b,False,False,False,0.2099661940764658
47,57376,B2,0,family_b,low_2nA,0,1,0,family_a_to_b,False,False,False,1.5966209696691258
47,54168,B2,0,family_b,low_2nA,0,1,0,family_a_to_b,False,False,False,0.23354912390611776
47,56264,B2,0,family_b,low_2nA,0,1,0,family_a_to_b,True,True,False,0.10128885660091395
47,55353,B2,0,family_b,low_2nA,0,1,0,family_a_to_b,False,False,False,0.14739788999794187
47,58996,B2,0,family_b,low_2nA,0,1,0,family_a_to_b,False,False,False,0.24130803268989057
47,54471,B2,0,family_b,low_2nA,0,1,0,family_a_to_b,True,True,False,0.38719720770492855
47,58367,B2,0,family_b,low_2nA,0,1,0,family_a_to_b,False,False,False,0.09191188529559999
47,59706,B2,0,family_b,low_2nA,0,1,0,family_a_to_b,False,False,False,0.3754925702403895
47,58497,B2,0,family_b,low_2nA,0,1,0,family_a_to_b,True,True,False,0.36715283055252435
