run,current_group,high_current,events_with_selected,selected_pulses,downstream_events,downstream_per_selected_event,b2_events,b2_downstream_events
44,high_20nA,1,1912,2038,116,0.060669456066945605,1884,88
45,high_20nA,1,23013,24333,1147,0.04984139399469865,22786,920
46,low_2nA,0,677,687,10,0.014771048744460856,675,8
47,low_2nA,0,5161,5276,125,0.02422011238132145,5116,80
48,high_20nA,1,13185,14000,708,0.05369738339021615,13044,567
49,high_20nA,1,13937,14815,770,0.055248618784530384,13779,612
50,high_20nA,1,34257,35217,854,0.024929211548004787,34088,685
51,high_20nA,1,14295,14740,400,0.027981811822315496,14200,305
52,high_20nA,1,6933,7152,186,0.026828212894850715,6893,146
53,high_20nA,1,31386,32200,727,0.02316319378066654,31225,566
54,high_20nA,1,29665,30440,716,0.024136187426259902,29493,544
55,high_20nA,1,16841,17387,479,0.028442491538507215,16735,373
56,high_20nA,1,38932,40148,1050,0.026970101715812184,38730,848
57,high_20nA,1,12939,13833,776,0.05997372285338898,12774,611
