method,n_records,n_runs,mean_bias_adc,mean_bias_ci_low_adc,mean_bias_ci_high_adc,mae_adc,mae_ci_low_adc,mae_ci_high_adc,rmse_adc,rmse_ci_low_adc,rmse_ci_high_adc,timing_shift_tail_fraction_abs_gt0p5ns,timing_shift_tail_ci_low,timing_shift_tail_ci_high
traditional_mean3,320900,33,2.7208317659769744e-15,-2.512728261234974,2.343551092308887,207.79350784252628,172.48546116183968,235.78806142787784,683.2580105086264,617.3470281167105,738.0572423513358,0.1030258647553755,0.08077959306491404,0.12362090909090902
traditional_median3,320900,33,-35.03636335306949,-40.01255374070553,-30.122782633242103,211.02532564661888,176.3566547239387,238.89819264790006,771.8332220164465,696.1789517861567,839.8560226573674,0.0,0.0,0.0
traditional_run_train_stratified_offset,320900,33,-0.16210023390703807,-6.616615286578189,6.928110734023717,238.04614393684608,209.68076758439793,261.56311375756553,678.3530678080868,613.8194190523898,736.715794119157,0.2889619754696631,0.2707922917750796,0.3055664161548797
traditional_adaptive_pc_excluding_target,320900,33,-242.32131734185103,-285.9689618297869,-210.23248673275555,265.90586140542223,226.90502859429031,311.4067601223964,1055.5392457291373,962.6941086697042,1163.7443600144532,0.07816142100342786,0.06486206285516433,0.09244830144419391
ml_ridge_waveform_no_target,320900,33,0.09476647108731415,-3.128290765245716,4.433892266631313,279.6925755244257,251.59911326416508,304.246461573692,627.150286632776,566.6363796147232,683.0529150336118,0.5556559675911499,0.515056420538716,0.6014124545175701
ml_shuffled_target_control,320900,33,-0.10630571879561398,-40.80384270914109,44.70542220609743,461.02672704033074,429.6342330737916,494.41898598945346,1019.4786621731699,913.6550580302976,1109.4664087739832,0.8074727329386101,0.789838677099169,0.825048120093248
