file,entries,trigger_summary,non_beam_trigger_entries,filename_tag_match,tag_like_branches,has_tag_like_branch
hrdb_run_0031.root,39990,1:39990,0,False,,False
hrdb_run_0032.root,41921,1:41921,0,False,,False
hrdb_run_0033.root,57173,1:57173,0,False,,False
hrdb_run_0034.root,39765,1:39765,0,False,,False
hrdb_run_0035.root,27786,1:27786,0,False,,False
hrdb_run_0036.root,21764,1:21764,0,False,,False
hrdb_run_0037.root,50513,1:50513,0,False,,False
hrdb_run_0039.root,30321,1:30321,0,False,,False
hrdb_run_0040.root,32613,1:32613,0,False,,False
hrdb_run_0041.root,33997,1:33997,0,False,,False
hrdb_run_0042.root,33972,1:33972,0,False,,False
hrdb_run_0044.root,4294,1:4294,0,False,,False
hrdb_run_0045.root,48181,1:48181,0,False,,False
hrdb_run_0046.root,1441,1:1441,0,False,,False
hrdb_run_0047.root,10970,1:10970,0,False,,False
hrdb_run_0048.root,31713,1:31713,0,False,,False
hrdb_run_0049.root,32354,1:32354,0,False,,False
hrdb_run_0050.root,44804,1:44804,0,False,,False
hrdb_run_0051.root,20569,1:20569,0,False,,False
hrdb_run_0052.root,10005,1:10005,0,False,,False
hrdb_run_0053.root,39612,1:39612,0,False,,False
hrdb_run_0054.root,37413,1:37413,0,False,,False
hrdb_run_0055.root,24416,1:24416,0,False,,False
hrdb_run_0056.root,51823,1:51823,0,False,,False
hrdb_run_0057.root,31284,1:31284,0,False,,False
hrdb_run_0058.root,34141,1:34141,0,False,,False
hrdb_run_0059.root,42303,1:42303,0,False,,False
hrdb_run_0060.root,36074,1:36074,0,False,,False
hrdb_run_0061.root,36535,1:36535,0,False,,False
hrdb_run_0062.root,37584,1:37584,0,False,,False
hrdb_run_0063.root,37030,1:37030,0,False,,False
hrdb_run_0064.root,35943,1:35943,0,False,,False
hrdb_run_0065.root,38424,1:38424,0,False,,False
