method,run,n_pair_residuals,n_events,n_runs,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,mae_ns
raw_cfd20,54,150,50,1,-2.9032663178934826,2.974859520467964,3.5840570280756343,0.06,2.491610807609728
raw_cfd20,55,132,44,1,-3.5619755723273485,3.2033552699567642,3.0340869394095504,0.08333333333333333,2.471227899048303
raw_cfd20,56,276,92,1,-3.0623599675774997,3.0259874144321266,8.345983219720457,0.07246376811594203,3.396663892888821
raw_cfd20,57,192,64,1,-3.1392182920903586,3.264756915433511,2.978022561357029,0.07291666666666667,2.408645688440003
traditional_ridge_lowering,54,150,50,1,-2.801592689660685,3.1324536190143024,3.5240368036954304,0.08,2.5793489546326427
traditional_ridge_lowering,55,132,44,1,-3.2976430004036867,3.055503976159107,3.0185900850714504,0.10606060606060606,2.3907742973522312
traditional_ridge_lowering,56,276,92,1,-3.1441037990683736,3.322014174076799,7.851472239495868,0.12318840579710146,3.4285281474875005
traditional_ridge_lowering,57,192,64,1,-2.8641129011631143,3.382417653230819,3.246598062448215,0.08333333333333333,2.538024943864636
ml_rf_lowering,54,150,50,1,-3.4316748962201773,2.5668125514760254,2.5261029869330267,0.04,1.9962035239296274
ml_rf_lowering,55,132,44,1,-3.3072917961723576,2.7839426223688353,2.6780247883208825,0.06818181818181818,2.0959599535998494
ml_rf_lowering,56,276,92,1,-3.2456055714793624,2.780826510200271,7.447816230023529,0.05434782608695652,3.15677730094919
ml_rf_lowering,57,192,64,1,-3.158966676637929,2.8466734085883707,3.009049964856614,0.07291666666666667,2.2039533183624185
ml_shuffled_target_control,54,150,50,1,-2.3821366832739894,3.012579526707606,3.782231360343855,0.06666666666666667,2.547275128842122
ml_shuffled_target_control,55,132,44,1,-3.124698472904166,3.2196371521346516,2.9810756568758916,0.06060606060606061,2.492543441227317
ml_shuffled_target_control,56,276,92,1,-2.858137102822411,3.033456682190128,8.354163800349488,0.08333333333333333,3.4460764642729305
ml_shuffled_target_control,57,192,64,1,-2.855864997432839,3.2490543076148652,3.111800766952729,0.07291666666666667,2.466856659727273
