fold,heldout_run,n,tail_rate,auc,average_precision
0,45,282,0.028368794326241134,0.8049726277372262,0.640913824158505
1,"44,46,50",204,0.0,,
2,"47,53",204,0.0,,
3,"48,52",240,0.008333333333333333,0.9915966386554621,0.6666666666666666
4,"49,51",270,0.03333333333333333,0.9352916134525331,0.6115754615754616
