bin,n_pair_residuals,n_events,n_runs,tail_fraction,sigma68_ns,max_lowering_adc_median,abs_delta_lowering_adc_median,mean_peak_sample_median,delta_peak_sample_median,mean_area_over_amp_median,max_tail_area_frac_median,max_width20_samples_median,max_pretrigger_abs_adc_median,max_pretrigger_ptp_adc_median,max_late_abs_adc_median,most_negative_postpeak_adc_median,max_lowering_adc_mean,abs_delta_lowering_adc_mean,mean_peak_sample_mean,delta_peak_sample_mean,mean_area_over_amp_mean,max_tail_area_frac_mean,max_width20_samples_mean,max_pretrigger_abs_adc_mean,max_pretrigger_ptp_adc_mean,max_late_abs_adc_mean,most_negative_postpeak_adc_mean,tail_ci_low,tail_ci_high,tail_diff_high_minus_low_ci_low,tail_diff_high_minus_low_ci_high,risk_ratio_ci_low,risk_ratio_ci_high
low,727,245,4,0.012379642365887207,1.6081646811885626,0.0,0.0,10.0,0.0,7.038655645328822,0.512703986779591,10.0,18.0,27.0,2336.5,0.0,26.084855570839057,15.116079779917458,10.661623108665749,-0.06602475928473177,6.1846680296111725,0.44137871233955284,8.940852819807429,191.33906464924345,224.8968363136176,2263.4381017881706,-14.433975240715268,0.0,0.024664691413237922,-0.02018966465090709,0.36990813761401997,0.0,50.0980519480519
high,23,9,4,0.13043478260869565,2.184813988599626,1316.5,408.9274999999998,4.0,0.0,1.2144177985570916,0.5122559942953917,9.0,1690.5,2661.0,1290.5,-1290.5,1430.7033695652174,610.4047826086955,3.608695652173913,0.0,-0.37588118460660486,0.4592830295082272,8.652173913043478,1868.0217391304348,2997.695652173913,1296.608695652174,-1221.1521739130435,0.0,0.3828754578754578,-0.02018966465090709,0.36990813761401997,0.0,50.0980519480519
