n,support_fraction,timing_sigma68_ns,timing_full_rms_ns,timing_tail_rate,charge_bias_median,charge_res68,charge_failure_rate,pileup_candidate_fraction,baseline_harm_rate,covariance_coverage,pid_energy_proxy_degradation,support_fraction_ci95,timing_sigma68_ns_ci95,charge_res68_ci95,charge_failure_rate_ci95,pid_energy_proxy_degradation_ci95,consumer,action
20718,0.16561680629276715,0.8113407866768299,0.9657799307108846,0.0,-0.6203883257108127,1.0939309944545281,0.008543295684911672,0.0,0.018245004344048653,0.0,0.008543295684911672,"[0.1405073983848999, 0.19546633068524658]","[0.7357133019355615, 0.8875982490993721]","[1.030238094770689, 1.1833414678217458]","[0.0038073566609821315, 0.017594657429780104]","[0.0038073566609821315, 0.017594657429780104]",timing,pass
5187,0.04146415552855407,0.8638106446041297,3.9155107245282386,0.5579332947754,-0.7437097728580131,1.5338390619163818,0.03797956429535377,0.0,0.0728744939271255,0.0,0.03797956429535377,"[0.03245394019851279, 0.04859236940692845]","[0.8508822142662703, 0.9474305517628795]","[1.4747153897338698, 1.566324189546782]","[0.033419169755435414, 0.04254735030439435]","[0.033419169755435414, 0.04254735030439435]",timing,correct
48819,0.39025228624416447,1.5124602251812007,7.304607962076355,0.1270816690223069,-0.05396191340950107,1.305943541401702,0.019172863024642044,0.9878735738134743,0.02142608410659784,0.2318359655052336,0.2381859521907454,"[0.37364193161183096, 0.41639105420754563]","[1.4742069331560277, 1.528009624486862]","[1.2484593887627535, 1.3313819282583395]","[0.014878563584572704, 0.023500539901538473]","[0.17160400464684766, 0.28836961354210455]",timing,abstain
50372,0.4026667519345143,2.122441624173934,8.554320746782558,0.08367743984753434,2.016409572895914,1.960555769699488,0.15996982450567776,0.8115421265782577,0.42070991820852854,0.45130231080759153,0.473894226951481,"[0.3519522549114672, 0.4432670944880992]","[2.0500377769145537, 2.1677227625741833]","[1.6928650733162944, 2.1330486558154456]","[0.12692208436145286, 0.17590476181424725]","[0.34994870778167897, 0.5287922037930908]",timing,veto
58910,0.47091833471893585,1.2838481497587657,2.3056976337918242,0.04790358173484977,-0.11573569176029119,1.145708871693122,0.0,0.6313189611271431,0.0116958071634697,0.0,0.0,"[0.42777963628628185, 0.520098469079364]","[1.2003382087977414, 1.4165026940435637]","[1.0726303329410776, 1.191378947525471]","[0.0, 0.0]","[0.0, 0.0]",amplitude,pass
3812,0.03047259704546908,0.9945763894660856,1.1416932622480347,0.0,-1.3390137313392008,0.7548855750511753,0.0,0.0,0.0,0.0,0.0,"[0.016857598927089892, 0.047831287981530704]","[0.613894390408323, 1.2578389165043293]","[0.6755781660809344, 0.8586559475475146]","[0.0, 0.0]","[0.0, 0.0]",amplitude,correct
12233,0.09778889812623905,1.1407447081435294,9.876254013906252,0.5329028038911142,-0.6554169958329368,2.0761651769818927,0.10741437096378648,0.9108150085833402,0.11076596092536581,0.9440856699092618,1.0,"[0.07344213227222388, 0.11449243907414768]","[1.033999522391617, 1.2388037070185698]","[1.9588305810789963, 2.195000077127161]","[0.09047279263032384, 0.12895488538122263]","[1.0, 1.0]",amplitude,abstain
50141,0.400820170109356,2.1106777751365167,8.327936627932907,0.07921660916216271,2.019858284552777,1.9605469298856324,0.16062703177040746,0.8131668694282125,0.41782174268562655,0.44877445603398414,0.471470453321633,"[0.34290628780058846, 0.4408332661053185]","[2.018637752603422, 2.1421173134522475]","[1.6677616230146683, 2.1138528107941132]","[0.12759010685891103, 0.17675054697430292]","[0.3572469925940208, 0.5271011212246074]",amplitude,veto
42039,0.3360539105966618,1.3184666613838152,2.0190371573132104,0.0445776540831133,-0.08961466817450514,0.9733439607205085,0.0,0.6336734936606484,0.012012654915673542,0.0,0.0,"[0.2929972736358945, 0.3901507808746808]","[1.2278492152843252, 1.449439052538656]","[0.9034326389385294, 1.0380458989445585]","[0.0, 0.0]","[0.0, 0.0]",saturation,pass
20683,0.16533702116774318,1.2225511117144898,2.6976920392632113,0.04583474350916211,-0.47878685647612684,1.4586664616590226,0.0,0.5101774404099986,0.00889619494270657,0.0,0.0,"[0.14765745455568652, 0.18338836309558673]","[0.9711369579151872, 1.3704325189304378]","[1.39437992662051, 1.5307803735297283]","[0.0, 0.0]","[0.0, 0.0]",saturation,correct
12246,0.09789281831553368,1.1407447081435294,9.8756713123527,0.5324187489792586,-0.6577840712192633,2.079270023177829,0.10836191409439817,0.9103380695737384,0.11081169361424138,0.9441450269475747,1.0,"[0.07718891641960382, 0.11562200642881681]","[1.036416161805451, 1.2465424282714785]","[1.959413135855558, 2.1806408313000394]","[0.09155269771248217, 0.1328487472935354]","[1.0, 1.0]",saturation,abstain
50128,0.4007162499200614,2.1106476739337845,8.32816270980468,0.07921720395786785,2.0204679267417007,1.9598430003357712,0.16040935205872967,0.8132580593680179,0.41789020108522185,0.4486315033514204,0.47133338653048196,"[0.35498656227684494, 0.4381252998279875]","[2.028844280006084, 2.1368144735599897]","[1.7287183909998227, 2.1196698317521587]","[0.12913039021804398, 0.17647323988861527]","[0.3735504354553094, 0.5257969603468747]",saturation,veto
