n,unsafe_rate,auc,average_precision,brier,ece,pass_coverage_at_risk10,unsafe_rate_at_risk10,charge_res68_at_risk10,timing_sigma68_at_risk10,run,method,family
16781,0.7658661581550563,0.9997482944423491,0.999930629968617,0.010379567593592624,0.059408199122151215,0.20803289434479472,0.0014322543683758235,1.0227796987276483,0.7532496552104746,58,empirical_bayes_action_table,traditional
16781,0.7658661581550563,0.9997898228888003,0.9999476590581496,0.0008090738818144346,0.0004964887553716748,0.23395506823192896,0.0025471217524197657,1.0814238394956215,0.7493413653888541,58,ridge,ml
16781,0.7658661581550563,0.9999376479190981,0.9999813286386652,0.0004918830035587908,0.002177695056980631,0.23276324414516417,0.0010240655401945725,1.0733665204895229,0.7493413653888541,58,gradient_boosted_trees,ml
16781,0.7658661581550563,0.9999188046588224,0.9999769892447418,0.0008034458681090874,0.00034326799338137604,0.23365711221023777,0.002550369803621525,1.0796787888657622,0.7493413653888541,58,mlp,nn
16781,0.7658661581550563,0.9184455575731607,0.9639659032510086,0.13255789952090805,0.25136969096337175,0.0,,,,58,1d_cnn,nn
16781,0.7658661581550563,0.9997905556272453,0.9999455465100358,0.011036115331912124,0.06785321835347227,0.1287170013705977,0.000925925925925926,0.9070937187541538,0.7910842599201907,58,action_prior_residual_cnn_new_arch,new_architecture
21377,0.842821724283108,0.9997371364874973,0.9999436497231584,0.0336869736358227,0.12888196851019426,0.12976563596388643,0.0025234318673395817,1.0556297949094073,0.739389262086304,59,empirical_bayes_action_table,traditional
21377,0.842821724283108,0.9995701810723736,0.9999267489480063,0.0015395460184277163,0.001695353349754701,0.15806708144267204,0.008286475288546907,1.1569885635746022,0.7715458404454623,59,ridge,ml
21377,0.842821724283108,0.9998067714486581,0.9999685631696426,0.0016598416384944461,0.0027040621668900796,0.15731861346306777,0.007731192387749034,1.152710106922431,0.7706335824463677,59,gradient_boosted_trees,ml
21377,0.842821724283108,0.9997971822907994,0.9999637981917611,0.0014952707043208657,0.0011669211666975859,0.1578331851990457,0.008298755186721992,1.156483235873494,0.7698834842410354,59,mlp,nn
21377,0.842821724283108,0.8716762293944608,0.9708711249437538,0.10007828096092752,0.11544843004860153,0.0,,,,59,1d_cnn,nn
21377,0.842821724283108,0.9997369878183832,0.9999515909669574,0.021221599944554467,0.10604126162485628,0.07933760583805025,0.0,0.958927397371461,0.7167744600444479,59,action_prior_residual_cnn_new_arch,new_architecture
17029,0.8766222326619296,0.9996620937408971,0.9999440568276823,0.03196526808135542,0.12753719322697132,0.10294204004932762,0.00513405590416429,1.1444084089832791,0.7800143591054436,60,empirical_bayes_action_table,traditional
17029,0.8766222326619296,0.9995212941522769,0.9999375357135626,0.0016137225529484513,0.0017031521269242362,0.12461095777790827,0.0117813383600377,1.2385479674571547,0.7890165519230263,60,ridge,ml
