window_mask,method,heldout_run,pileup_ap,pileup_auc,pid_auc,pid_efficiency,pid_purity,pid_balanced_accuracy,time_bias_ns,time_sigma68_ns,late_tail_rate_abs_gt_15ns,pileup_miss_rate,false_split_rate,energy_fractional_bias,energy_fractional_sigma68,n_events,n_positive
full_18_samples,1d_cnn,58,0.6478542192947279,0.6843100189035918,0.5204678362573099,0.0,0.0,0.5,-1.432085668845131,17.319507753706333,0.48717948717948717,0.15217391304347827,0.6956521739130435,-0.08244360014264554,0.09905240186734146,92,46
full_18_samples,1d_cnn,60,0.6265595776176988,0.6720226843100189,0.45059101654846334,0.0,0.0,0.5,-6.809097704127707,20.03225368982683,0.47297297297297297,0.1956521739130435,0.5434782608695652,-0.06066143578283334,0.08450729627039434,92,46
full_18_samples,1d_cnn,62,0.6238989610599979,0.6257088846880907,0.4904761904761905,0.0,0.0,0.5,7.208518156228982,19.29303725560886,0.5135135135135135,0.1956521739130435,0.717391304347826,-0.08198806465197805,0.11615317009342742,92,46
full_18_samples,1d_cnn,64,0.7444097065999876,0.7646502835538752,0.606312292358804,0.0,0.0,0.5,2.7580930388296787,18.231772823176687,0.44871794871794873,0.15217391304347827,0.4782608695652174,-0.07374100236051345,0.09927290280870715,92,46
full_18_samples,1d_cnn,65,0.7462233156922862,0.7235349716446124,0.5519848771266541,0.0,0.0,0.5,-4.447753562179728,17.463955210155934,0.4186046511627907,0.06521739130434782,0.6521739130434783,-0.07584529689769055,0.1577004854563924,92,46
full_18_samples,compact_sequence_residual,58,0.840199215665516,0.8312854442344045,0.881578947368421,0.9473684210526315,0.6792452830188679,0.8162768031189084,0.06743009851793769,9.002156936938805,0.16216216216216217,0.1956521739130435,0.30434782608695654,-0.03638750170809953,0.0896269012623615,92,46
full_18_samples,compact_sequence_residual,60,0.7329094622755971,0.7424385633270321,0.8713947990543736,0.9333333333333333,0.7241379310344828,0.7964539007092198,-1.5081867704534746,8.628806275104019,0.20588235294117646,0.2608695652173913,0.32608695652173914,-0.026771597763351786,0.09340225195993174,92,46
full_18_samples,compact_sequence_residual,62,0.7807796822757864,0.7580340264650283,0.8833333333333333,0.8809523809523809,0.7254901960784313,0.8004761904761905,-0.6788505587296578,8.978748453174841,0.140625,0.30434782608695654,0.30434782608695654,-0.02862723087308843,0.09565243778835075,92,46
full_18_samples,compact_sequence_residual,64,0.8427903593432728,0.8308128544423441,0.9259610821072615,0.9387755102040817,0.8363636363636363,0.8647365923113431,-1.9047602718512602,8.742691816513345,0.16176470588235295,0.2608695652173913,0.2826086956521739,-0.019048259980108288,0.07403742277742718,92,46
full_18_samples,compact_sequence_residual,65,0.8314907171970543,0.8095463137996219,0.9555765595463138,0.9565217391304348,0.8627450980392157,0.9021739130434783,-1.8591906102643252,10.075822711236773,0.14705882352941177,0.2608695652173913,0.32608695652173914,-0.020224643883898052,0.08751033990062909,92,46
