rate_mhz,method,train_neg_fpr,failure_at_80pct_coverage
0.5,trad,0.05,0.0
0.5,trad,0.2,0.0
0.5,ml,0.05,0.00010699001426533524
0.5,ml,0.2,0.00010699001426533524
1.5,trad,0.05,1.7812611328820805e-05
1.5,trad,0.2,1.7812611328820805e-05
1.5,ml,0.05,0.00023156394727467047
1.5,ml,0.2,0.00023156394727467047
3.0,trad,0.05,1.796428699744907e-05
3.0,trad,0.2,1.796428699744907e-05
3.0,ml,0.05,0.00010778572198469443
3.0,ml,0.2,0.00010778572198469443
