method,blind_run,calibration_runs,n_blind_rows,uncalibrated_sigma68_ns,calibrated_sigma68_ns,median_abs_pair_offset_ns
raw_pair_median,58,"59,60,61,62,63,65",1207,7.826480319121976,7.828467897367839,0.004087982280556551
raw_pair_median,59,"58,60,61,62,63,65",11187,2.045856225453245,2.051734991580342,0.018399642781378803
raw_pair_median,60,"58,59,61,62,63,65",10524,1.5319369724995702,1.5398190802714526,0.044417883127179474
raw_pair_median,61,"58,59,60,62,63,65",11855,1.563834558950448,1.5864154387407923,0.06409272103375047
raw_pair_median,62,"58,59,60,61,63,65",10936,1.7108187849883936,1.712598693106514,0.019187500171676076
raw_pair_median,63,"58,59,60,61,62,65",5816,2.4916786233455746,2.4949086410479184,0.028143755902741274
raw_pair_median,65,"58,59,60,61,62,63",1514,2.422720758199609,2.4250383571065885,0.007066887066229301
ridge_no_saturation,58,"59,60,61,62,63,65",1207,9.220353766652515,9.270934804474456,0.9279429927427377
ridge_no_saturation,59,"58,60,61,62,63,65",11187,4.747237995254348,4.627173719770736,0.9188543813511825
ridge_no_saturation,60,"58,59,61,62,63,65",10524,4.25903263515637,4.2167298246525515,0.8701753784708662
ridge_no_saturation,61,"58,59,60,62,63,65",11855,5.083961467987743,4.849928403911337,0.8492923262461326
ridge_no_saturation,62,"58,59,60,61,63,65",10936,4.4271910199028,4.360953426537898,0.8979202843898413
ridge_no_saturation,63,"58,59,60,61,62,65",5816,5.430085271783749,5.298780883840813,0.9356225993367766
ridge_no_saturation,65,"58,59,60,61,62,63",1514,6.467749227496574,6.450183481491046,0.9297834019225529
ridge_duplicate_safe,58,"59,60,61,62,63,65",1207,8.707314893530679,8.824148007468903,0.848684075926671
ridge_duplicate_safe,59,"58,60,61,62,63,65",11187,4.3311852608552535,4.254590105995447,0.8861874595752562
ridge_duplicate_safe,60,"58,59,61,62,63,65",10524,4.31207918478308,4.196649736720692,0.816305266760371
ridge_duplicate_safe,61,"58,59,60,62,63,65",11855,4.85926256679495,4.662033373958767,0.6737280130074313
ridge_duplicate_safe,62,"58,59,60,61,63,65",10936,4.179588542078793,4.084347425433039,0.8568050512679215
ridge_duplicate_safe,63,"58,59,60,61,62,65",5816,5.058492254677957,5.0228631132961485,0.8601285578701819
ridge_duplicate_safe,65,"58,59,60,61,62,63",1514,6.570479893303684,6.589388313903982,0.8411876262349154
gbt_duplicate_safe,58,"59,60,61,62,63,65",1207,8.177428178959445,8.420391353224153,1.0568017112176333
gbt_duplicate_safe,59,"58,60,61,62,63,65",11187,3.976334569265369,2.695937216861173,1.0891511054516585
gbt_duplicate_safe,60,"58,59,61,62,63,65",10524,3.607939522336218,2.3026414944515503,1.0324645345333028
gbt_duplicate_safe,61,"58,59,60,62,63,65",11855,3.8321207621898887,2.8250713420645903,0.9761594271270029
gbt_duplicate_safe,62,"58,59,60,61,63,65",10936,3.8405537458924757,2.561165600455588,1.0703470418044452
gbt_duplicate_safe,63,"58,59,60,61,62,65",5816,4.4158602825571505,3.500375329505366,1.0452109555224698
gbt_duplicate_safe,65,"58,59,60,61,62,63",1514,4.352041687598074,3.0424329496309577,1.06100919372112
extra_trees_duplicate_safe,58,"59,60,61,62,63,65",1207,8.891964672669177,9.082608946721166,1.514154338222777
extra_trees_duplicate_safe,59,"58,60,61,62,63,65",11187,2.756190820041165,2.5427781715999718,1.712356447038954
extra_trees_duplicate_safe,60,"58,59,61,62,63,65",10524,2.9055047521782758,2.6139651187360995,1.4257867117610363
extra_trees_duplicate_safe,61,"58,59,60,62,63,65",11855,2.750109156622542,2.5550152020146744,1.5609679951517874
extra_trees_duplicate_safe,62,"58,59,60,61,63,65",10936,2.6777779162416824,2.4871409414553076,1.2719019912231486
extra_trees_duplicate_safe,63,"58,59,60,61,62,65",5816,3.977253796550851,3.4811453847111204,1.5617121782791115
extra_trees_duplicate_safe,65,"58,59,60,61,62,63",1514,5.138935935032849,4.8676996492169415,1.5288793063081485
mlp_duplicate_safe,58,"59,60,61,62,63,65",1207,8.058739543088006,7.182753616096264,1.680986726269731
mlp_duplicate_safe,59,"58,60,61,62,63,65",11187,3.7382402227609175,2.2962720159034036,1.7201669227164593
mlp_duplicate_safe,60,"58,59,61,62,63,65",10524,3.29210940460563,2.3110401049229976,1.7017424032227657
mlp_duplicate_safe,61,"58,59,60,62,63,65",11855,3.0624820209028503,1.9095193050399168,1.692812029323047
mlp_duplicate_safe,62,"58,59,60,61,63,65",10936,3.581653695418413,2.148026356820777,1.6794415436019896
mlp_duplicate_safe,63,"58,59,60,61,62,65",5816,4.540837064705023,2.9687133127860394,1.6461349468892243
mlp_duplicate_safe,65,"58,59,60,61,62,63",1514,4.374921511167317,2.9197892445094427,1.6737477400095826
cnn_waveform_only,58,"59,60,61,62,63,65",1207,8.861052258161795,7.720568457755318,1.7534466221240828
cnn_waveform_only,59,"58,60,61,62,63,65",11187,3.754956769094444,2.1166581629063916,1.0688721053053911
cnn_waveform_only,60,"58,59,61,62,63,65",10524,3.1563550389108794,1.605918603699581,0.7978199693385383
cnn_waveform_only,61,"58,59,60,62,63,65",11855,2.874477298581744,1.5739777686801575,2.9662077704268444
cnn_waveform_only,62,"58,59,60,61,63,65",10936,3.3907146539710453,1.703441952034125,2.6840919878460534
cnn_waveform_only,63,"58,59,60,61,62,65",5816,4.177299895175054,2.5910630546617055,1.6825320676214548
cnn_waveform_only,65,"58,59,60,61,62,63",1514,4.221758495877296,2.4461127133098195,1.8042274289967648
hybrid_cnn_tabular_duplicate_safe,58,"59,60,61,62,63,65",1207,8.965736065704107,8.309607688831386,2.140715903906481
hybrid_cnn_tabular_duplicate_safe,59,"58,60,61,62,63,65",11187,3.9192212760271983,2.4126982223141304,2.583508078203774
hybrid_cnn_tabular_duplicate_safe,60,"58,59,61,62,63,65",10524,3.0640037210100486,1.5954054239148596,1.9129593770737006
hybrid_cnn_tabular_duplicate_safe,61,"58,59,60,62,63,65",11855,2.8658318873138686,1.6220224459004062,1.6454568279282582
hybrid_cnn_tabular_duplicate_safe,62,"58,59,60,61,63,65",10936,3.3366821266365543,1.7313554731511225,1.65235430151603
hybrid_cnn_tabular_duplicate_safe,63,"58,59,60,61,62,65",5816,4.659135933321873,2.8185866510790545,2.352794772767496
hybrid_cnn_tabular_duplicate_safe,65,"58,59,60,61,62,63",1514,4.465932007850177,2.6932878884303646,2.0845671312481735
