method,pedestal_offset_adc,sigma68_ns,ci_low_ns,ci_high_ns,tail_abs_gt5
raw_pair_median,-20.0,1.8554690737124826,1.6766816478525441,2.167137740651984,0.11274722374102075
raw_pair_median,-10.0,1.8445638764889052,1.682761805348183,2.1055722244155226,0.11204962386168668
raw_pair_median,10.0,1.8591935568857487,1.6832373037093584,2.2347014614792813,0.11186108335375855
raw_pair_median,20.0,1.8619814555514482,1.6928102443357516,2.211863710965739,0.11231358057278606
raw_pair_median,worst_abs_offset,1.8619814555514482,1.6928102443357516,2.211863710965739,0.11231358057278606
ridge_no_saturation,-20.0,5.168405014560765,4.814858638723357,5.761011839969426,0.3264201813759686
ridge_no_saturation,-10.0,5.141965818989915,4.806322557616924,5.794987237682237,0.32500612756650765
ridge_no_saturation,10.0,5.052318606186667,4.707910802934095,5.686515562443488,0.3223665604555139
ridge_no_saturation,20.0,5.034689558599384,4.722631420034459,5.640924525278325,0.32151812816983727
ridge_no_saturation,worst_abs_offset,5.168405014560765,4.814858638723357,5.761011839969426,0.3264201813759686
ridge_duplicate_safe,-20.0,4.918112421922038,4.625875463062581,5.4447546829776154,0.3050773958785045
ridge_duplicate_safe,-10.0,4.892132250477255,4.616553178936349,5.388764409912635,0.3034370934595298
ridge_duplicate_safe,10.0,4.716238674982739,4.440180121804372,5.222722557334457,0.30192876939610475
ridge_duplicate_safe,20.0,4.7007512883598,4.441250512957689,5.272703173062086,0.3009860668564641
ridge_duplicate_safe,worst_abs_offset,4.918112421922038,4.625875463062581,5.4447546829776154,0.3050773958785045
gbt_duplicate_safe,-20.0,3.994383923369819,3.833484241961281,4.290825577172076,0.2297366089104244
gbt_duplicate_safe,-10.0,3.967787021332418,3.803802183816986,4.2599583847315445,0.2270781877486378
gbt_duplicate_safe,10.0,3.8070094669644496,3.628886417489695,4.145014699205689,0.22070551858066706
gbt_duplicate_safe,20.0,3.777173374273575,3.6003605040658404,4.12612508937297,0.2190086540093139
gbt_duplicate_safe,worst_abs_offset,3.994383923369819,3.833484241961281,4.290825577172076,0.2297366089104244
extra_trees_duplicate_safe,-20.0,3.4283713472649247,3.183241933258691,4.0594674640813055,0.2028695865306661
extra_trees_duplicate_safe,-10.0,3.3824436826560813,3.1275326720400645,4.076530219930419,0.20068251663869982
extra_trees_duplicate_safe,10.0,3.090910954898615,2.8771402596433124,3.514203096752316,0.2009464733497992
extra_trees_duplicate_safe,20.0,3.062911315851694,2.849293381199025,3.5144681250650174,0.20034314372442918
extra_trees_duplicate_safe,worst_abs_offset,3.4283713472649247,3.183241933258691,4.0594674640813055,0.2028695865306661
mlp_duplicate_safe,-20.0,3.8562655073358716,3.5696315437184567,4.253006605352294,0.204491034898848
mlp_duplicate_safe,-10.0,3.8135636460286437,3.529973313989958,4.214020189895024,0.20100303550217763
mlp_duplicate_safe,10.0,3.710516883992114,3.430688492610088,4.214609555576254,0.1957804634325685
mlp_duplicate_safe,20.0,3.6790598824884126,3.395350689630081,4.071606199497713,0.19389505835328721
mlp_duplicate_safe,worst_abs_offset,3.8562655073358716,3.5696315437184567,4.253006605352294,0.204491034898848
cnn_waveform_only,-20.0,4.973049352132757,3.578951871627343,5.658335132279327,0.31595618318595753
cnn_waveform_only,-10.0,4.9316127781294234,3.462332473721887,5.639171458397518,0.31235505948453024
cnn_waveform_only,10.0,4.820484131854339,3.420446525808583,5.58607794630459,0.3031731367484304
cnn_waveform_only,20.0,4.798328813222226,3.415646757258124,5.601427899728162,0.30130658571994196
cnn_waveform_only,worst_abs_offset,4.973049352132757,3.578951871627343,5.658335132279327,0.31595618318595753
hybrid_cnn_tabular_duplicate_safe,-20.0,4.2359806553017645,3.3024045203409265,5.305135181062184,0.23188597070080508
hybrid_cnn_tabular_duplicate_safe,-10.0,4.205378595174624,3.2620063812156648,5.307534547658366,0.2291144252342616
hybrid_cnn_tabular_duplicate_safe,10.0,4.367412152721196,3.3367560832514735,5.394626816161883,0.22915213333584722
hybrid_cnn_tabular_duplicate_safe,20.0,4.346582582425491,3.287763787639247,5.358294786906768,0.22711589585022343
hybrid_cnn_tabular_duplicate_safe,worst_abs_offset,4.367412152721196,3.3367560832514735,5.394626816161883,0.22915213333584722
