n_estimators,max_depth,min_samples_leaf,roc_auc,average_precision,brier,model,outer_heldout_run,C,inner_mean_auc,inner_folds,learning_rate,max_leaf_nodes,l2_regularization,hidden_layer_sizes,alpha,channels,dropout
500.0,7.0,8.0,0.8601848611926077,0.8741819809288507,0.15537693627050497,random_forest_s07h,-1,,,,,,,,,,
400.0,5.0,15.0,0.824648984447758,0.8443852163253216,0.1718723755273769,random_forest_s07h,-1,,,,,,,,,,
300.0,4.0,20.0,0.8026639606806596,0.8224990816562532,0.18101450224206955,random_forest_s07h,-1,,,,,,,,,,
,,,,,,ridge_logistic,58,10.0,0.8165402018088547,6.0,,,,,,,
,,,,,,ridge_logistic,58,1.0,0.8096171883654928,6.0,,,,,,,
,,,,,,ridge_logistic,58,0.1,0.7884528690319268,6.0,,,,,,,
,,,,,,ridge_logistic,59,10.0,0.8152923509431059,6.0,,,,,,,
,,,,,,ridge_logistic,59,1.0,0.8062994777078853,6.0,,,,,,,
,,,,,,ridge_logistic,59,0.1,0.7847483927166939,6.0,,,,,,,
,,,,,,ridge_logistic,60,10.0,0.8150657920128603,6.0,,,,,,,
,,,,,,ridge_logistic,60,1.0,0.8080328657321796,6.0,,,,,,,
,,,,,,ridge_logistic,60,0.1,0.7867932154835989,6.0,,,,,,,
,,,,,,ridge_logistic,61,10.0,0.8244217457283618,6.0,,,,,,,
,,,,,,ridge_logistic,61,1.0,0.8157538410522207,6.0,,,,,,,
,,,,,,ridge_logistic,61,0.1,0.7924427942428379,6.0,,,,,,,
,,,,,,ridge_logistic,62,10.0,0.8148693783393074,6.0,,,,,,,
,,,,,,ridge_logistic,62,1.0,0.8073634852980301,6.0,,,,,,,
,,,,,,ridge_logistic,62,0.1,0.7887219486896914,6.0,,,,,,,
,,,,,,ridge_logistic,63,10.0,0.8260156969818347,6.0,,,,,,,
,,,,,,ridge_logistic,63,1.0,0.8157911994826255,6.0,,,,,,,
,,,,,,ridge_logistic,63,0.1,0.7957667475392544,6.0,,,,,,,
,,,,,,ridge_logistic,65,10.0,0.8246603856009628,6.0,,,,,,,
,,,,,,ridge_logistic,65,1.0,0.8179847964356265,6.0,,,,,,,
,,,,,,ridge_logistic,65,0.1,0.799903338054893,6.0,,,,,,,
,,,,,,gradient_boosted_trees,58,,0.9093719989525914,6.0,0.08,31.0,0.01,,,,
,,,,,,gradient_boosted_trees,58,,0.9039730281876756,6.0,0.05,31.0,0.1,,,,
,,,,,,gradient_boosted_trees,58,,0.8751844954346361,6.0,0.04,15.0,0.01,,,,
,,,,,,gradient_boosted_trees,59,,0.8981993856022567,6.0,0.08,31.0,0.01,,,,
,,,,,,gradient_boosted_trees,59,,0.8924352970279719,6.0,0.05,31.0,0.1,,,,
,,,,,,gradient_boosted_trees,59,,0.8656251183477073,6.0,0.04,15.0,0.01,,,,
,,,,,,gradient_boosted_trees,60,,0.9022930251539094,6.0,0.08,31.0,0.01,,,,
,,,,,,gradient_boosted_trees,60,,0.896834608948891,6.0,0.05,31.0,0.1,,,,
,,,,,,gradient_boosted_trees,60,,0.8661240721005705,6.0,0.04,15.0,0.01,,,,
