n_estimators,max_depth,min_samples_leaf,roc_auc,average_precision,brier
500,7,8,0.8601848611926077,0.8741819809288507,0.15537693627050497
400,5,15,0.824648984447758,0.8443852163253216,0.1718723755273769
300,4,20,0.8026639606806596,0.8224990816562532,0.18101450224206955
