ablation_type,ablation,samples,method,base_sigma68_ns,ablated_sigma68_ns,delta_sigma68_ns,ci_low,ci_high,n_pair_residuals,heldout_runs
sample,0,0,cfd20,3.1884502039551736,3.1782172709703445,-0.01023293298482919,-0.02173049764841739,0.0,1224,"42,57,64,65"
sample,0,0,template_phase,2.5232181251049006,2.5232181251049006,0.0,0.0,1.3322676295501878e-15,1224,"42,57,64,65"
sample,0,0,of_1_9,3.0530672073364196,3.0530672073364196,0.0,0.0,0.0,1224,"42,57,64,65"
sample,0,0,of_2_10,3.071211092987055,3.071211092987055,0.0,0.0,0.0,1224,"42,57,64,65"
sample,0,0,of_3_11,2.8544301033019983,2.8544301033019983,0.0,0.0,0.0,1224,"42,57,64,65"
sample,0,0,of_4_12,2.760614327392577,2.760614327392577,0.0,0.0,0.0,1224,"42,57,64,65"
sample,0,0,of_5_13,2.693265431442259,2.693265431442259,0.0,0.0,0.0,1224,"42,57,64,65"
sample,0,0,ml_ridge_residual,1.974360668523108,2.042907311510299,0.06854664298719082,0.04044313803271393,0.1740781408870795,1224,"42,57,64,65"
sample,1,1,cfd20,3.1884502039551736,3.1928515301346776,0.0044013261795039504,0.0,0.03769312900543165,1224,"42,57,64,65"
sample,1,1,template_phase,2.5232181251049006,2.5232181251049006,0.0,0.0,1.3322676295501878e-15,1224,"42,57,64,65"
sample,1,1,of_1_9,3.0530672073364196,3.053254508972161,0.0001873016357416546,-0.0006318092346191406,0.0004305839538569778,1224,"42,57,64,65"
sample,1,1,of_2_10,3.071211092987055,3.071211092987055,0.0,0.0,0.0,1224,"42,57,64,65"
sample,1,1,of_3_11,2.8544301033019983,2.8544301033019983,0.0,0.0,0.0,1224,"42,57,64,65"
sample,1,1,of_4_12,2.760614327392577,2.760614327392577,0.0,0.0,0.0,1224,"42,57,64,65"
sample,1,1,of_5_13,2.693265431442259,2.693265431442259,0.0,0.0,0.0,1224,"42,57,64,65"
sample,1,1,ml_ridge_residual,1.974360668523108,2.0011136848746442,0.026753016351536152,-0.03247633159763175,0.1871339533313492,1224,"42,57,64,65"
sample,2,2,cfd20,3.1884502039551736,3.224161247215272,0.03571104326009822,-0.03176932036877078,0.0839130787849438,1224,"42,57,64,65"
sample,2,2,template_phase,2.5232181251049006,2.5232181251049006,0.0,0.0,0.0,1224,"42,57,64,65"
sample,2,2,of_1_9,3.0530672073364196,3.053058338165278,-8.869171141512311e-06,-0.00031480789184579194,0.0015735626220703125,1224,"42,57,64,65"
sample,2,2,of_2_10,3.071211092987055,3.071865504302973,0.0006544113159181464,-0.0008988380432128906,0.0018364356994622355,1224,"42,57,64,65"
sample,2,2,of_3_11,2.8544301033019983,2.8544301033019983,0.0,0.0,0.0,1224,"42,57,64,65"
sample,2,2,of_4_12,2.760614327392577,2.760614327392577,0.0,0.0,0.0,1224,"42,57,64,65"
sample,2,2,of_5_13,2.693265431442259,2.693265431442259,0.0,0.0,0.0,1224,"42,57,64,65"
sample,2,2,ml_ridge_residual,1.974360668523108,2.056352929285625,0.08199226076251676,0.023782877367412247,0.1474779481731865,1224,"42,57,64,65"
sample,3,3,cfd20,3.1884502039551736,14.701140400090217,11.512690196135043,10.579192323863507,22.521542666733268,1224,"42,57,64,65"
sample,3,3,template_phase,2.5232181251049006,2.523218125104904,3.552713678800501e-15,0.0,0.23606515836715758,1224,"42,57,64,65"
sample,3,3,of_1_9,3.0530672073364196,3.0563824653625415,0.003315258026121981,-0.002038478851321912,0.012962818145751953,1224,"42,57,64,65"
