alpha,fold,target_minus_pred_sigma68_ns
0.01,0,1.520596021024655
0.01,1,1.518282074614182
0.01,2,1.496404412903091
0.01,3,1.3741792882544925
0.01,-1,1.4773654491991048
0.1,0,1.5207748882906138
0.1,1,1.5190902796456052
0.1,2,1.496735667245202
0.1,3,1.3745927497674244
0.1,-1,1.4777983962372114
1.0,0,1.5178673029196499
1.0,1,1.5165956326751062
1.0,2,1.4961193727033724
1.0,3,1.3739185146018826
1.0,-1,1.4761252057250027
10.0,0,1.4990720407819629
10.0,1,1.485410322960981
10.0,2,1.4933376502043094
10.0,3,1.3621065153502956
10.0,-1,1.4599816323243873
100.0,0,1.4785592169840558
100.0,1,1.4787368877023948
100.0,2,1.4697373898475194
100.0,3,1.3502021021268151
100.0,-1,1.4443088991651962
