method,metric,ci_low,ci_high,n_boot_valid
cnn_1d,accuracy,0.5698655759704199,0.6467145609804892,100
cnn_1d,balanced_accuracy,0.5428538701120513,0.6429688616418966,100
cnn_1d,ledger_utility,0.3211104915407121,0.3505665995400139,100
cnn_1d,macro_f1,0.3211104915407121,0.3505665995400139,100
gradient_boosted_trees,accuracy,0.9927570024026717,0.9976232939178564,100
gradient_boosted_trees,balanced_accuracy,0.7928831319297662,0.8326975811098508,100
gradient_boosted_trees,ledger_utility,0.6907030994613879,0.7078125769461181,100
gradient_boosted_trees,macro_f1,0.6907030994613879,0.7078125769461181,100
mlp,accuracy,0.931124312067897,0.9611325381190414,100
mlp,balanced_accuracy,0.5567188929207064,0.647384591698137,100
mlp,ledger_utility,0.48732946287988316,0.5726977109178679,100
mlp,macro_f1,0.48732946287988316,0.5726977109178679,100
ridge,accuracy,0.7917663751566124,0.8437012612029936,100
ridge,balanced_accuracy,0.6689648653141209,0.8654335287332915,100
ridge,ledger_utility,0.4524602892220374,0.5330987551312221,100
ridge,macro_f1,0.4524602892220374,0.5330987551312221,100
temporal_gate_cnn_new,accuracy,0.5176465898343854,0.6025141435306444,100
temporal_gate_cnn_new,balanced_accuracy,0.49036305021884613,0.5853652593091361,100
temporal_gate_cnn_new,ledger_utility,0.29062965309773897,0.34981842405947916,100
temporal_gate_cnn_new,macro_f1,0.29062965309773897,0.34981842405947916,100
traditional_train_frozen_cuts,accuracy,1.0,1.0,100
traditional_train_frozen_cuts,balanced_accuracy,1.0,1.0,100
traditional_train_frozen_cuts,ledger_utility,0.8571428571428571,0.8571428571428571,100
traditional_train_frozen_cuts,macro_f1,0.8571428571428571,0.8571428571428571,100
