method,subtype,current_group,n,prevalence_within_method_current_rows,timing_tail_gt5_rate,charge_bias_abs_mean,charge_bias_abs_res68,dropout_harm_rate,secondary_fraction_mean,downstream_topology_rate
cnn_1d,early_sample_offset,low_2nA,9,0.016216216216216217,0.0,0.7070119380950928,0.36982923507690435,1.0,0.0006139784236438572,0.0
cnn_1d,early_sample_offset,high_20nA,546,0.9837837837837838,0.020146520146520148,0.6953843832015991,0.3116757869720459,1.0,0.001931570004671812,0.04212454212454213
cnn_1d,nominal_baseline_excursion,low_2nA,0,0.0,,,,,,
cnn_1d,nominal_baseline_excursion,high_20nA,40,1.0,0.45,0.3036445081233978,0.13164827346801758,0.975,0.018379302695393562,0.15
cnn_1d,peak_phase_late,low_2nA,1,0.006802721088435374,0.0,0.33709239959716797,0.0,1.0,0.001102956710383296,0.0
cnn_1d,peak_phase_late,high_20nA,146,0.9931972789115646,0.589041095890411,0.24816220998764038,0.1679783821105957,0.773972602739726,0.02009069360792637,0.0136986301369863
cnn_1d,pretrigger_slope,low_2nA,7,0.02046783625730994,0.7142857142857143,0.18363775312900543,0.06757522583007812,1.0,0.018780386075377464,0.0
cnn_1d,pretrigger_slope,high_20nA,335,0.97953216374269,0.5940298507462687,0.24243685603141785,0.130843505859375,0.8776119402985074,0.02525712549686432,0.041791044776119404
cnn_1d,rising_edge_distortion,low_2nA,8,0.02056555269922879,0.75,0.23893523216247559,0.08682584762573242,0.625,0.12194294482469559,0.0
cnn_1d,rising_edge_distortion,high_20nA,381,0.9794344473007712,0.9396325459317585,0.3174923360347748,0.21772308349609376,0.2178477690288714,0.13898171484470367,0.047244094488188976
cnn_1d,tail_recovery_dropout,low_2nA,2,0.019230769230769232,1.0,0.16957712173461914,0.05213022232055664,0.0,0.07866886258125305,0.0
cnn_1d,tail_recovery_dropout,high_20nA,102,0.9807692307692307,0.9901960784313726,0.10683125257492065,0.06586307525634767,0.28431372549019607,0.08633124828338623,0.058823529411764705
gradient_boosted_trees,early_sample_offset,low_2nA,17,0.01717171717171717,0.23529411764705882,0.45559239387512207,0.33068931579589844,1.0,0.025076204910874367,0.0
gradient_boosted_trees,early_sample_offset,high_20nA,973,0.9828282828282828,0.3329907502569373,0.4659234285354614,0.336229362487793,0.868448098663926,0.026891769841313362,0.046248715313463515
gradient_boosted_trees,peak_phase_late,low_2nA,0,0.0,,,,,,
gradient_boosted_trees,peak_phase_late,high_20nA,12,1.0,0.6666666666666666,0.2934073209762573,0.11073114395141603,0.4166666666666667,0.016316093504428864,0.0
gradient_boosted_trees,pretrigger_slope,low_2nA,4,0.017699115044247787,0.75,0.21120524406433105,0.07350021362304689,1.0,0.010497312992811203,0.0
gradient_boosted_trees,pretrigger_slope,high_20nA,222,0.9823008849557522,0.5675675675675675,0.28554749488830566,0.14926183700561524,0.8513513513513513,0.023969775065779686,0.05405405405405406
gradient_boosted_trees,rising_edge_distortion,low_2nA,4,0.013201320132013201,1.0,0.3268136978149414,0.15947458267211914,0.25,0.16133755445480347,0.0
gradient_boosted_trees,rising_edge_distortion,high_20nA,299,0.9867986798679867,0.9163879598662207,0.3642946779727936,0.24304145812988281,0.19063545150501673,0.13178393244743347,0.030100334448160536
gradient_boosted_trees,tail_recovery_dropout,low_2nA,2,0.043478260869565216,1.0,0.16957712173461914,0.05213022232055664,0.0,0.07866886258125305,0.0
gradient_boosted_trees,tail_recovery_dropout,high_20nA,44,0.9565217391304348,0.9318181818181818,0.2716992199420929,0.17423923492431642,0.18181818181818182,0.08763287216424942,0.06818181818181818
mlp,early_sample_offset,low_2nA,17,0.01691542288557214,0.23529411764705882,0.45559239387512207,0.33068931579589844,1.0,0.025076204910874367,0.0
mlp,early_sample_offset,high_20nA,988,0.9830845771144279,0.3350202429149798,0.46536630392074585,0.33570492744445807,0.8714574898785425,0.02663683332502842,0.043522267206477734
mlp,peak_phase_late,low_2nA,0,0.0,,,,,,
mlp,peak_phase_late,high_20nA,2,1.0,1.0,0.14248037338256836,0.06799745559692383,0.5,0.0066989208571612835,0.0
mlp,pretrigger_slope,low_2nA,4,0.018957345971563982,0.75,0.21120524406433105,0.07350021362304689,1.0,0.010497312992811203,0.0
mlp,pretrigger_slope,high_20nA,207,0.981042654028436,0.5748792270531401,0.27615058422088623,0.15383262634277345,0.8405797101449275,0.022762810811400414,0.06763285024154589
mlp,rising_edge_distortion,low_2nA,4,0.012195121951219513,1.0,0.3268136978149414,0.15947458267211914,0.25,0.16133755445480347,0.0
mlp,rising_edge_distortion,high_20nA,324,0.9878048780487805,0.904320987654321,0.3613300025463104,0.24095184326171876,0.20679012345679013,0.1269344687461853,0.037037037037037035
mlp,tail_recovery_dropout,low_2nA,2,0.06451612903225806,1.0,0.16957712173461914,0.05213022232055664,0.0,0.07866886258125305,0.0
mlp,tail_recovery_dropout,high_20nA,29,0.9354838709677419,0.9655172413793104,0.23565253615379333,0.11605407714843757,0.034482758620689655,0.09561248123645782,0.0
ridge,early_sample_offset,low_2nA,15,0.0186799501867995,0.3333333333333333,0.4571118652820587,0.2318825912475586,0.9333333333333333,0.029746539890766144,0.0
ridge,early_sample_offset,high_20nA,788,0.9813200498132005,0.28426395939086296,0.4926692843437195,0.33939671516418474,0.9124365482233503,0.020508507266640663,0.03553299492385787
ridge,nominal_baseline_excursion,low_2nA,0,0.0,,,,,,
ridge,nominal_baseline_excursion,high_20nA,27,1.0,0.4074074074074074,0.4494885206222534,0.3328815460205078,0.7407407407407407,0.0018514746334403753,0.25925925925925924
ridge,peak_phase_late,low_2nA,0,0.0,,,,,,
ridge,peak_phase_late,high_20nA,40,1.0,0.6,0.2970561981201172,0.1754387664794922,0.525,0.029064252972602844,0.05
ridge,pretrigger_slope,low_2nA,6,0.01775147928994083,0.5,0.3048011362552643,0.19402103424072267,1.0,0.0069982088170945644,0.0
ridge,pretrigger_slope,high_20nA,332,0.9822485207100592,0.5240963855421686,0.32600829005241394,0.19316328048706055,0.8433734939759037,0.021560117602348328,0.04216867469879518
ridge,rising_edge_distortion,low_2nA,4,0.014652014652014652,0.75,0.3029153347015381,0.19052349090576173,0.5,0.1563618928194046,0.0
ridge,rising_edge_distortion,high_20nA,269,0.9853479853479854,0.929368029739777,0.3490372598171234,0.24679248809814455,0.16728624535315986,0.1512073427438736,0.040892193308550186
ridge,tail_recovery_dropout,low_2nA,2,0.020833333333333332,1.0,0.16957712173461914,0.05213022232055664,0.0,0.07866886258125305,0.0
ridge,tail_recovery_dropout,high_20nA,94,0.9791666666666666,0.9574468085106383,0.28475749492645264,0.17273847579956056,0.20212765957446807,0.10357479006052017,0.07446808510638298
temporal_gate_cnn_new,early_sample_offset,low_2nA,11,0.018612521150592216,0.0,0.6274120211601257,0.35447921752929695,1.0,0.0012650834396481514,0.0
temporal_gate_cnn_new,early_sample_offset,high_20nA,580,0.9813874788494078,0.017241379310344827,0.6788730025291443,0.3063990116119385,1.0,0.0016868935199454427,0.03103448275862069
temporal_gate_cnn_new,nominal_baseline_excursion,low_2nA,0,0.0,,,,,,
temporal_gate_cnn_new,nominal_baseline_excursion,high_20nA,71,1.0,0.2112676056338028,0.3636321723461151,0.1406454086303711,0.971830985915493,0.01686001941561699,0.29577464788732394
temporal_gate_cnn_new,peak_phase_late,low_2nA,0,0.0,,,,,,
temporal_gate_cnn_new,peak_phase_late,high_20nA,76,1.0,0.618421052631579,0.224668949842453,0.15645098686218264,0.7236842105263158,0.020267101004719734,0.0
temporal_gate_cnn_new,pretrigger_slope,low_2nA,4,0.023952095808383235,0.75,0.21120524406433105,0.07350021362304689,1.0,0.010497312992811203,0.0
