method,subtype,metric,ci_low,ci_high,n_boot_valid
gradient_boosted_trees,peak_phase_late,prevalence_within_method_current_rows_high_minus_low,1.0,1.0,100
gradient_boosted_trees,peak_phase_late,secondary_fraction_mean_high_minus_low,,,0
gradient_boosted_trees,peak_phase_late,timing_tail_gt5_rate_high_minus_low,,,0
gradient_boosted_trees,pretrigger_slope,charge_bias_abs_mean_high_minus_low,0.04160977005958557,0.10345079302787782,73
gradient_boosted_trees,pretrigger_slope,charge_bias_abs_res68_high_minus_low,0.057269470214843736,0.10550505065917971,73
gradient_boosted_trees,pretrigger_slope,downstream_topology_rate_high_minus_low,0.034895646988670245,0.08007165248544562,73
gradient_boosted_trees,pretrigger_slope,dropout_harm_rate_high_minus_low,-0.18435587401104642,-0.10701606086221467,73
gradient_boosted_trees,pretrigger_slope,prevalence_within_method_current_rows_high_minus_low,0.8615430047988187,1.0,100
gradient_boosted_trees,pretrigger_slope,secondary_fraction_mean_high_minus_low,0.008966535702347756,0.02124559357762337,73
gradient_boosted_trees,pretrigger_slope,timing_tail_gt5_rate_high_minus_low,-0.24080443828016646,-0.13186035874146435,73
gradient_boosted_trees,rising_edge_distortion,charge_bias_abs_mean_high_minus_low,0.01362001895904541,0.06918489336967469,73
gradient_boosted_trees,rising_edge_distortion,charge_bias_abs_res68_high_minus_low,0.055551136016845706,0.1046233940124512,73
gradient_boosted_trees,rising_edge_distortion,downstream_topology_rate_high_minus_low,0.017101249856667815,0.05071675729115176,73
gradient_boosted_trees,rising_edge_distortion,dropout_harm_rate_high_minus_low,-0.09120017913121362,-0.02374080362195812,73
gradient_boosted_trees,rising_edge_distortion,prevalence_within_method_current_rows_high_minus_low,0.9009837728194726,1.0,100
gradient_boosted_trees,rising_edge_distortion,secondary_fraction_mean_high_minus_low,-0.0351838618516922,-0.018435767292976378,73
gradient_boosted_trees,rising_edge_distortion,timing_tail_gt5_rate_high_minus_low,-0.11600820232399182,-0.05903893403893407,73
gradient_boosted_trees,tail_recovery_dropout,charge_bias_abs_mean_high_minus_low,0.05862148106098175,0.13424429297447205,73
gradient_boosted_trees,tail_recovery_dropout,charge_bias_abs_res68_high_minus_low,0.08571889877319336,0.13209350967407227,73
gradient_boosted_trees,tail_recovery_dropout,downstream_topology_rate_high_minus_low,0.012903225806451613,0.16025806451612903,73
gradient_boosted_trees,tail_recovery_dropout,dropout_harm_rate_high_minus_low,0.07403846153846154,0.24750846637639093,73
gradient_boosted_trees,tail_recovery_dropout,prevalence_within_method_current_rows_high_minus_low,0.7189655172413792,1.0,100
gradient_boosted_trees,tail_recovery_dropout,secondary_fraction_mean_high_minus_low,-3.1749904155731104e-05,0.020751145482063294,73
gradient_boosted_trees,tail_recovery_dropout,timing_tail_gt5_rate_high_minus_low,-0.1294553146483342,0.0,73
mlp,early_sample_offset,charge_bias_abs_mean_high_minus_low,-0.012992376089096069,0.02579343914985657,73
mlp,early_sample_offset,charge_bias_abs_res68_high_minus_low,-0.020883945465087837,0.020594120025634967,73
mlp,early_sample_offset,downstream_topology_rate_high_minus_low,0.03376445213739342,0.051544339082605355,73
mlp,early_sample_offset,dropout_harm_rate_high_minus_low,-0.15564842762428086,-0.11027377706724524,73
mlp,early_sample_offset,prevalence_within_method_current_rows_high_minus_low,0.8705724852915977,1.0,100
