method,n_eval,macro_f1,balanced_accuracy,accuracy,ledger_utility
traditional_train_frozen_cuts,1577,0.8571428571428571,1.0,1.0,0.8571428571428571
ridge,1577,0.4893427720233959,0.7112801639817768,0.813570069752695,0.4893427720233959
gradient_boosted_trees,1577,0.6992323277852529,0.8127693916000367,0.9949270767279645,0.6992323277852529
mlp,1577,0.5279473698017625,0.5900232137933751,0.9422954977805961,0.5279473698017625
cnn_1d,1577,0.33611664416004094,0.5728485023041475,0.6131896005072923,0.33611664416004094
temporal_gate_cnn_new,1577,0.31872063364837483,0.5322067955938924,0.553582752060875,0.31872063364837483
